set,variant,period,n,avgR,pf,sumR
WTI_ohlc,A  continuation only,05-14,51,0.34499100810545,1.6717537060779029,17.59454141337795
WTI_ohlc,A  continuation only,15-20,31,0.3638231896669992,1.5726316732435937,11.278518879676977
WTI_ohlc,A  continuation only,post05,82,0.35211049137871864,1.629208680158658,28.873060293054927
WTI_ohlc,A  two-sided (OCO),05-14,72,0.31883924113957396,1.588061330290068,22.956425362049323
WTI_ohlc,A  two-sided (OCO),15-20,41,0.11183659005183758,1.1603688762086932,4.585300192125341
WTI_ohlc,A  two-sided (OCO),post05,113,0.24373208455021825,1.40724320105836,27.54172555417466
WTI_ohlc,"A  CONTROL: any tight box, two-sided",05-14,92,0.08233926248630404,1.1297861669487488,7.575212148739971
WTI_ohlc,"A  CONTROL: any tight box, two-sided",15-20,46,0.21642308734226945,1.349815277466727,9.955462017744395
WTI_ohlc,"A  CONTROL: any tight box, two-sided",post05,138,0.12703387077162584,1.2019056602438734,17.530674166484367
WTI_ohlc,A+ continuation only,05-14,19,0.6865602057651122,2.4290700529838016,13.044643909537132
WTI_ohlc,A+ continuation only,15-20,15,0.6231236286384675,2.1524055833598608,9.346854429577013
WTI_ohlc,A+ continuation only,post05,34,0.6585734805621807,2.2989013638661913,22.391498339114143
WTI_ohlc,A+ two-sided (OCO),05-14,28,0.6524116918849205,2.1551638255571985,18.267527372777774
WTI_ohlc,A+ two-sided (OCO),15-20,20,0.17714970414795214,1.265178605438092,3.542994082959043
WTI_ohlc,A+ two-sided (OCO),post05,48,0.4543858636611837,1.7475864240107615,21.81052145573682
WTI_ohlc,"A+ CONTROL: any tight box, two-sided",05-14,38,0.19698795703952454,1.2975236203873939,7.485542367501933
WTI_ohlc,"A+ CONTROL: any tight box, two-sided",15-20,24,0.36656011278582884,1.6735413063601987,8.797442706859892
WTI_ohlc,"A+ CONTROL: any tight box, two-sided",post05,62,0.26262879152196494,1.4260223540242958,16.282985074361825
WTI_eia,A  continuation only,<2005,109,-0.1813181809470585,0.8546447808656832,-19.76368172322938
WTI_eia,A  continuation only,05-14,61,0.5289839948264309,1.5431506644394302,32.268023684412285
WTI_eia,A  continuation only,15-20,30,0.9797221949132063,1.9824343295739693,29.39166584739619
WTI_eia,A  continuation only,20-26,34,0.9597615832736432,2.102043998720746,32.63189383130387
WTI_eia,A  continuation only,post05,125,0.7543326669048988,1.7927893442049048,94.29158336311234
WTI_eia,A  two-sided (OCO),<2005,122,0.5187011485861039,1.5428116658226767,63.28154012750468
WTI_eia,A  two-sided (OCO),05-14,74,0.648331189394862,1.6557622437978463,47.97650801521979
WTI_eia,A  two-sided (OCO),15-20,45,-0.04534960866790323,0.9681348976858494,-2.0407323900556453
WTI_eia,A  two-sided (OCO),20-26,46,0.5354215817958741,1.5560995053121325,24.629392762610205
WTI_eia,A  two-sided (OCO),post05,165,0.4276676871986325,1.3888019962451597,70.56516838777436
WTI_eia,"A  CONTROL: any tight box, two-sided",<2005,143,0.21837801827647554,1.1795378269612218,31.228056613536005
WTI_eia,"A  CONTROL: any tight box, two-sided",05-14,76,0.7949167831977055,1.7264466170080468,60.41367552302562
