label,period,n,win,avgR,pf,sumR,maxddR,cand,exit,set
"(5, 2.0, 5, 0.5) MM1 WTI_eia",p1,75,0.36,-0.3847660905211265,0.6819696091377221,-28.857456789084488,32.82029656652362,"(5, 2.0, 5, 0.5)",MM1,WTI_eia
"(5, 2.0, 5, 0.5) MM1 WTI_eia",p2,48,0.5625,0.29971719801290236,1.3097349415503137,14.386425504619314,10.732516589303083,"(5, 2.0, 5, 0.5)",MM1,WTI_eia
"(5, 2.0, 5, 0.5) MM1 WTI_eia",p3,22,0.45454545454545453,0.2790229664084591,1.2751802290104415,6.1385052609861,8.323651088102212,"(5, 2.0, 5, 0.5)",MM1,WTI_eia
"(5, 2.0, 5, 0.5) MM1 WTI_eia",p4,19,0.5789473684210527,1.0710038921747282,2.6888822663981795,20.349073951319838,3.8600501321048775,"(5, 2.0, 5, 0.5)",MM1,WTI_eia
"(5, 2.0, 5, 0.5) MM1 BRENT_eia",p1,78,0.44871794871794873,0.023591142307868056,1.021031300118016,1.8401091000137084,31.27101632856337,"(5, 2.0, 5, 0.5)",MM1,BRENT_eia
"(5, 2.0, 5, 0.5) MM1 BRENT_eia",p2,56,0.4642857142857143,0.45527429003683634,1.4850452547269493,25.495360242062834,11.660990873835011,"(5, 2.0, 5, 0.5)",MM1,BRENT_eia
"(5, 2.0, 5, 0.5) MM1 BRENT_eia",p3,26,0.5769230769230769,0.826069562759958,2.188757501185023,21.477808631758908,5.179364930819741,"(5, 2.0, 5, 0.5)",MM1,BRENT_eia
"(5, 2.0, 5, 0.5) MM1 BRENT_eia",p4,23,0.6086956521739131,0.739747329370608,2.2045342894822757,17.014188575523985,6.65021735468957,"(5, 2.0, 5, 0.5)",MM1,BRENT_eia
"(5, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p1,0,,,,0.0,,"(5, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p2,24,0.2916666666666667,0.12463632902908413,1.2074342427167797,2.991271896698019,9.463617502885274,"(5, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p3,10,0.5,0.7569062315119666,2.5790977804243793,7.569062315119665,4.79328285363399,"(5, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.0, 5, 0.5) TR3.5 WTI_ohlc",p4,0,,,,0.0,,"(5, 2.0, 5, 0.5)",TR3.5,WTI_ohlc
"(5, 2.0, 5, 0.5) TR3.5 WTI_eia",p1,64,0.21875,-0.5559684689210012,0.6297742465917927,-35.581982010944074,40.61447351850423,"(5, 2.0, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.0, 5, 0.5) TR3.5 WTI_eia",p2,38,0.39473684210526316,0.3447134655278388,1.2974049030161028,13.099111690057875,18.169398483564,"(5, 2.0, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.0, 5, 0.5) TR3.5 WTI_eia",p3,16,0.4375,4.8020443385463984,6.047024102425405,76.83270941674238,12.169578604024489,"(5, 2.0, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.0, 5, 0.5) TR3.5 WTI_eia",p4,15,0.4,2.792539112938766,3.039355593922577,41.88808669408149,14.385307421968893,"(5, 2.0, 5, 0.5)",TR3.5,WTI_eia
"(5, 2.0, 5, 0.5) TR3.5 BRENT_eia",p1,63,0.2698412698412698,0.05686803018661754,1.0432033289351996,3.5826859017569053,44.557155505341406,"(5, 2.0, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.0, 5, 0.5) TR3.5 BRENT_eia",p2,44,0.36363636363636365,1.2578758448040184,2.2179960497817452,55.34653717137681,16.789870382362263,"(5, 2.0, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.0, 5, 0.5) TR3.5 BRENT_eia",p3,18,0.3888888888888889,1.62614845467017,2.588681936349035,29.270672184063063,11.331142529326605,"(5, 2.0, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.0, 5, 0.5) TR3.5 BRENT_eia",p4,18,0.2222222222222222,0.6241739155642051,1.6228985217806113,11.235130480155691,8.355632958972725,"(5, 2.0, 5, 0.5)",TR3.5,BRENT_eia
"(5, 2.5, 5, 0.5) R2 WTI_ohlc",p1,0,,,,0.0,,"(5, 2.5, 5, 0.5)",R2,WTI_ohlc
"(5, 2.5, 5, 0.5) R2 WTI_ohlc",p2,17,0.5294117647058824,0.27788076303680564,1.647847209623982,4.723972971625696,3.789725936329953,"(5, 2.5, 5, 0.5)",R2,WTI_ohlc
"(5, 2.5, 5, 0.5) R2 WTI_ohlc",p3,7,0.5714285714285714,0.6699055620136152,3.1107443689567513,4.689338934095306,2.2216517561589146,"(5, 2.5, 5, 0.5)",R2,WTI_ohlc
"(5, 2.5, 5, 0.5) R2 WTI_ohlc",p4,0,,,,0.0,,"(5, 2.5, 5, 0.5)",R2,WTI_ohlc
"(5, 2.5, 5, 0.5) R2 WTI_eia",p1,61,0.4426229508196721,-0.25879781452102507,0.7324427725429765,-15.786666685782528,21.44828900836896,"(5, 2.5, 5, 0.5)",R2,WTI_eia
"(5, 2.5, 5, 0.5) R2 WTI_eia",p2,38,0.7105263157894737,0.4698616762700154,1.7873699619084047,17.854743698260584,7.203435916157941,"(5, 2.5, 5, 0.5)",R2,WTI_eia
"(5, 2.5, 5, 0.5) R2 WTI_eia",p3,17,0.5294117647058824,0.36656005321429125,1.4725462792645647,6.231520904642951,6.0068017101020335,"(5, 2.5, 5, 0.5)",R2,WTI_eia
"(5, 2.5, 5, 0.5) R2 WTI_eia",p4,13,0.6153846153846154,0.736697463070938,2.571061223224565,9.577067019922193,2.3028671619695587,"(5, 2.5, 5, 0.5)",R2,WTI_eia
"(5, 2.5, 5, 0.5) R2 BRENT_eia",p1,64,0.515625,0.03740050155879715,1.0416445960056,2.3936320997630176,17.13227119136041,"(5, 2.5, 5, 0.5)",R2,BRENT_eia
"(5, 2.5, 5, 0.5) R2 BRENT_eia",p2,40,0.55,0.317985631922537,1.3887048759711016,12.719425276901479,12.68856917821849,"(5, 2.5, 5, 0.5)",R2,BRENT_eia
"(5, 2.5, 5, 0.5) R2 BRENT_eia",p3,23,0.5652173913043478,0.5493234631979366,1.801965677038535,12.63443965355254,5.176739457257067,"(5, 2.5, 5, 0.5)",R2,BRENT_eia
"(5, 2.5, 5, 0.5) R2 BRENT_eia",p4,16,0.625,0.5576482129688443,2.054981019133213,8.922371407501508,2.876176976814829,"(5, 2.5, 5, 0.5)",R2,BRENT_eia
"(5, 2.5, 5, 0.5) R3 WTI_ohlc",p1,0,,,,0.0,,"(5, 2.5, 5, 0.5)",R3,WTI_ohlc
"(5, 2.5, 5, 0.5) R3 WTI_ohlc",p2,17,0.5294117647058824,0.31778407059093117,1.7408772062714422,5.40232920004583,3.789725936329953,"(5, 2.5, 5, 0.5)",R3,WTI_ohlc
"(5, 2.5, 5, 0.5) R3 WTI_ohlc",p3,7,0.42857142857142855,0.4595682456083378,1.993016807155673,3.216977719258365,3.2396004741076307,"(5, 2.5, 5, 0.5)",R3,WTI_ohlc
"(5, 2.5, 5, 0.5) R3 WTI_ohlc",p4,0,,,,0.0,,"(5, 2.5, 5, 0.5)",R3,WTI_ohlc
"(5, 2.5, 5, 0.5) R3 WTI_eia",p1,61,0.4098360655737705,-0.13545266228891306,0.8673705204382112,-8.262612399623697,18.57694624458007,"(5, 2.5, 5, 0.5)",R3,WTI_eia
"(5, 2.5, 5, 0.5) R3 WTI_eia",p2,37,0.6216216216216216,0.5752727680627086,1.7474332228418037,21.285092418320215,9.96932927249212,"(5, 2.5, 5, 0.5)",R3,WTI_eia
"(5, 2.5, 5, 0.5) R3 WTI_eia",p3,17,0.4117647058823529,0.20484979754539775,1.2192061879229938,3.4824465582717616,7.128125239513796,"(5, 2.5, 5, 0.5)",R3,WTI_eia
"(5, 2.5, 5, 0.5) R3 WTI_eia",p4,13,0.5384615384615384,0.7279658890750752,2.049358338623466,9.463556557975977,4.281696774002096,"(5, 2.5, 5, 0.5)",R3,WTI_eia
"(5, 2.5, 5, 0.5) R3 BRENT_eia",p1,63,0.4603174603174603,0.0487794968338236,1.047801835184149,3.073108300530887,16.53549926242618,"(5, 2.5, 5, 0.5)",R3,BRENT_eia
"(5, 2.5, 5, 0.5) R3 BRENT_eia",p2,40,0.475,0.3759514759727471,1.3856316721893622,15.038059038909884,11.910446249483236,"(5, 2.5, 5, 0.5)",R3,BRENT_eia
"(5, 2.5, 5, 0.5) R3 BRENT_eia",p3,23,0.5217391304347826,0.7090008553825682,1.9417120139207402,16.30701967379907,8.761752511194274,"(5, 2.5, 5, 0.5)",R3,BRENT_eia
"(5, 2.5, 5, 0.5) R3 BRENT_eia",p4,16,0.5625,0.6608076090058348,2.0186950544329156,10.572921744093357,5.819991196644672,"(5, 2.5, 5, 0.5)",R3,BRENT_eia
"(5, 2.5, 5, 0.5) MM1 WTI_ohlc",p1,0,,,,0.0,,"(5, 2.5, 5, 0.5)",MM1,WTI_ohlc
"(5, 2.5, 5, 0.5) MM1 WTI_ohlc",p2,17,0.5294117647058824,0.3567767115234769,1.8317840878704168,6.065204095899107,3.789725936329953,"(5, 2.5, 5, 0.5)",MM1,WTI_ohlc
"(5, 2.5, 5, 0.5) MM1 WTI_ohlc",p3,7,0.42857142857142855,0.33598483054895045,1.7259826736784565,2.3518938138426533,3.2396004741076307,"(5, 2.5, 5, 0.5)",MM1,WTI_ohlc
"(5, 2.5, 5, 0.5) MM1 WTI_ohlc",p4,0,,,,0.0,,"(5, 2.5, 5, 0.5)",MM1,WTI_ohlc
