mkt,tf,imp_n,imp_k,cons_m,setups,fam,fill_rate,n,win,avgR
NG,4h,5,3.0,5,366,cont,0.49453551912568305,181,0.5911602209944752,0.02418208848323999
NG,4h,5,3.0,5,366,rev,0.5027322404371585,184,0.44021739130434784,-0.2767671855521559
NG,4h,5,3.0,8,181,cont,0.5414364640883977,98,0.5714285714285714,0.02903006717380089
NG,4h,5,3.0,8,181,rev,0.4419889502762431,80,0.575,0.014976979499928707
NG,1d,3,2.5,3,32,cont,0.5,16,0.5,-0.07077566718584455
NG,1d,3,2.5,3,32,rev,0.5,16,0.5625,0.008322282302053702
NG,1d,5,3.0,3,61,cont,0.5409836065573771,33,0.696969696969697,0.2879037611377756
NG,1d,5,3.0,3,61,rev,0.45901639344262296,28,0.5714285714285714,0.08878237431943223
NG,1d,5,3.0,5,31,cont,0.41935483870967744,13,0.5384615384615384,0.02855785856221998
NG,1d,5,3.0,5,31,rev,0.5806451612903226,18,0.3333333333333333,-0.41771007115243475
