key,sym,family,bar,z,window_h,thr,exit,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x
XTIUSD|mr|5m|retz|1h|z2|mean,XTIUSD,E_meanrev,5,retz,1,2.0,mean,2008,-3.7980626375888953,-1.0110867304156868,-0.6596463285458561,0.17367968659006006,-0.9956430178301732,-10.721207627965411,6414,804.9442231075697,-8.1949321407541,-2.1949321407541005,0.5863735578422201,1840,-2.3641265973140673,0.14714001040005514,-0.4533742792138672,0.19177242019482166,-0.9796641806786156,-6.388212733309093,5862,802.8391304347826,-5.647137290983058,0.3528627090169399,0.5668713749573524,3848,-3.0715802656300673,-0.42848783854617123,-0.5610131240835745,0.18264641505908852,-0.9999104712730829,-12.002704937027152,12276,803.9376299376299,-6.97831651601006,-0.9783165160100601,0.5770609318996416,-1.0110867304156868,0.14714001040005514,-0.42848783854617123,-6.600367111701608,-4.885035557610423,-5.726901741455069
XTIUSD|mr|5m|retz|1h|z2|time30,XTIUSD,E_meanrev,5,retz,1,2.0,time30,2008,-3.808128661755819,-0.7207308597638068,-0.6118299211321577,0.1606641937486588,-0.9931789434635765,-10.749622097493543,6589,826.906374501992,-7.3990229123658064,-1.3990229123658058,0.4557595993322204,1840,-2.860288881490343,0.18608203096057507,-0.46730812572466696,0.16337794715377763,-0.9758620201902806,-7.7289151411935295,6056,829.408695652174,-5.634232293130434,0.36576770686956517,0.4369220607661823,3848,-3.3499348158337687,-0.28350966657662113,-0.5427238651161019,0.16201027630474144,-0.9998336432000017,-13.090421110802154,12645,828.1029106029106,-6.553821489662016,-0.5538214896620172,0.44673784104389086,-0.7207308597638068,0.18608203096057507,-0.28350966657662113,-6.867144574239148,-5.875801191589012,-6.3868727544321855
XTIUSD|mr|5m|retz|1h|z3|mean,XTIUSD,E_meanrev,5,retz,1,3.0,mean,2008,-2.552184407649587,-0.8758828918011774,-0.301367016542545,0.11808199111289396,-0.9185970949914511,-7.204330615420691,2631,330.18525896414343,-9.127209902949424,-3.1272099029494234,0.5659445077917141,1840,-2.00228997525931,-0.49200727584637116,-0.2737933766125626,0.1367401225574755,-0.9027608079654758,-5.41047773425537,2514,344.3086956521739,-7.951973913814625,-1.9519739138146264,0.5465393794749404,3848,-2.2632434061191886,-0.6764214493367352,-0.2881821159523247,0.12733147268789538,-0.9918717379955452,-8.843995746517997,5145,336.9386694386694,-8.552954649949447,-2.552954649949447,0.5564625850340136,-0.8758828918011774,-0.49200727584637116,-0.6764214493367352,-4.20391283274539,-3.4962417896449445,-3.8301793625915987
XTIUSD|mr|5m|retz|1h|z3|time30,XTIUSD,E_meanrev,5,retz,1,3.0,time30,2008,-2.769756238879232,-0.8735834847933952,-0.2905008642189653,0.10488318796477017,-0.9065857436752499,-7.818494466623125,2645,331.9422310756972,-8.751548824551904,-2.7515488245519037,0.4431001890359168,1840,-2.00514349182769,-0.40499498089863556,-0.26191303715306546,0.13062059559355102,-0.8875760900443809,-5.41818834962493,2545,348.55434782608694,-7.514266821992086,-1.5142668219920876,0.42278978388998034,3848,-2.348394235786219,-0.6200364018285097,-0.2768310092810092,0.11788097801574143,-0.9893455208420334,-9.176736614491627,5190,339.88565488565484,-8.144827688421897,-2.144827688421897,0.43314065510597305,-0.8735834847933952,-0.40499498089863556,-0.6200364018285097,-4.626657437783563,-3.582792641975584,-4.047721362447064
XTIUSD|mr|5m|pxz|1h|z2|mean,XTIUSD,E_meanrev,5,pxz,1,2.0,mean,2008,-2.9488572931796146,-0.37319787786828734,-0.5260402035847662,0.17838781306963883,-0.987011774397575,-8.32406263986444,6095,764.910358565737,-6.877148383388744,-0.8771483833887436,0.5947497949138638,1840,-2.4615833620118637,0.051199966878660574,-0.433682340953096,0.17618023734067062,-0.9752066066756032,-6.651555037353592,5388,737.9217391304348,-5.877077716454679,0.12292228354532088,0.5684855233853007,3848,-2.717306143937205,-0.17181906058401483,-0.48187740024737713,0.17733644084327105,-0.9996757503004662,-10.618320554471675,11483,752.0051975051974,-6.407899863538465,-0.40789986353846586,0.582426195245145,-0.37319787786828734,0.051199966878660574,-0.17181906058401483,-5.551045072960066,-4.989299300905994,-5.283477192557675
XTIUSD|mr|5m|pxz|1h|z2|time30,XTIUSD,E_meanrev,5,pxz,1,2.0,time30,2008,-2.9898576418108203,0.027407146404924688,-0.4686389921093763,0.1567429116208834,-0.9795747100949644,-8.43979881707851,6281,788.2529880478088,-5.945286592189267,0.054713407810732445,0.46760070052539404,1840,-2.5604646212665303,0.4253200784730136,-0.3901222691282875,0.15236385845289052,-0.9661660613575486,-6.9187465321635395,5537,758.3282608695653,-5.144503894407673,0.8554961055923267,0.4406718439588225,3848,-2.787295298104525,0.2145707117809937,-0.43109461313713016,0.1546641338756938,-0.9993032675362664,-10.891814682449516,11818,773.9438669438669,-5.5701018064711505,0.4298981935288478,0.454983922829582,0.027407146404924688,0.4253200784730136,0.2145707117809937,-6.010985991050354,-5.531984376522118,-5.7841192990582035
XTIUSD|mr|5m|pxz|1h|z3|mean,XTIUSD,E_meanrev,5,pxz,1,3.0,mean,2008,-0.17554569542454335,0.026853366445718372,-0.003788904365363885,0.021583578886401746,-0.10479957717187016,-0.49553207211898076,58,7.278884462151394,-5.205336593904409,0.7946634060955902,0.5862068965517241,1840,-0.521951358864169,-0.2733616916042978,-0.015431411276002139,0.029564845485952576,-0.13128958040082206,-1.4103882256780478,90,12.32608695652174,-12.519310735380925,-6.519310735380923,0.4888888888888889,3848,-0.3639032615353385,-0.1383206067626736,-0.009356007461926875,0.02571015006145615,-0.21577465022095776,-1.4220118297753574,148,9.692307692307692,-9.653023571829316,-3.6530235718293165,0.527027027027027,0.026853366445718372,-0.2733616916042978,-0.1383206067626736,-0.3750976814842021,-0.7639336281594699,-0.5845074763397592
XTIUSD|mr|5m|pxz|1h|z3|time30,XTIUSD,E_meanrev,5,pxz,1,3.0,time30,2008,-0.16359251098189126,0.04421701684301312,-0.0034392775865943978,0.021023441513010985,-0.0932006866786248,-0.4617905084710486,58,7.278884462151394,-4.725006427122025,1.2749935728779733,0.46551724137931033,1840,-0.46881099182090746,-0.24312299065635945,-0.015299793713957833,0.032635313550418155,-0.13451929200572033,-1.2667952515183039,90,12.32608695652174,-12.41253105541553,-6.4125310554155295,0.3888888888888889,3848,-0.3349443334693418,-0.12153344648083748,-0.00911062625456444,0.02720041912695429,-0.2151241161885158,-1.308850056743373,148,9.692307692307692,-9.399852484868076,-3.3998524848680756,0.4189189189189189,0.04421701684301312,-0.24312299065635945,-0.12153344648083748,-0.3686050815343885,-0.689958610900112,-0.5444895827275122
XTIUSD|mr|5m|retz|4h|z2|mean,XTIUSD,E_meanrev,5,retz,4,2.0,mean,2008,-3.1051578854629915,-0.6038761095053331,-0.5480068739922861,0.17648277292366282,-0.9889445170456281,-8.765269450320796,5853,734.5398406374502,-7.46054663987611,-1.4605466398761093,0.513582778062532,1840,-2.6441168672946067,-0.277537487811139,-0.4571761159666541,0.17290314267932685,-0.9785331526464851,-7.144787025872122,4979,681.9065217391304,-6.70438104625653,-0.70438104625653,0.48343040771239204,3848,-2.886895267586342,-0.44995601886641284,-0.5045742869945826,0.17478094638897107,-0.9997599718553504,-11.281017940070372,10832,709.3721413721413,-7.112970154404185,-1.112970154404185,0.49972304283604135,-0.6038761095053331,-0.277537487811139,-0.44995601886641284,-5.620233412201903,-5.00042733383317,-5.325468523636871
XTIUSD|mr|5m|retz|4h|z2|time30,XTIUSD,E_meanrev,5,retz,4,2.0,time30,2008,-3.6689679682524887,-0.7177117461020914,-0.5930694354934848,0.16164475695217392,-0.9921639710307674,-10.356797957645233,6338,795.406374501992,-7.456181575924743,-1.4561815759247434,0.4551909119596087,1840,-2.7772813636767544,-0.1758642861434733,-0.47650093764139095,0.17157099884563606,-0.9796549208365857,-7.50461679657036,5433,744.0847826086957,-6.403852743377183,-0.40385274337718374,0.44082459046567274,3848,-3.227521532933353,-0.4506993251188547,-0.5373298211359347,0.16648372928052296,-0.9998391499793047,-12.612071079885697,11771,770.8659043659043,-6.970470714720862,-0.9704707147208618,0.4485600203890918,-0.7177117461020914,-0.1758642861434733,-0.4506993251188547,-6.583095780797812,-5.340419404767006,-5.965641458166465
XTIUSD|mr|5m|retz|4h|z3|mean,XTIUSD,E_meanrev,5,retz,4,3.0,mean,2008,-1.943768168290964,-0.4439041642062449,-0.25253881829639574,0.12992229341755177,-0.8894673947687075,-5.486887421663719,2585,324.41235059760953,-7.784500738988098,-1.7845007389880974,0.5203094777562862,1840,-2.0258422577455937,-0.46806829365717345,-0.25183290422773125,0.12431022369331805,-0.8810541838329551,-5.474119415309298,2358,322.9434782608696,-7.798048921251288,-1.7980489212512878,0.47116200169635286,3848,-1.981885977957944,-0.4550752462454505,-0.25220127102863515,0.12725316886720864,-0.9867359922557958,-7.744545333371296,4943,323.70997920997917,-7.790963739954434,-1.7909637399544343,0.49686425247825206,-0.4439041642062449,-0.46806829365717345,-0.4550752462454505,-3.4427385202072505,-3.5633701435224094,-3.4991025600848
XTIUSD|mr|5m|retz|4h|z3|time30,XTIUSD,E_meanrev,5,retz,4,3.0,time30,2008,-2.5249918285778326,-0.6805835795362479,-0.2780001113567592,0.11009941030713712,-0.89701692859863,-7.127571142503409,2699,338.7191235059761,-8.207393443844172,-2.2073934438441727,0.46350500185253796,1840,-2.0705075717358,-0.507447749385763,-0.2699489891181654,0.13037817045597905,-0.8967850874890444,-5.594811567706575,2482,339.9260869565218,-7.9414025423913195,-1.9414025423913195,0.4234488315874295,3848,-2.280632075700419,-0.588481686909469,-0.27415030238612187,0.12020803588054679,-0.9892317483917319,-8.911944832064085,5181,339.2962577962578,-8.07996834880345,-2.0799683488034506,0.4443157691565335,-0.6805835795362479,-0.507447749385763,-0.588481686909469,-4.338761566326893,-3.611347221882373,-3.9469474761529493
XTIUSD|mr|5m|pxz|4h|z2|mean,XTIUSD,E_meanrev,5,pxz,4,2.0,mean,2008,-2.23845364833272,-0.30862736090795995,-0.39950757920275987,0.17847480536410806,-0.964206474204405,-6.318728420073366,4571,573.6513944223108,-6.964291956530143,-0.9642919565301434,0.5084226646248086,1840,-2.4092934302483906,-0.4886550989027507,-0.37805149835092583,0.15691384602827307,-0.951115172366944,-6.510260062585833,3669,502.49347826086955,-7.523510547029636,-1.5235105470296353,0.4641591714363587,3848,-2.3102244031027652,-0.38787155763356435,-0.38924791476217396,0.16848922305529782,-0.9982147543519552,-9.027581717150467,8240,539.6257796257796,-7.213293535236775,-1.213293535236774,0.4887135922330097,-0.30862736090795995,-0.4886550989027507,-0.38787155763356435,-4.175062557286343,-4.313196677529492,-4.22925879472792
XTIUSD|mr|5m|pxz|4h|z2|time30,XTIUSD,E_meanrev,5,pxz,4,2.0,time30,2008,-3.358123582635645,-0.4867990913559597,-0.5232551653491596,0.15581772155582177,-0.9861336740557575,-9.47934344565194,5950,746.7131474103586,-7.007445458324078,-1.0074454583240795,0.4773109243697479,1840,-3.329324694163334,-0.44084616684616845,-0.46061359627598397,0.13835045800233586,-0.974941303022164,-8.996317891240729,4874,667.5260869565218,-6.9003085463832265,-0.9003085463832278,0.4446040213377103,3848,-3.339495893121152,-0.46541050975985815,-0.49330181631209014,0.1477174496091509,-0.9996478606269034,-13.04962930386747,10824,708.8482328482328,-6.959202174066899,-0.9592021740668999,0.4625831485587583,-0.4867990913559597,-0.44084616684616845,-0.46541050975985815,-6.152587825827118,-6.099362634892981,-6.118321919575638
XTIUSD|mr|5m|pxz|4h|z3|mean,XTIUSD,E_meanrev,5,pxz,4,3.0,mean,2008,-0.9440959180477216,0.2058114345265499,-0.10670917295006156,0.11302789357539378,-0.6676936804042104,-2.665003009147275,1728,216.8605577689243,-4.920635363474694,1.079364636525307,0.5017361111111112,1840,-0.8627214426499749,0.1153661020149853,-0.09267998613544248,0.10742747491097751,-0.6289368776872396,-2.331198384848257,1279,175.16739130434783,-5.290938310225441,0.7090616897745593,0.4847537138389367,3848,-0.9060344712013703,0.16375830166294492,-0.10000082998257218,0.11037199263508655,-0.8735903847204926,-3.5404786722624464,3007,196.92411642411642,-5.078140341490724,0.9218596585092755,0.4945128034585966,0.2058114345265499,0.1153661020149853,0.16375830166294492,-2.1018899799569213,-1.8390916971183493,-1.978878256245536
XTIUSD|mr|5m|pxz|4h|z3|time30,XTIUSD,E_meanrev,5,pxz,4,3.0,time30,2008,-1.3475751133801397,0.20991570835332266,-0.12124121222827706,0.08996991041498696,-0.6522747762582406,-3.8039479501578795,1861,233.55179282868525,-5.191191673583505,0.8088083264164939,0.4836109618484686,1840,-1.1372222990293277,0.04542762659912571,-0.10652942656710587,0.0936751122960161,-0.6570646766729766,-3.0729394862000623,1348,184.61739130434782,-5.770281218603539,0.22971878139646032,0.456973293768546,3848,-1.244764016739345,0.1297458832144787,-0.11420647064393324,0.0917494955735439,-0.8803586745572343,-4.864120067553033,3209,210.15280665280665,-5.434448983239787,0.565551016760213,0.4724213150514179,0.20991570835332266,0.04542762659912571,0.1297458832144787,-2.8883095817722237,-2.300520423062764,-2.600403100958464
XTIUSD|mr|5m|vwap|day|d0.25|vwap,XTIUSD,E_meanrev,5,vwap,0,0.25,vwap,2008,-2.1187599629487726,-0.30720845227791194,-0.35327443476353343,0.1667364123078226,-0.9542422388416235,-5.980855937387742,4024,505.003984063745,-6.995478172681918,-0.9954781726819181,0.48434393638170975,1840,-2.3861810704815314,-0.680271553703582,-0.4471858036174203,0.18740648358558062,-0.9668309082318165,-6.447807116484209,3919,536.7326086956522,-8.331630990413549,-2.3316309904135477,0.47843837713702475,3848,-2.2505810689047507,-0.49567956193425683,-0.39818007891404067,0.1769232330332432,-0.9984266537272197,-8.794515581829264,7943,520.1756756756756,-7.654723154765546,-1.654723154765546,0.4814301901044945,-0.30720845227791194,-0.680271553703582,-0.49567956193425683,-3.8469131576521343,-4.014054248191183,-3.9248159389431208
XTIUSD|mr|5m|vwap|day|d0.25|time30,XTIUSD,E_meanrev,5,vwap,0,0.25,time30,2008,-3.3011941912219465,-0.527942902741506,-0.5141255231608255,0.1557392547605691,-0.985608629480436,-9.31864261374901,5785,726.0059760956175,-7.081560484195153,-1.0815604841951527,0.4696629213483146,1840,-2.9525865299975624,-0.4864320459804372,-0.559625824813135,0.18953748488908712,-0.9854845073061851,-7.978316765505096,5726,784.2130434782609,-7.136145330240844,-1.1361453302408453,0.4332867621376179,3848,-3.1027739229121485,-0.5032797060936643,-0.5358824241588114,0.1727107541421684,-0.9997895717702535,-12.124599281919608,11511,753.8388773388773,-7.108713019027716,-1.108713019027716,0.45156806532881594,-0.527942902741506,-0.4864320459804372,-0.5032797060936643,-5.766619743609817,-5.205166742540949,-5.449613880010462
XTIUSD|mr|5m|vwap|day|d0.5|vwap,XTIUSD,E_meanrev,5,vwap,0,0.5,vwap,2008,-0.8039247903343376,0.02142650139705506,-0.07176080029731925,0.08926307679537442,-0.520841839777888,-2.269326605923113,978,122.73705179282868,-5.846710447179907,0.1532895528200946,0.48773006134969327,1840,-1.2861371786722984,-0.6573920394954489,-0.17336579392940135,0.13479572537384374,-0.7534457591505377,-3.47532907540193,1051,143.9413043478261,-12.044200565980189,-6.04420056598019,0.4509990485252141,3848,-1.0615186570356987,-0.3647310163421729,-0.12034530868688033,0.11337088414719511,-0.8782763155026158,-4.148058694124751,2029,132.87629937629936,-9.056943130698437,-3.056943130698436,0.46870379497289305,0.02142650139705506,-0.6573920394954489,-0.3647310163421729,-1.5917895837702396,-1.8845139829004962,-1.725359353955045
XTIUSD|mr|5m|vwap|day|d0.5|time30,XTIUSD,E_meanrev,5,vwap,0,0.5,time30,2008,-1.2179038930190973,0.03782971321363907,-0.09594155586559096,0.078775966162452,-0.5675230854737291,-3.4379107860775773,1312,164.65338645418328,-5.826880207671151,0.17311979232884941,0.4794207317073171,1840,-1.7205872636728738,-0.721374435749426,-0.20399380565098033,0.11856056938113231,-0.7918701512150608,-4.649276176264057,1486,203.51739130434783,-10.023409023847012,-4.023409023847013,0.4528936742934051,3848,-1.4784099584117638,-0.39423913893250234,-0.14760895181286654,0.09984304486926002,-0.9094477991285862,-5.777130002213699,2798,183.23700623700623,-8.055629964939676,-2.0556299649396754,0.4653323802716226,0.03782971321363907,-0.721374435749426,-0.39423913893250234,-2.329639996592742,-2.6087463969542584,-2.4410342814275765
XTIUSD|mr|15m|retz|1h|z2|mean,XTIUSD,E_meanrev,15,retz,1,2.0,mean,2008,-2.7508110574891576,-0.5784299493265451,-0.42464531435917385,0.15437094932531467,-0.9696739305129992,-7.765015826955034,4453,558.8426294820717,-7.5986564366560545,-1.598656436656055,0.558050752301819,1840,-2.4294597346206848,-0.1382214212069698,-0.3509728119996734,0.14446537516065122,-0.9420952829864858,-6.564752339996543,4028,551.6608695652174,-6.362111785747773,-0.362111785747773,0.5409632571996028,3848,-2.6010609697651517,-0.3750227891767699,-0.38941729867791586,0.1497147906967656,-0.9982263018418216,-10.164073422611592,8481,555.4085239085239,-7.0113669833063845,-1.0113669833063839,0.5499351491569391,-0.5784299493265451,-0.1382214212069698,-0.3750227891767699,-4.91288430488243,-4.708206037940903,-4.81575703911954
XTIUSD|mr|15m|retz|1h|z2|time30,XTIUSD,E_meanrev,15,retz,1,2.0,time30,2008,-3.075894743151898,-0.4417473491238522,-0.41478534201628914,0.1348503042699227,-0.9662246984323878,-8.682665171639627,4721,592.4760956175298,-7.0008789398324005,-1.0008789398324007,0.462825672527007,1840,-2.588449088268884,0.21500333807811337,-0.3236175221607037,0.12502371540833906,-0.9250242776638647,-6.994364618201068,4264,583.9826086956522,-5.541560953048174,0.4584390469518248,0.44043151969981237,3848,-2.849646117738554,-0.13988902921802707,-0.3711915820021839,0.13025883448880918,-0.9974372796920439,-11.135460762294196,8985,588.4147609147609,-6.308332262520443,-0.3083322625204432,0.45219810795770726,-0.4417473491238522,0.21500333807811337,-0.13988902921802707,-5.6639678072924164,-5.344833955036271,-5.512709350600685
