key,sym,family,mode,w,k,exit,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x,dir
XTIUSD|eia_cont|w5|k0|T+60,XTIUSD,C_eia,cont,5,0.0,T+60,2008,-0.6061809327759137,-0.045862377276353075,-0.03848176485889681,0.06348230829807762,-0.2858480640120682,-1.7111333489039127,405,50.82669322709163,-7.571172235612855,-0.5711722356128589,0.4444444444444444,1840,-0.6646035064833523,-0.1444524812495956,-0.04650608861056507,0.06997568950041344,-0.33787780291409564,-1.7958550052025002,380,52.04347826086957,-8.936007001194625,-1.936007001194629,0.45526315789473687,3848,-0.634864450580838,-0.09529554257741771,-0.042318759584226755,0.06665794492904634,-0.5224751986105689,-2.4808372291604632,785,51.408523908523904,-8.231856580735242,-1.2318565807352444,0.4496815286624204,-0.045862377276353075,-0.1444524812495956,-0.09529554257741771,-1.1576291423293894,-1.1766078202315677,-1.1659371367376723,
XTIUSD|eia_cont|w5|k0|14:30,XTIUSD,C_eia,cont,5,0.0,14:30,2008,-0.33854947384764783,-0.04607146153201401,-0.04117734349858617,0.12162873281296718,-0.458733771167142,-0.9556607006785113,405,50.82669322709163,-8.10151927740164,-1.1015192774016347,0.4641975308641975,1840,-0.25870714552350743,0.02805246047185708,-0.032868224389416195,0.12704799599912725,-0.45059285443957686,-0.6990642054063256,380,52.04347826086957,-6.315531837565355,0.6844681624346443,0.4842105263157895,3848,-0.2994694003866592,-0.00981253941373709,-0.037204168040978904,0.12423362117446,-0.6305003712938853,-1.170225922705033,785,51.408523908523904,-7.2369648479267505,-0.2369648479267481,0.47388535031847134,-0.04607146153201401,0.02805246047185708,-0.00981253941373709,-0.6296665559946277,-0.5444957831289402,-0.5879622824319526,
XTIUSD|eia_fade|w5|k0|T+20,XTIUSD,C_eia,fade,5,0.0,T+20,2008,-0.929766086385071,-0.058023067396215,-0.03792965662744082,0.040794837736996055,-0.29996475065705663,-2.624552622940216,405,50.82669322709163,-7.462546591015201,-0.4625465910152044,0.4419753086419753,1840,-0.4070280392459447,0.40447401876945,-0.018272690035271925,0.04489295152521604,-0.23035012648237185,-1.0998487585558645,380,52.04347826086957,-3.5110431980890073,3.4889568019109904,0.45,3848,-0.6665597842091584,0.1747502236814981,-0.028530275512682304,0.04280227548761005,-0.4561113228742587,-2.6046919568647144,785,51.408523908523904,-5.549716923101885,1.4502830768981128,0.445859872611465,-0.058023067396215,0.40447401876945,0.1747502236814981,-1.7690920919995796,-1.2064455208616471,-1.4864177166610266,
XTIUSD|eia_fade|w5|k0|T+35,XTIUSD,C_eia,fade,5,0.0,T+35,2008,-0.643139606683342,0.04607074122692282,-0.03320759251421318,0.05163356784301323,-0.32611934904316653,-1.8154606479574509,405,50.82669322709163,-6.53349458833432,0.4665054116656773,0.48641975308641977,1840,-0.22889823465312945,0.3858523134506695,-0.013558352688055657,0.059233102905323305,-0.20197438170726212,-0.6185162075941225,380,52.04347826086957,-2.6051972583565575,4.3948027416434385,0.4236842105263158,3848,-0.429865712617915,0.2200055341855857,-0.023811906110853032,0.05539382512235439,-0.4571472220638768,-1.6797709533530212,785,51.408523908523904,-4.631898428599862,2.368101571400135,0.45605095541401275,0.04607074122692282,0.3858523134506695,0.2200055341855857,-1.3181779683359762,-0.8397177743099836,-1.0713995667440035,
XTIUSD|eia_fade|w5|k0|T+60,XTIUSD,C_eia,fade,5,0.0,T+60,2008,-0.5151349834587466,0.045862377276353075,-0.03267560565903144,0.06343115243239579,-0.3293163653460721,-1.4541279702526986,405,50.82669322709163,-6.428827764387138,0.5711722356128589,0.4740740740740741,1840,-0.3774920082125672,0.1444524812495956,-0.026354780954652282,0.06981546729808333,-0.24735157380397743,-1.0200381216156935,380,52.04347826086957,-5.063992998805367,1.936007001194629,0.4394736842105263,3848,-0.44556424205688167,0.09529554257741771,-0.02965317388770668,0.06655196061249703,-0.4907535169921179,-1.741115538389447,785,51.408523908523904,-5.76814341926475,1.2318565807352444,0.4573248407643312,0.045862377276353075,0.1444524812495956,0.09529554257741771,-1.0685701894877486,-0.894766940814509,-0.9804234396518923,
XTIUSD|eia_fade|w5|k0|14:30,XTIUSD,C_eia,fade,5,0.0,14:30,2008,-0.2465924074957927,0.04607146153201401,-0.029980027019342066,0.12157725099404604,-0.4423822809972279,-0.6960834121262881,405,50.82669322709163,-5.8984807225983635,1.1015192774016347,0.47160493827160493,1840,-0.31470656896262317,-0.02805246047185708,-0.03999264517580114,0.12707915601390246,-0.34482414081287927,-0.850382764352432,380,52.04347826086957,-7.684468162434639,-0.6844681624346443,0.4605263157894737,3848,-0.2798825667483906,0.00981253941373709,-0.034767765430954514,0.12422269037646103,-0.617853534860205,-1.09368714966973,785,51.408523908523904,-6.763035152073253,0.2369648479267481,0.4662420382165605,0.04607146153201401,-0.02805246047185708,0.00981253941373709,-0.5382633278558734,-0.6001806895005958,-0.5684894422581694,
XTIUSD|eia_cont|w5|k1|T+60,XTIUSD,C_eia,cont,5,1.0,T+60,2008,-0.38318146492085287,-0.014039716178899014,-0.018600893121914184,0.04854330082420936,-0.18500258150580473,-1.0816483129968535,204,25.60159362549801,-7.265521589792186,-0.2655215897921917,0.45588235294117646,1840,-0.473213803466408,-0.12833032941705716,-0.02601226262219796,0.05496936571091485,-0.22224340004506582,-1.2786922867481867,198,27.117391304347827,-9.592464972110843,-2.592464972110846,0.48484848484848486,3848,-0.428253801274627,-0.07208789546861798,-0.02214479121976298,0.05170950299530945,-0.3014097952792367,-1.673472144738243,402,26.326403326403327,-8.411628031829736,-1.4116280318297378,0.4701492537313433,-0.014039716178899014,-0.12833032941705716,-0.07208789546861798,-0.746883014564182,-0.8125908740779877,-0.7789314153600385,
XTIUSD|eia_cont|w5|k1|14:30,XTIUSD,C_eia,cont,5,1.0,14:30,2008,-0.030851858787293157,0.1538668899475175,-0.0029922027989932516,0.09698614335113058,-0.32986529522104735,-0.08708892278227924,204,25.60159362549801,-1.1687564621028812,5.831243537897123,0.5,1840,-0.3149517275555911,-0.11190959943541516,-0.029421308741466142,0.09341529563851365,-0.30464408672437304,-0.8510452184050437,198,27.117391304347827,-10.849608803170142,-3.8496088031701445,0.5252525252525253,3848,-0.16402949650589116,0.029383991771473435,-0.015629821025123745,0.09528664879223352,-0.34832710312892456,-0.640972228386642,402,26.326403326403327,-5.936937465912129,1.0630625340878723,0.5124378109452736,0.1538668899475175,-0.11190959943541516,0.029383991771473435,-0.21545982515517997,-0.5167156168948505,-0.3568182825107519,
XTIUSD|eia_fade|w5|k1|T+20,XTIUSD,C_eia,fade,5,1.0,T+20,2008,-0.5564168771935074,0.058144128160585895,-0.016233863509631748,0.029175720893861442,-0.20338766718312118,-1.5706588956844452,204,25.60159362549801,-6.3409582024861,0.6590417975138977,0.46078431372549017,1840,-0.0951807001792737,0.41755686572550427,-0.003515880439958324,0.036939005841900005,-0.14321518982654213,-0.2571920478122076,198,27.117391304347827,-1.2965408067827704,5.703459193217227,0.45454545454545453,3848,-0.3065945496659987,0.2500599708016303,-0.01015249946384196,0.03311376368204197,-0.31004026158957,-1.1980686150771436,402,26.326403326403327,-3.856394410572519,3.143605589427478,0.4577114427860697,0.058144128160585895,0.41755686572550427,0.2500599708016303,-1.1494539197157114,-0.6054629311915101,-0.8537120752313407,
XTIUSD|eia_fade|w5|k1|T+35,XTIUSD,C_eia,fade,5,1.0,T+35,2008,-0.4747240279097151,-0.022972442130387207,-0.018828652322598508,0.03966231160765981,-0.24134872420249676,-1.3400555374818979,204,25.60159362549801,-7.354484489530385,-0.354484489530387,0.4950980392156863,1840,-0.043381867726709995,0.36014661566956296,-0.0020368660283570004,0.04695201325098579,-0.12650354756576465,-0.11722409456471393,198,27.117391304347827,-0.7511290468528289,6.248870953147167,0.41919191919191917,3848,-0.2494130208266143,0.17629107614632922,-0.010799315840944564,0.04329892563408701,-0.3373208019561744,-0.9746223889807359,402,26.326403326403327,-4.102085540151887,2.89791445984811,0.4577114427860697,-0.022972442130387207,0.36014661566956296,0.17629107614632922,-0.9164363134436267,-0.44621465935988697,-0.6705501479851652,
