name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
long_only_voltarget,1991-10-29,2024-03-28,32.4,0.04062362739847422,0.02890243136969306,0.15556299554678227,0.26113940050902096,0.36758243965299275,-0.6664850952536293,0.04336545794575392,-0.3673248430555725,1.4859945333935112,0.5198529411764706,0.6585649731608298,0.016090108594391937,0.36458804085789126,0.6335585418538162,1.0,XTIUSD,fut,0.5702565202312936,-0.04023538329390917,0.04,0.89,-0.27,0.35
long_only_voltarget,1990-08-23,2024-03-28,34.1,0.030237690033281032,0.018525271625795536,0.15398644715026805,0.19636591786401505,0.28051574474311075,-0.6785512572706058,0.02730121184995118,-0.31241552032165076,1.146536014228303,0.5119310906762892,0.5318997837381993,0.013230660089371436,0.2822959095864077,0.529125189429279,1.0,XBRUSD,fut,0.4258520257808008,-0.036387632729808196,0.19,0.51,-0.19,0.33
long_only_voltarget,1991-08-09,2024-03-28,32.5,-0.02546638281568885,-0.0372451509883428,0.15811991281242724,-0.16105740486904285,-0.2592952550092767,-0.8802593838591626,-0.04231156369507315,0.19381391618579394,-0.9186167997871749,0.4885337887289583,0.37688018522666533,0.010218327416329297,-0.09643358172386902,0.39207326449054786,1.0,XNGUSD,fut,0.23228684689071158,-0.5804215654491995,0.16,0.05,-0.64,-0.3
long_only_voltarget,1990-08-23,2024-03-28,34.4,0.015602681082193648,0.008138738242911225,0.12241288057264481,0.12745947166020963,0.18905526289065883,-0.7190229261663947,0.01131916375226647,-0.11906336562902457,0.7472758259317106,0.5095820826598938,,,,,,PORT,fut,0.5034432632792298,-0.2786222301038711,0.19,0.55,-0.47,0.2
long_only_voltarget,1987-02-24,2026-09-22,36.7,0.029075964924232027,0.017599991886840805,0.15237535477515837,0.19081802937972392,0.2664604446653614,-0.568513726198721,0.030957901411669382,-0.2341026014968812,1.1557731307658239,0.5137912385073012,0.4754946666055163,0.011422822970229176,0.2657856747557387,0.4212350317370888,1.0,XTIUSD,spot,0.3321634312649576,0.05460412219069261,0.13,0.53,-0.12,0.21
long_only_voltarget,1988-06-01,2026-09-22,35.0,0.026752746050720734,0.014668343623326585,0.15609095712391777,0.17139203028579175,0.24502338675827762,-0.6640978428838678,0.022087624256734214,-0.08608651625398686,1.0146010218848884,0.5063979164307553,0.47260386277424726,0.01231860329959858,0.2503184211947701,0.44922076280025375,1.0,XBRUSD,spot,0.3617603800757692,0.005743182508873953,0.13,0.48,-0.15,0.19
long_only_voltarget,1999-07-27,2026-09-22,21.6,0.07087790631673874,0.06018470897166428,0.15837346864189059,0.4475364903259508,0.7137967661332655,-0.372066306053356,0.16175801998860256,1.3886801782105447,2.077629402260904,0.4472472841097404,0.3171242765877885,0.006354265297165684,0.48755962702468597,0.21037559982230644,1.0,XNGUSD,spot,0.9427912230623449,0.3684783387392884,,0.55,0.2,0.71
long_only_voltarget,1987-02-24,2026-09-22,39.5,0.046138606631164536,0.03938221426990984,0.12251003540084325,0.376610834208011,0.5381992943369941,-0.42930623773286725,0.09173454939272312,-0.1323881178651339,2.368388701083203,0.5121412803532008,,,,,,PORT,spot,0.5173299965116231,0.20181452714594553,0.24,0.73,-0.02,0.5
tsmom_21,1991-10-29,2024-03-28,32.4,0.014160837821098783,0.0030078861647291344,0.1493774918868831,0.09479900647831303,0.1398956287249571,-0.47736537991115224,0.00630101446671513,0.011209763650794619,0.5394467672182731,0.5084558823529411,27.58938373445944,0.023492636477800297,0.252117325684864,0.6062627730525342,0.9995098039215686,XTIUSD,fut,0.0756040723045549,0.11353650890573708,-0.1,0.39,-0.17,0.32
tsmom_21,1990-08-23,2024-03-28,34.1,0.05965769556436391,0.049942070690574436,0.14783605388012164,0.4035395561406122,0.6012359264740447,-0.4356147590283671,0.11464733380928038,0.13903836893362836,2.3561758543115436,0.5114654871377022,20.21641419528702,0.019603502023316354,0.5362245253690171,0.5080784051365506,1.0,XBRUSD,fut,0.33168560178823314,0.47599233163795357,0.46,0.45,0.18,0.66
