name,family,symbol,dataset,window_start,lag,cost_mult,start,end,years,sharpe,is_sharpe,oos_sharpe,gross_sharpe,cagr,ann_vol,max_dd,t_stat,turnover_py,cost_py,time_in_mkt,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
wf_seasonal_N5_sign,B_wf_seasonal,XTIUSD,fut,1995-10-31,1,1.0,1995-10-31,2024-03-28,28.4,-0.22913117374395228,0.33347517586266984,-0.6553600913590389,-0.1227550596635603,-0.04647385870750287,0.15508457282496196,-0.8752117237791243,-1.2209242744611646,5.7757728267839505,0.01649688366114176,0.9998602375960867,0.54,0.15,-0.58,-1.09
wf_seasonal_N5_sign,B_wf_seasonal,XBRUSD,fut,1995-10-31,1,1.0,1995-10-31,2024-03-28,28.9,-0.27801045718990147,0.0024336805311218237,-0.48573826182952085,-0.1867440181199877,-0.053158944398421504,0.1538222218948108,-0.8535283414319015,-1.4941586770298725,4.617124887942389,0.014039483474526207,1.0,0.3,-0.12,-0.51,-0.66
wf_seasonal_N5_sign,B_wf_seasonal,XNGUSD,fut,1995-10-31,1,1.0,1995-10-31,2024-03-28,28.3,-0.17267240485064375,-0.1948919362992797,-0.1550198374406719,-0.08450978801129859,-0.03728806919218486,0.1526203530269221,-0.7535619330059995,-0.9189259491723664,4.399157142495622,0.013455840106438983,1.0,-0.52,-0.01,-0.26,-0.01
wf_seasonal_N5_sign,B_wf_seasonal,PORT,fut,1995-10-31,1,1.0,1995-10-31,2024-03-28,29.1,-0.30359336139767756,0.07732249529189818,-0.6065002227162918,,-0.03910223989932915,0.11105073734388272,-0.7667211961448259,-1.6374709728679349,,,,0.13,0.02,-0.66,-0.77
wf_seasonal_N5_sign,B_wf_seasonal,XTIUSD,fut,2006-01-01,1,1.0,2006-01-03,2024-03-28,18.3,-0.5240446503534407,0.618975844445323,-0.6553600913590389,-0.4213570021071319,-0.08752417512369515,0.15250399378077786,-0.8752117237791236,-2.2426106186800276,5.288584027576914,0.015660420071388778,1.0,,0.23,-0.58,-1.09
wf_seasonal_N5_sign,B_wf_seasonal,XBRUSD,fut,2006-01-01,1,1.0,2006-01-03,2024-03-28,18.7,-0.4242939812932278,0.1201445341146487,-0.48573826182952085,-0.33230096874113546,-0.07331374624427556,0.15208592679753893,-0.8203001359887581,-1.8337439753503828,4.352893491090968,0.013994689990065144,1.0,,0.07,-0.51,-0.66
wf_seasonal_N5_sign,B_wf_seasonal,XNGUSD,fut,2006-01-01,1,1.0,2006-01-03,2024-03-28,18.2,-0.22667298717376036,-0.8163435782843873,-0.1550198374406719,-0.1339040437548993,-0.04329628440221478,0.1473422057215488,-0.6966397201960397,-0.9680315400402731,4.56303570819515,0.013670969409853042,1.0,,-0.39,-0.26,-0.01
wf_seasonal_N5_sign,B_wf_seasonal,PORT,fut,2006-01-01,1,1.0,2006-01-03,2024-03-28,18.7,-0.5470592112875342,-0.004773840207116649,-0.6065002227162918,,-0.06205974699590355,0.10668591329325311,-0.7667211961448265,-2.3665787622565015,,,,,-0.05,-0.66,-0.77
wf_seasonal_N5_sign,B_wf_seasonal,XTIUSD,spot,2002-01-31,1,1.0,2002-01-31,2026-09-22,23.2,-0.23537449587017487,0.14799879874576377,-0.3317542615490754,-0.1538447136450846,-0.04516073031794954,0.14905391971489057,-0.8013282359652082,-1.1347409936522188,4.066961000486797,0.012153982382836562,1.0,,0.08,-0.48,-0.23
wf_seasonal_N5_sign,B_wf_seasonal,XBRUSD,spot,2002-01-31,1,1.0,2002-01-31,2026-09-22,24.0,-0.13153972482693146,-0.2718997047075038,-0.09536129197550698,-0.04386851036888695,-0.03007878397478614,0.14845320310610727,-0.701278261951007,-0.6449429401342377,4.5682418173745525,0.013015549764317952,1.0,,-0.27,-0.33,0.26
