series,sharpe,ci95_lo,ci95_hi,diff_vs_trend_t,corr_vs_trend
trend,0.5496024244463981,0.0922344758695911,1.0012700039935076,,1.0
lr_y1_per_instr|blend0.0,0.10959736811925548,-0.3166387189482209,0.5534532939324611,-1.8649909493008245,0.2786910954810131
lr_y1_per_instr|blend0.5,0.5097425820584617,0.04081453524401404,0.9703969898728357,-1.5014963382533943,0.8512745457170953
lr_y1_pooled|blend0.0,0.14895997070389727,-0.2657233537265832,0.5707611250551081,-1.756275965786685,0.3347512473732951
lr_y1_pooled|blend0.5,0.5124564343786777,0.041699269431720476,0.9661710703943067,-1.402897339603958,0.8561102752031108
lr_y5_per_instr|blend0.0,0.47267390762858713,0.005479640955105897,0.9232465513089795,-0.6383081882423414,0.3281700632980251
lr_y5_per_instr|blend0.5,0.6835641123542033,0.21219446426007893,1.1303517789667927,-0.3178598622631701,0.8525110380410891
lr_y5_pooled|blend0.0,0.6306111467684906,0.18602307937756302,1.0550789352614285,0.061660138628991154,0.4289661943782748
lr_y5_pooled|blend0.5,0.7270779270098346,0.27896043615179705,1.1694976035440294,0.28549636061692124,0.8651194196221766
lgbm_y1_per_instr|blend0.0,0.07508583119956999,-0.3257996727093039,0.4714859233302373,-1.894967859350705,0.21181252662947625
lgbm_y1_per_instr|blend0.5,0.4987002534502387,0.049965518654403324,0.9333902078499375,-1.5671440516067172,0.8341522172122952
lgbm_y1_pooled|blend0.0,-0.15867113121644955,-0.5695903538925171,0.25130806920955934,-2.7163207275210373,0.28220388655998874
lgbm_y1_pooled|blend0.5,0.33641552400966146,-0.1448273541731143,0.8082146827340052,-2.398904410460013,0.836592995966352
lgbm_y5_per_instr|blend0.0,0.3301949992299877,-0.13838040789780887,0.7906004414744883,-1.0914248004350589,0.27008408988023036
lgbm_y5_per_instr|blend0.5,0.6126211510254083,0.12589368301517195,1.0784378463347695,-0.8346470625099601,0.8390075014087837
lgbm_y5_pooled|blend0.0,0.30781381813216474,-0.13631241450411855,0.737844133639281,-1.2297362525698479,0.3819247678946401
lgbm_y5_pooled|blend0.5,0.574199269091224,0.10940826603626257,1.0211958980454994,-0.946596360538378,0.8639639206656698
