sym,kind,window,period,slope,t_nw,n
XNGUSD,subwindow,14:30-14:35,full,-0.008168246505392659,-3.9864515789269444,3840
XNGUSD,subwindow,14:35-14:45,is,0.0023561370094052642,1.0836593959527647,2001
XNGUSD,subwindow,14:35-14:45,oos,0.0015609811535764653,0.5433228069178185,1839
XNGUSD,subwindow,14:35-14:45,full,0.001834761831135235,1.0444096528775013,3840
XNGUSD,subwindow,14:45-15:00,is,-0.0005449693614423952,-0.16948273357519678,1641
XNGUSD,subwindow,14:45-15:00,oos,0.0019350939855361422,0.6221318068450232,1821
XNGUSD,subwindow,14:45-15:00,full,0.0008426409817420407,0.37645727789906325,3462
XNGUSD,quintile,Q1,is,6.332810527489806,,400
XNGUSD,quintile,Q2,is,0.7594106085885672,,400
XNGUSD,quintile,Q3,is,10.939269820689724,,399
XNGUSD,quintile,Q4,is,11.53182173904246,,400
XNGUSD,quintile,Q5,is,17.971848539256477,,400
XNGUSD,quintile,Q1,oos,-3.3767831218504627,,368
XNGUSD,quintile,Q2,oos,-0.24510050447687778,,367
XNGUSD,quintile,Q3,oos,0.6029774510592404,,368
XNGUSD,quintile,Q4,oos,4.671985456370321,,367
XNGUSD,quintile,Q5,oos,8.532358034109755,,368
XNGUSD,quintile,Q1,full,1.6927228587392853,,768
XNGUSD,quintile,Q2,full,-0.559950196944098,,767
XNGUSD,quintile,Q3,full,6.235292113396352,,767
XNGUSD,quintile,Q4,full,9.57447434465563,,767
XNGUSD,quintile,Q5,full,12.695727921185833,,768
