name,sharpe,pos_years,n_years,median_year_pct,best3_years,sharpe_ex_best3,sharpe_ex_best5
crude_long_FebMay,0.46480061783253973,23,35,5.254483171033231,"2008,2022,2004",0.32353172699382404,0.23912251844209473
crude_short_OctDec,0.24774801041203887,17,35,-0.016992471637145012,"2014,2018,1993",-0.012756625965807853,-0.1732989440653137
crude_FebMay_long_OctDec_short,0.5159314939756973,24,35,5.478780376945025,"2014,2008,2018",0.30398996440826986,0.21547073474072362
