name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start
tom_fixed_long,1991-10-29,2024-03-28,32.2,0.014453195967760213,0.012086748795142599,0.06984374317377905,0.2069361593607468,0.14281725258385028,-0.37244547117381277,0.03245239835256839,0.07766696308362332,1.1741588398731526,0.4136316337148803,15.567834509962488,0.007852654174794388,0.31930022651321743,0.11986103467340492,0.1890792555158388,XTIUSD,fut,0.5102021595552148,-0.07041820710982247,-0.02,0.8,-0.29,0.35,E_daily_fixed,1,1.0,
tom_fixed_long,1990-08-30,2024-03-28,33.3,0.006988687980408191,0.004419895530157092,0.07181983591885858,0.09730860410630775,0.0673588335335432,-0.4077330436400173,0.010840170055138739,0.1028687361235079,0.561610804949907,0.3993978926241846,12.950292331446207,0.007176665428237378,0.19725077724924223,0.09961460342473212,0.18942101501072195,XBRUSD,fut,0.29066100119272475,-0.0919179205805143,-0.1,0.51,-0.32,0.43,E_daily_fixed,1,1.0,
tom_fixed_long,1991-08-09,2024-03-28,32.4,-0.019422423457286505,-0.021490262519862968,0.0678509971185044,-0.2862511132056687,-0.20239125910525096,-0.5519701739576088,-0.038933738694209616,0.15240599996765977,-1.6284915988575062,0.38808290155440417,9.497551760571826,0.011441830363589324,-0.11764821754428051,0.07305984001076389,0.18881804806277588,XNGUSD,fut,-0.09545070006587697,-0.4772442113723718,-0.26,0.01,-0.87,0.19,E_daily_fixed,1,1.0,
tom_fixed_long,1990-08-30,2024-03-28,33.6,0.0005902950398478319,-0.0009750536340052962,0.05595936137005948,0.010548637893563658,0.007302174145838219,-0.4210084965505757,-0.00231599514497723,-0.01797607831200649,0.061105260680673165,0.3959365708622398,,,,,,PORT,fut,0.3061268303454915,-0.27786388838886394,-0.14,0.54,-0.62,0.41,E_daily_fixed,1,1.0,
pre_hol_fixed_long,1991-10-29,2024-03-28,32.2,0.011352048996089777,0.011085666927150406,0.02558507664915999,0.44369806476473805,0.16538215337112422,-0.08159926580992904,0.13585498370748203,0.4387994140627122,2.517549405514625,0.2991150442477876,11.311249360465123,0.0038051822850164053,0.5901254693836522,0.0224899715552752,0.03488228768642919,XTIUSD,fut,0.5735888971398596,0.3323076985854705,0.07,0.94,0.26,0.4,E_daily_fixed,1,1.0,
pre_hol_fixed_long,1990-08-30,2024-03-28,33.3,0.006915375033806012,0.006665985399497032,0.02328590481798948,0.2969768659564198,0.10322845343928812,-0.11717528367654328,0.05688900585807979,-1.1662994675825393,1.7139842696651548,0.2984822934232715,9.309812050049603,0.0036098548894418327,0.45065408639436266,0.018512145897915274,0.03538241601143674,XBRUSD,fut,0.2323322245408559,0.35496533544072056,-0.22,0.72,0.27,0.46,E_daily_fixed,1,1.0,
pre_hol_fixed_long,1991-08-09,2024-03-28,32.4,-0.0023816579976420065,-0.0027117395978853986,0.025851324091925355,-0.09212905262310783,-0.035129598325479384,-0.14601613132098468,-0.018571506951682137,1.1680221818838625,-0.5241250820905492,0.25220458553791886,6.665506247520546,0.006908466221516868,0.17480624418912505,0.013244562465204973,0.03482099068170672,XNGUSD,fut,0.04932073805081483,-0.23466009881725086,0.11,-0.08,-0.25,-0.18,E_daily_fixed,1,1.0,
pre_hol_fixed_long,1990-08-30,2024-03-28,33.6,0.00556928874524313,0.005402360607184242,0.01905098222893713,0.2923360422216847,0.1151891182624032,-0.05871867170678913,0.09200413514394289,0.32190501758152823,1.6934195909039351,0.26802507836990597,,,,,,PORT,fut,0.40085203881434345,0.19547349515162663,0.03,0.68,0.11,0.31,E_daily_fixed,1,1.0,
post_hol_fixed_long,1991-10-29,2024-03-28,32.2,-0.0072141761835939665,-0.008010346651061151,0.04056327396444134,-0.17784994845135213,-0.05640623679661741,-0.34736449966160177,-0.023060349168855,-3.7155025992960997,-1.0091232474315985,0.2565543071161049,10.68911214240193,0.004550602294788214,-0.06567822703777354,0.021208555838099066,0.032910144212991495,XTIUSD,fut,0.09939940566767269,-0.44903634398487313,-0.04,0.09,-0.26,-0.8,E_daily_fixed,1,1.0,
post_hol_fixed_long,1990-08-30,2024-03-28,33.3,-0.008331665343441777,-0.009045568453206587,0.03871980800197519,-0.21517837441282658,-0.06745989519677455,-0.34701633530835485,-0.026066693503545867,-4.06598807254918,-1.2418891543216217,0.24060150375939848,8.41939696827967,0.003950359179983926,-0.11325073544782178,0.016705152714840618,0.03168930188229688,XBRUSD,fut,0.05765279058624092,-0.4693727020931024,-0.03,-0.01,-0.3,-0.8,E_daily_fixed,1,1.0,
post_hol_fixed_long,1991-08-09,2024-03-28,32.4,-0.018220751711715805,-0.018782949546626404,0.03840641169001889,-0.474419528144855,-0.1596284463735564,-0.479332418432484,-0.03918564408401695,-2.0716796452966912,-2.6989876380419218,0.2294776119402985,6.320149323630267,0.007109220397244866,-0.290542169784541,0.012539978816726721,0.03285924472780775,XNGUSD,fut,-0.15210100364704676,-0.7831864154146998,-0.21,-0.19,-0.78,-0.89,E_daily_fixed,1,1.0,
