sym,config,case,is_sharpe,oos_sharpe,full_sharpe,full_gross_sharpe,full_trades_py,full_avg_bps,full_hit,full_max_dd,full_ann_ret,full_ann_vol,full_sharpe_2x,oos_sharpe_2x,sharpe_2013_2016,sharpe_2017_2020
XTIUSD,on930|q0.8|14:30,baseline,0.8755685532022145,0.5290096478411942,0.6834320810352172,1.1156655577909635,54.944906444906444,9.35135619302909,0.5208581644815257,-0.20272655193278877,0.05138093911589799,0.07518075393544532,0.24564244021882847,0.11557418589824686,0.9658060893549795,0.3421308007760753
XTIUSD,on930|q0.8|14:30,entry 14:01,0.9087042996354431,0.5699025972532854,0.7203441801408508,1.1709223744664605,54.944906444906444,9.440955983357046,0.5160905840286055,-0.19538365768576993,0.05187324432560326,0.07201174904399221,0.26338958881216334,0.138527536635921,1.1090503353417378,0.3153752504210964
XTIUSD,on930|q0.8|14:30,entry 14:02,0.9365141440725502,0.5957005752430591,0.743608848096956,1.193989589715898,54.944906444906444,9.743157584460644,0.5125148986889154,-0.1703657801259223,0.05353368819561708,0.07199173104599349,0.28664531509233876,0.16849540283479722,0.9387392148646523,0.4624550907250752
XTIUSD,on930|q0.8|14:30,exit 14:29 (early),0.8437307056804584,0.6089491996192993,0.7072203645521082,1.120477945848644,54.944906444906444,10.11822149089657,0.5232419547079857,-0.1888474090862413,0.05559447332061538,0.07860983097655012,0.2887048612663707,0.2204450360048266,1.1005202737815054,0.4104250942529354
XTIUSD,on930|q0.8|14:30,exit 14:31 (late),0.8138084116422378,0.3659890275805021,0.5662281582384335,1.0163996714225145,54.944906444906444,7.460362118213556,0.5137067938021455,-0.23580518194246147,0.04099088986303681,0.07239288485857306,0.11108292773223627,-0.06172991706343614,0.7687016616917992,0.1763014806544567
XTIUSD,on930|q0.8|14:30,entry 14:01 + exit 14:31,0.8473889009058683,0.40153281715002653,0.6001247084676669,1.070877253195075,54.944906444906444,7.551419179300239,0.5101311084624554,-0.22879954893217258,0.04149120203329238,0.06913763330830731,0.12359787827425761,-0.04575453388226947,0.9141523579821023,0.140033621408638
XTIUSD,on930|q0.8|14:30,long trades only,0.8532018942177586,0.4027042116728214,0.5862927264316213,0.8790909770764209,26.850311850311847,11.756514793999761,0.551219512195122,-0.13024363485189627,0.03156660884916985,0.053841037805969494,0.2883317995511941,0.1455128350735357,1.1050033932300887,0.18482192667445493
XTIUSD,on930|q0.8|14:30,short trades only,0.4140819644019798,0.34294925059450465,0.37727870116571627,0.6944616035480145,28.094594594594593,7.052719767858983,0.49184149184149184,-0.11422196417811081,0.019814330266728155,0.05251907994144862,0.05643863822068792,0.009809071869603786,0.3981183332378372,0.31907838050801157
XTIUSD,on930|q0.8|14:30,EIA report days only,0.20014645394441496,0.3140956369066577,0.26082581707179703,0.4380804900207248,9.364864864864865,8.689737149907062,0.5384615384615384,-0.07032381981055902,0.008137821412007562,0.031200214393529453,0.08099007554482152,0.12356892451261613,0.4480202641620187,0.2060310684475177
XTIUSD,on930|q0.8|14:30,non-EIA days only,0.8592951440731942,0.4334829131641739,0.632011721707769,1.0256000017364049,45.58004158004158,9.487292289532613,0.5172413793103449,-0.1488534751950965,0.04324311770389043,0.06842138558291691,0.23303648235458563,0.06674164661930103,0.8764811622224433,0.2833316539996175
