bot,series,config,n_starts,first_start,last_start,p_stop_out,p_loss_ge_50pct,p_final_loss,mean_2y_ret,median_2y_ret,p05_2y_ret,worst_2y_ret,best_2y_ret,median_win_rate,median_trades,median_max_dd,p_stop_given_profitable_year1,share_profitable_year1,median_seq_win_rate,intraday_stop_check
grid,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,161,2005-01-03,2018-05-01,0.7391304347826086,0.9565217391304348,0.9192546583850931,-0.6477759474931223,-0.7792518890837496,-0.9337424638811871,-0.9862438500360242,0.2593335113674442,1.0,28.0,-0.8033014402381418,0.5238095238095238,0.13043478260869565,,False
grid,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,161,2005-01-03,2018-05-01,0.782608695652174,0.9565217391304348,0.937888198757764,-0.6522771437456334,-0.7522525184510991,-0.8707066783933504,-0.9439711873771409,0.2593335113674442,1.0,25.0,-0.7764420097756846,0.65,0.12422360248447205,,True
grid,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,136,2007-02-26,2018-05-01,0.6911764705882353,0.8676470588235294,0.8382352941176471,-0.5709383890430224,-0.7823312012603746,-0.9615034120606034,-1.0,0.46921350305964626,1.0,34.0,-0.7978916454726375,0.4375,0.23529411764705882,,False
grid,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,136,2007-02-26,2018-05-01,0.7058823529411765,0.8676470588235294,0.8529411764705882,-0.5557404639757995,-0.7439191898511106,-0.8740382925897048,-0.9148290165861649,0.46921350305964626,1.0,32.5,-0.7682474862759298,0.4666666666666667,0.22058823529411764,,True
grid,NatGas (GAS_US),step5.0%_lot0.5x_n8,161,2005-01-03,2018-05-01,0.782608695652174,0.8881987577639752,0.8881987577639752,-0.7106667752650542,-0.896829824822356,-1.0,-1.0,0.6477324795931887,1.0,28.0,-0.9025639793420701,0.3125,0.19875776397515527,,False
grid,NatGas (GAS_US),step5.0%_lot0.5x_n8,161,2005-01-03,2018-05-01,0.8198757763975155,0.8881987577639752,0.9006211180124224,-0.6849033569585206,-0.8182111389819122,-0.9139403214494517,-0.9695470306797939,0.6477324795931887,1.0,26.0,-0.8429299911133836,0.36666666666666664,0.18633540372670807,,True
grid,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,125,2008-01-10,2018-05-01,0.72,0.912,0.896,-0.6982184270415046,-0.9010224797865745,-1.0,-1.0,0.7199906506426843,1.0,30.0,-0.9081015994534384,0.3870967741935484,0.248,,False
grid,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,125,2008-01-10,2018-05-01,0.76,0.912,0.904,-0.6701658824326455,-0.863323001000546,-0.9154870502414669,-0.9562257440868454,0.7199906506426843,1.0,26.0,-0.8691777663667475,0.35714285714285715,0.224,,True
martingale,"WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k6,161,2005-01-03,2018-05-01,0.17391304347826086,0.4720496894409938,0.546583850931677,-0.14117707901166676,-0.03646300045600093,-0.9730493631661874,-0.9975433625392206,1.188986356045488,0.5374149659863946,73.0,-0.5551346253158089,0.11627906976744186,0.5341614906832298,1.0,False
martingale,"WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k6,161,2005-01-03,2018-05-01,0.5962732919254659,0.9254658385093167,0.968944099378882,-0.665411244009295,-0.7170652718024364,-0.9876216035400479,-0.9999628896201442,0.06631275521143087,0.42528735632183906,67.0,-0.7561972060191888,0.5428571428571428,0.21739130434782608,1.0,True
