name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,lag,cost_mult
crack321_z60,1991-10-29,2024-03-28,32.4,0.03949739587308401,0.035338647050762395,0.09774324156221344,0.4040933699538088,0.5597923714156874,-0.3671976983870292,0.09623874878843927,0.5352503524150909,2.299463572181932,0.5042892156862745,13.692839156819481,0.013030945553096477,0.5373620091458382,0.35595990810944705,1.0,XTIUSD,fut,0.004993040910688878,0.7872103366496106,-0.0,0.2,0.73,0.83,,
crack321_z60,1990-08-23,2024-03-28,34.1,0.05503384714324403,0.05167161586209712,0.09657699806451832,0.5698442511795473,0.8024800155719334,-0.36585699019111007,0.1412344638682612,0.8297493622375719,3.3271912131450327,0.5052991050400377,11.303281234716296,0.011262220947580115,0.6863965492361191,0.2964248881627134,0.9884763124199744,XBRUSD,fut,0.2709824669429319,0.8647708349061975,0.37,0.36,0.77,0.97,,
crack321_z60,1990-08-23,2024-03-28,34.4,0.045385572001498065,0.041883924084696655,0.09342650082169023,0.485789059874125,0.6775571133998168,-0.3676774816392515,0.1139148470500874,0.7368350398879698,2.8477798039742312,0.504613946968812,,,,,,PORT,fut,0.12847623771021643,0.8417176425342668,0.19,0.26,0.77,0.9,,
crack321_z120,1991-10-29,2024-03-28,32.4,0.030962475679518566,0.02663478183027057,0.09672036974798162,0.32012362814777906,0.42429868963703854,-0.37620852702177576,0.07079792167690259,0.12936309039299432,1.8216399383258286,0.5058823529411764,8.893512731670615,0.011502536375048463,0.43899214157369004,0.3521635551100664,1.0,XTIUSD,fut,0.052115188199705315,0.5697824224600795,0.18,0.23,0.43,0.49,,
crack321_z120,1990-08-23,2024-03-28,34.1,0.04854764530274463,0.04492078558861423,0.09601724316431955,0.5056138220888345,0.6788819440618867,-0.39974043273466364,0.11237488607621379,0.35789683027568936,2.9521643196652922,0.5061669829222012,7.2266078508390255,0.009734820763726441,0.6069400410835816,0.29233769073329396,0.981492259341171,XBRUSD,fut,0.26805390528585726,0.7326231421061279,0.55,0.3,0.6,0.66,,
crack321_z120,1990-08-23,2024-03-28,34.4,0.03850617056173943,0.034802459991025714,0.09271034244054133,0.4153384568332806,0.5509373962429284,-0.39424592837151484,0.08827601627943729,0.2470057299883492,2.4347861384324263,0.5061757440301141,,,,,,PORT,fut,0.14761580443856703,0.6742341113645508,0.4,0.23,0.54,0.59,,
crack321_z250,1991-10-29,2024-03-28,32.4,0.045423313018090467,0.04228541944706232,0.08949390095136185,0.5075576384001534,0.6420712025993165,-0.29534572763147127,0.14317261260615066,0.01331401900704503,2.8882193746887075,0.5113970588235294,6.7002981197440965,0.009553350839995069,0.6141031507527955,0.3006511438564888,1.0,XTIUSD,fut,0.33736573658365776,0.6674166159677037,0.45,0.53,0.44,0.7,,
crack321_z250,1990-08-23,2024-03-28,34.1,0.06040520149265457,0.058074711352515296,0.08890777990688924,0.6794141250171283,0.8691054444234646,-0.3132011305745175,0.18542305784780058,0.26038405462642306,3.9669448312664577,0.5073476270778126,5.3561912821818805,0.007890323101736072,0.7679609959546253,0.2442013792029013,0.9663601443370969,XBRUSD,fut,0.5439581729412214,0.8107396688229926,0.86,0.54,0.56,0.88,,
crack321_z250,1990-08-23,2024-03-28,34.4,0.05207681548579252,0.04957717824512331,0.08586951634611598,0.6064645255003587,0.763619284466594,-0.29952459883474447,0.16551955478112945,0.12185450396130242,3.555200333235679,0.5135587146099629,,,,,,PORT,fut,0.4446070974528693,0.7648884444896754,0.7,0.5,0.51,0.84,,
crack321_z500,1991-10-29,2024-03-28,32.4,0.04498283500354334,0.041810738584657114,0.08962892870237518,0.5018785302334121,0.6186887328711235,-0.22154726389711155,0.18872152988571494,-0.1895172006321779,2.8559028277644276,0.5128787878787879,4.823166518580715,0.008854158534649414,0.600450344550446,0.2942896527181787,0.9705882352941176,XTIUSD,fut,0.4364358222521658,0.565164327148925,0.43,0.58,0.54,0.37,,
crack321_z500,1990-08-23,2024-03-28,34.1,0.058807621695140526,0.05635962465497357,0.08914921941639616,0.6596538038147391,0.8191524951701779,-0.2743730124881898,0.20541242064541437,0.015480515159131202,3.851568801873477,0.514033780427223,3.826203086102786,0.007221793481582557,0.7404503032522569,0.23866928286952,0.9372599231754162,XBRUSD,fut,0.5998252869239801,0.719270929261171,0.85,0.53,0.72,0.5,,
crack321_z500,1990-08-23,2024-03-28,34.4,0.05126205177410688,0.04870872465029441,0.08598297895992972,0.5961883665137528,0.7279740771559867,-0.26464993514978974,0.18404963758153073,-0.13870863581304219,3.4949597052724495,0.5174325489712948,,,,,,PORT,fut,0.5133292329321224,0.6798684997137264,0.68,0.53,0.65,0.5,,
crack321_z250,1991-10-29,2024-03-28,32.4,0.042532069877198424,0.03921663169399703,0.09012969236371723,0.4718985360069886,0.5938613067966395,-0.28487075798588035,0.13766464473668724,-0.03563146355646288,2.685303877759963,0.5139705882352941,6.699402720863723,0.009554432511405447,0.5776987018955618,0.3005955273061978,1.0,XTIUSD,fut,0.3853292419198293,0.5544816469661286,0.45,0.59,0.32,0.57,2.0,
crack321_z250,1990-08-23,2024-03-28,34.1,0.05781343910519154,0.055263597369624495,0.08966587679880005,0.6447652236192177,0.8169364790283272,-0.29750539020810374,0.1857566255554827,0.1559923520176202,3.7646377622074545,0.5102999638597759,5.355315851673152,0.007889834049761433,0.7325336258781944,0.2441498796398412,0.9662437434524502,XBRUSD,fut,0.5282309250112298,0.759264267906073,0.8,0.55,0.55,0.75,2.0,
crack321_z250,1990-08-23,2024-03-28,34.4,0.049517869963047544,0.046837490486403066,0.08649678765721193,0.5724821846481468,0.7157207008199454,-0.286772894237197,0.1633260723995156,0.03268623608841305,3.355989951684944,0.515531660692951,,,,,,PORT,fut,0.45802506733661474,0.6862409499381484,0.67,0.54,0.45,0.72,2.0,
crack321_z250,1991-10-29,2024-03-28,32.4,0.04073063701327805,0.037293064627506034,0.09069818203638107,0.4490788690443661,0.5646867189780561,-0.32638922194621567,0.11425948566908072,-0.042411993108211664,2.5554502429035635,0.514828431372549,6.6977523293690355,0.009560759082794097,0.5543106581126495,0.3005354260847927,1.0,XTIUSD,fut,0.33409595705620726,0.5593506557674193,0.47,0.5,0.32,0.57,3.0,
crack321_z250,1990-08-23,2024-03-28,34.1,0.054159018815371225,0.05137200750757742,0.09011730956939652,0.6009835299584155,0.7603428714035866,-0.3501488494720212,0.1467147688334253,0.13108835997487958,3.509006392507226,0.509277108433735,5.3520430444227864,0.007891094041735653,0.6883811380260642,0.24409490614619092,0.9661273425678035,XBRUSD,fut,0.44318552651413734,0.755744257083628,0.76,0.45,0.53,0.77,3.0,
crack321_z250,1990-08-23,2024-03-28,34.4,0.0468112134809069,0.04396193089759448,0.08700673959377905,0.5380182466261945,0.6715629859324883,-0.3327840441993952,0.13210348171396608,0.013794044081226083,3.1539563639179273,0.515832238021269,,,,,,PORT,fut,0.3879721694948337,0.6873840646549938,0.65,0.44,0.44,0.73,3.0,
