name,fut_port,fut_is,fut_oos,fut_maxdd,fut_2010s,fut_2020s,cost_wti,cost_ng,turn_wti,spot_2024_26_wti,spot_2024_26_brent,last12m_wti,last12m_brent
"slow+medium (ew 8-64, bo 40-320)",0.5807176740998253,0.6212848436234251,0.5355009024829108,-0.3188315896459728,0.32,0.86,0.016427163005853365,0.013152214755443595,6.229310202495947,-0.7400977150549988,-0.774089632208463,-0.14463399981565217,-0.054691295060179605
"slow+medium (ew 8-64, bo 40-320) +vol overlay",0.6099614006916347,0.6498938639431208,0.5648909540204683,-0.2809100025829646,0.35,0.92,0.015818760789674917,0.013216657756013944,6.870880314631365,-0.7507526236006626,-0.9789167436812822,0.02943917008267303,-0.1998962928206974
"slow+medium (ew 8-64, bo 40-320) +vol overlay +crack",0.7214836329328304,0.6380442707295837,0.8096170690932106,-0.22319560872957456,0.53,1.1,0.01421752436423359,0.013216657756013944,7.89001600565055,,,,
"fast (ew 4-8, bo 20-40)",0.4926543189295123,0.5103912230668449,0.47396424886214034,-0.3416974124120069,0.32,0.68,0.02080620500777874,0.020092298637984524,18.284233937819867,-0.23467125268458003,-0.029090251453360482,0.6853805682871499,0.9432869809012927
"fast (ew 4-8, bo 20-40) +vol overlay",0.5319777973800882,0.566935340368579,0.4938273562800018,-0.3261113542345926,0.33,0.74,0.020188978785525225,0.0197215322193496,18.26646300974724,-0.300042754815465,-0.33490791520810914,0.6860860491630044,0.6013990015853868
"fast (ew 4-8, bo 20-40) +vol overlay +crack",0.6767251427469984,0.6155144170440005,0.7408872225879464,-0.23619835948470425,0.45,1.02,0.016220095547321883,0.0197215322193496,12.973495853143481,,,,
"fast+medium (ew 4-32, bo 20-160)",0.5992875462626426,0.6341013132706949,0.5616456001696644,-0.3031441100929013,0.32,0.85,0.018449060104628233,0.016445571304405025,11.577881897814216,-0.4942564693329504,-0.40851626244164635,0.40973771319869645,0.5011191793524343
"fast+medium (ew 4-32, bo 20-160) +vol overlay",0.628049385889922,0.6699467330326914,0.5814620010515179,-0.2705283772211067,0.35,0.9,0.01788717964936924,0.016341801285114314,11.928456835671975,-0.5587996021192938,-0.6769155247348352,0.4896905207848915,0.31140736297015115
"fast+medium (ew 4-32, bo 20-160) +vol overlay +crack",0.7216463965246782,0.6498388037252859,0.7974308198518265,-0.2391997126897284,0.48,1.1,0.015407669758071205,0.016341801285114314,10.140563770893326,,,,
"all speeds (ew 4-64, bo 20-320)",0.6059296877572516,0.6566196741638816,0.5499558415056527,-0.3143311920832954,0.33,0.87,0.017564456613808278,0.015241615509548227,9.720575222321298,-0.6606410207057973,-0.5769300381302306,0.1342421914400537,0.2386743643150599
"all speeds (ew 4-64, bo 20-320) +vol overlay",0.6398870921112519,0.6920981560863334,0.5810052471313761,-0.27784242837045536,0.36,0.93,0.017008296672958268,0.01521542520940231,10.235555299472392,-0.7093849610128713,-0.7947718138122646,0.24802612530889778,0.10160920241586682
"all speeds (ew 4-64, bo 20-320) +vol overlay +crack",0.7357439797644845,0.6683316947134659,0.8068148971771578,-0.22487060161552053,0.51,1.1,0.014940528806880706,0.01521542520940231,9.454053273339577,,,,
tsmom 1/3/12m (HOP 2017),0.6621083943602141,0.80219394040647,0.5134530661653225,-0.21589724655467368,0.26,0.74,0.015304730757530569,0.015410832666319419,15.597596427892721,-0.052497357670125026,-0.1770783344146164,1.0590383828882812,0.8034935556340991
tsmom 1/3/12m (HOP 2017) +vol overlay,0.709129303040289,0.8664609875852398,0.5368603128505012,-0.1933430490199134,0.3,0.78,0.014792035058672538,0.015197411582302325,15.515642104813018,-0.13247683790524173,-0.33971519026740365,1.1151110117257694,0.74375191855883
tsmom 1/3/12m (HOP 2017) +vol overlay +crack,0.813931315679534,0.7987641566840178,0.8296680073901909,-0.17922666536282694,0.51,1.02,0.01426238946852587,0.015197411582302325,12.472408689435536,,,,
tsmom 1/3/12m + fast+medium,0.6451161908809425,0.7220759404001442,0.5629669259362845,-0.26000173508201885,0.31,0.82,0.015664088633911943,0.014515297782545887,11.620368631594665,-0.28856362541907465,-0.30142110183773557,0.6696238513641146,0.6111281266561692
tsmom 1/3/12m + fast+medium +vol overlay,0.6828745101231435,0.7703466019135573,0.5863019829216249,-0.23170504064636976,0.35,0.87,0.015167139901945606,0.014459200556919917,11.871221962073498,-0.3530383807831905,-0.5185028969027302,0.7434936710396158,0.481454390171706
tsmom 1/3/12m + fast+medium +vol overlay +crack,0.7731016808201285,0.7214663317022801,0.8268534658628167,-0.19249570704435837,0.5,1.09,0.014199501598831661,0.014459200556919917,10.121705902388795,,,,
