symbol,period,beta,t,r2,n,corr_carry_trend
XTIUSD,full,0.05433109277236771,1.1666978719705279,0.0053905899465490625,400,0.43343502559325403
XTIUSD,1990-2007,0.14372758899588303,3.038762693387799,0.052443283269250296,206,0.4921391462602417
XTIUSD,2008-2024,-0.05290175280758187,-0.7087977125204008,0.0038115656567756506,194,0.369011427202829
XBRUSD,full,-0.0147610228799009,-0.3778133990108372,0.001035029687027511,421,0.3813371225764613
XBRUSD,1990-2007,0.031005591147413893,0.9183428480016331,0.005681986819403795,222,0.3422857670968182
XBRUSD,2008-2024,-0.07620535932285581,-1.1965656446993616,0.021932569139035407,199,0.4200135888221955
XNGUSD,full,-0.006668363770254906,-0.6757536055353129,0.0009892574290226719,402,0.2243001703353752
XNGUSD,1990-2007,-0.007680542440226123,-0.7013184553575804,0.0018195764605094533,209,0.27704036684135475
XNGUSD,2008-2024,-0.008555898769283749,-0.4168688502000115,0.00101148946526175,193,0.14990184320640995
