strategy,variant,blend,instrument,period,net_sharpe,sr_2005_2007,sr_2008_2024,sr_2010s,sr_2020s,gross_sharpe,cagr,max_dd,turnover_py,oos_accuracy,oos_auc,verdict
"LogReg L2, next-5-day target, per-instrument",lr_y5_per_instr,0.0,PORT,2005-2024,0.47267390762858713,0.9064193084106982,0.3952341319588824,0.08,0.93,,0.04903377852225366,-0.2839829093943296,,0.5363109444255029,0.5396430081017721,
"50/50 blend: trend + LogReg L2, next-5-day target, per-instrument",lr_y5_per_instr,0.5,XTIUSD,2005-2024,0.3913553794266161,1.181163460291033,0.2585592362878948,-0.04,0.7,0.5105764509093117,0.04501856364313683,-0.41742870555769707,20.62064303249472,0.5313463514902363,0.5207750104236689,
"50/50 blend: trend + LogReg L2, next-5-day target, per-instrument",lr_y5_per_instr,0.5,XBRUSD,2005-2024,0.624417074096389,0.7356603647215906,0.6062660953918129,0.51,0.7,0.7262609698720937,0.07967111456082066,-0.2911079673419239,14.004050506724324,0.5469223007063572,0.5354842943748512,
"50/50 blend: trend + LogReg L2, next-5-day target, per-instrument",lr_y5_per_instr,0.5,XNGUSD,2005-2024,0.4666162242062359,0.48283732589612127,0.46373865540780973,0.09,0.87,0.584586915775135,0.05876567655043341,-0.29138886177712364,10.30497270576196,0.5304437564499485,0.520822991732425,
"50/50 blend: trend + LogReg L2, next-5-day target, per-instrument",lr_y5_per_instr,0.5,PORT,2005-2024,0.6835641123542033,1.030218429776409,0.6228873718434225,0.3,1.11,,0.06737397183133775,-0.2116408813709867,,0.5363109444255029,0.5396430081017721,
"LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.0,XTIUSD,2005-2024,0.5349890404945691,0.45193680192330693,0.5493852713596762,0.5,0.82,0.67368718080354,0.0809116789404336,-0.4308668237224751,35.89467757528866,0.5364850976361768,0.5221237055504974,
"LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.0,XBRUSD,2005-2024,0.6063417053492833,0.7636720739225777,0.5793721389238142,0.52,0.84,0.7344633564612739,0.08675863246262705,-0.29953258871991983,26.936585511286985,0.5610494450050454,0.5416246236638529,
"LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.0,XNGUSD,2005-2024,0.28817541003567393,0.39392001192316334,0.26930805797145746,0.25,0.48,0.47287133136418563,0.033788416218002215,-0.3449023529192644,21.417893183545754,0.5314757481940144,0.5137921295424591,
"LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.0,PORT,2005-2024,0.6306111467684905,0.6845365776323534,0.6205559332499978,0.59,0.99,,0.07264924673458406,-0.2374395693039908,,0.5431299011251278,0.5438470476293332,
"50/50 blend: trend + LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.5,XTIUSD,2005-2024,0.5123255021321871,0.8997607866536973,0.4463393144872511,0.31,0.65,0.6195331896055631,0.06663788682058347,-0.39509542505537043,15.813947784087299,0.5364850976361768,0.5221237055504974,
"50/50 blend: trend + LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.5,XBRUSD,2005-2024,0.6145567228785311,0.6451656758696227,0.610342704452817,0.55,0.73,0.7088071855402793,0.08224355921301152,-0.2773880743039746,12.201152842616539,0.5610494450050454,0.5416246236638529,
"50/50 blend: trend + LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.5,XNGUSD,2005-2024,0.471219453366555,0.35597887480212725,0.49277206327542883,0.29,0.91,0.5823639407743375,0.06107505189482065,-0.30841725639471895,9.57789779882679,0.5314757481940144,0.5137921295424591,
"50/50 blend: trend + LogReg L2, next-5-day target, pooled",lr_y5_pooled,0.5,PORT,2005-2024,0.7270779270098345,0.8300438858863398,0.7086423908257836,0.55,1.08,,0.07699104617179398,-0.19671464221225654,,0.5431299011251278,0.5438470476293332,
