sym,month,abs_r_1030_bps,abs_r_1035_bps
XTIUSD,2008-01,37.72530341144886,7.795041248478185
XTIUSD,2008-02,23.562063129380917,4.906277644569634
XTIUSD,2008-03,94.6375224489926,10.091937112726157
XTIUSD,2008-04,51.82241049119618,40.12826465861963
XTIUSD,2008-05,36.56801504740237,13.04021811637579
XTIUSD,2008-06,2.6287619096510007,46.43594393803241
XTIUSD,2008-07,5.402966564588496,59.10942969463484
XTIUSD,2008-08,12.857798516463514,35.774749053696375
XTIUSD,2008-09,2.8148912388736846,30.635860430179296
XTIUSD,2008-10,11.144800422947299,59.84244672397132
XTIUSD,2008-11,6.900134285950932,67.54374371522375
XTIUSD,2008-12,20.95743332665556,93.68668630623046
XNGUSD,2008-01,25.064173112406607,5.801075294042057
XNGUSD,2008-02,46.1657630996315,10.34024261148958
XNGUSD,2008-03,33.22256184671413,14.382679711413271
XNGUSD,2008-04,61.981741437679986,21.577724071683015
XNGUSD,2008-05,87.40901551114,25.19454191754633
XNGUSD,2008-06,4.781418960339012,88.46491515569267
XNGUSD,2008-07,6.239562440678803,122.90637920132141
XNGUSD,2008-08,12.051729152903201,171.62787760523378
XNGUSD,2008-09,4.748727501170391,146.7651341644921
XNGUSD,2008-10,13.47006061284528,68.89073055484963
XNGUSD,2008-11,6.786635361248164,108.93773828316245
XNGUSD,2008-12,9.526651410938966,102.77905378221708
