date,crude_long_FebMay,crude_short_OctDec,crude_FebMay_long_OctDec_short
1990,0.0,0.0097893847157291,0.00523856712710602
1991,0.013948676971603291,0.08225564061996238,0.09858908188571602
1992,0.08989739642383276,0.05574931461874244,0.15269634443458346
1993,-0.011871613337786857,0.18740794983830322,0.17406382940409193
1994,0.07585620183726438,0.01550290699228718,0.09246912383852002
1995,0.06229991154440184,-0.0991606822466018,-0.04018736268227918
1996,0.11641294814535885,-0.05707458914411423,0.05041757913658351
1997,-0.03342487987315457,0.06848290329508244,0.03205425460754818
1998,-0.07891215472354207,0.17948334222267803,0.08952102529631634
1999,0.11866396131035883,-0.008579787004933781,0.10858663631363741
2000,0.10379023044022162,0.046119339444379515,0.1573240845310473
2001,0.06445242269028006,0.022300939094608285,0.08880650062172424
2002,0.09041170770535811,-0.006060259821081826,0.08246998865906785
2003,-0.02964521957359212,-0.0881576686698039,-0.11624330771983638
2004,0.17010709567783122,0.02367950093072979,0.20101984495930658
2005,0.07086710355632153,0.026892577241588222,0.09707911940823988
2006,0.023500800407645794,0.030271097573879135,0.05331572778995741
2007,0.03969878673820815,-0.1169236562234629,-0.08518567064411176
2008,0.18805619390397155,0.1638651440384844,0.3877841178376662
2009,0.08539017018001327,-0.04606784415109566,0.036957080546587306
2010,-0.0003029828216878361,-0.07210689217808997,-0.07605461748937326
2011,0.05112619632617443,-0.06436700199877565,-0.013103516328928033
2012,-0.07177616460149916,-0.007619082302623537,-0.0799765952690964
2013,-0.08405908751609426,-0.02030446703148081,-0.10292392590128308
2014,0.05973068235438439,0.3103829966495477,0.3939237751240736
2015,0.059701728583450686,0.09624885862422494,0.16256753137464597
2016,0.10641743990360597,-0.045691300664311374,0.05478780376945025
2017,-0.07934681956012712,-0.10064527414003754,-0.17025684297131927
2018,0.05254483171033231,0.22146760820986944,0.2883979195431947
2019,-0.008121133540417436,-0.06642144042491283,-0.07625897428338702
2020,-0.1801678894350327,-0.07131930553838461,-0.24212719453360487
2021,0.15736119932719483,-0.011510153836732928,0.14598073949956447
2022,0.18238970372043983,-0.03343318952325314,0.14580648645968242
2023,-0.0726471571919659,0.064630153802814,-0.011426169258808905
2024,0.047820620966694705,-0.00016992471637145012,0.04665274362628535
