sym,entry,exit,thr,cost_mult,is_sharpe,is_trades_py,is_avg_bps,oos_sharpe,oos_trades_py,oos_avg_bps,full_sharpe,full_trades_py,full_avg_bps,full_ex2020_sharpe,oos_ex2020_sharpe
XTIUSD,18:05,09:00,0.005,0.0,0.1853916206610004,5.647410358565737,16.98140616763968,1.077908055421175,7.943478260869566,98.59228856116977,0.6776940822178457,6.745322245322245,62.93704868050129,0.4956141088342791,1.0201436252929552
XTIUSD,18:05,09:00,0.005,1.0,0.1091832051480555,5.647410358565737,9.981406167639683,1.0112402613063236,7.943478260869566,91.59228856116977,0.6065571045944081,6.745322245322245,55.93704868050128,0.40500016369568964,0.9120910505917263
XTIUSD,18:05,09:00,0.005,2.0,0.032643293004553015,5.647410358565737,2.9814061676396957,0.9426390217182544,7.943478260869566,84.59228856116977,0.5339886961029195,6.745322245322245,48.93704868050131,0.31269902710702085,0.798262156711868
XTIUSD,18:05,09:00,0.005,3.0,-0.04399610208081538,5.647410358565737,-4.0185938323603105,0.8721676203101184,7.943478260869566,77.5922885611698,0.4601281712798933,6.745322245322245,41.937048680501285,0.21906647833542964,0.6790356675365422
XTIUSD,18:15,09:00,0.005,1.0,0.08832919308276953,5.647410358565737,7.844908720519608,0.9903503633227041,7.943478260869566,88.60839098677832,0.5888204184295024,6.745322245322245,53.323374462684704,0.4381735795446594,1.0074691485508223
XTIUSD,18:30,09:00,0.005,1.0,-0.0557693026724284,7.529880478087649,-3.8106989581832282,0.9689436451274318,7.943478260869566,85.86657878405858,0.507817235233682,7.727650727650727,40.26796298291867,0.3492176538516751,1.0096732796367944
XTIUSD,19:00,09:00,0.005,1.0,-0.027731609073516482,7.655378486055777,-1.973539176573517,1.0073202017545448,7.943478260869566,83.85193125858751,0.5146129714757104,7.793139293139292,39.85736238005959,0.3322072913916497,0.9858325137468793
XTIUSD,20:00,09:00,0.005,1.0,0.030248195319453827,7.655378486055777,1.9488674191496151,1.0082065966814664,7.943478260869566,81.42072903735748,0.5569675165976438,7.793139293139292,40.68305207340218,0.3708316968582527,0.9962398095511757
XTIUSD,18:05,02:00,0.005,1.0,-0.1936333155387505,5.647410358565737,-7.077538127094885,0.43097334501398893,7.943478260869566,32.670403993802154,0.23339174538760782,6.745322245322245,15.304798212827716,-0.06385188311314877,0.047743153699677285
XTIUSD,18:05,06:00,0.005,1.0,-0.07521887684164787,5.647410358565737,-5.615155124032509,0.9408560270941196,7.943478260869566,77.71421847945695,0.5096229873112409,6.745322245322245,41.30818146822369,0.2445455219142473,0.6983247132220972
XTIUSD,18:05,12:00,0.005,1.0,0.5608720337495655,5.647410358565737,70.45572689127363,1.0482254271842253,7.943478260869566,116.11644038357393,0.815344204415038,6.745322245322245,96.1675849743165,0.6759374279743952,0.890793324994846
XTIUSD,18:05,14:30,0.005,1.0,0.7066746311803672,5.647410358565737,103.36308842968972,0.7891960541433666,7.943478260869566,88.74024119965497,0.7472651604991832,6.745322245322245,95.12886377588369,0.576826327857234,0.3834569087906426
XTIUSD,18:05,09:00,0.0025,1.0,0.12078945276435983,11.671314741035856,5.9671193178912905,0.6597418101680267,14.106521739130436,39.531264749243206,0.42212762311885554,12.835758835758835,23.605420233346624,0.2965376007879282,0.5353504859676088
XTIUSD,18:05,09:00,0.01,1.0,0.04449894783580497,2.50996015936255,6.409104412025926,0.9561880522644212,4.519565217391304,146.62622255126746,0.5956488752606962,3.470893970893971,93.71410249872349,0.3969904118409525,0.8897781555051922
XTIUSD,18:05,09:00,0.02,1.0,-0.15137594699907508,0.50199203187251,-44.21647844230235,0.7247795991129756,2.465217391304348,148.1775342589033,0.4475400533679161,1.4407484407484408,113.1968046768659,0.20084260413909186,0.4827124186160408
XNGUSD,18:05,09:00,0.005,0.0,-0.48501348874411637,21.85842472582253,-15.653698221986525,-0.5826164532114902,30.267391304347825,-16.205325858371598,-0.5339972606432184,25.881435257410295,-15.96233039322982,-0.569592591936661,-0.6560775827014967
XNGUSD,18:05,09:00,0.005,1.0,-1.1687118600819908,21.85842472582253,-38.65369822198651,-1.3769153832316596,30.267391304347825,-39.205325858371594,-1.2726066654607953,25.881435257410295,-38.962330393229806,-1.314005644197101,-1.4646230830434466
XNGUSD,18:05,09:00,0.005,2.0,-1.7870165563044138,21.85842472582253,-61.65369822198652,-2.0986453865869916,30.267391304347825,-62.2053258583716,-1.9421663056188587,25.881435257410295,-61.962330393229806,-1.985707887927271,-2.1932615356364638
XNGUSD,18:05,09:00,0.005,3.0,-2.320387462030509,21.85842472582253,-84.65369822198653,-2.7256987839207727,30.267391304347825,-85.2053258583716,-2.521864440317962,25.881435257410295,-84.9623303932298,-2.564305047604938,-2.820625795394113
XNGUSD,18:15,09:00,0.005,1.0,-1.1234754161627565,21.732801595214358,-37.03230023267729,-1.3878493401316465,29.993478260869566,-39.12158353458577,-1.2566211990778058,25.684867394695786,-38.199527383488395,-1.3074314174049735,-1.4969114547577165
XNGUSD,18:30,09:00,0.005,1.0,-1.4765614406549445,26.6321036889332,-44.38291272713167,-1.4046856150134328,29.719565217391306,-38.948900263710044,-1.441690522888206,28.109204368174726,-41.63423975612351,-1.4958331833484677,-1.5172855776105416
XNGUSD,19:00,09:00,0.005,1.0,-1.400542951165265,26.380857427716847,-42.65726227327305,-1.623298090446142,29.445652173913043,-45.3788515411125,-1.5084930353569155,27.84711388455538,-44.03406625582713,-1.5473168476978534,-1.7129557101467199
XNGUSD,20:00,09:00,0.005,1.0,-1.285271280527161,26.255234297108675,-36.550681454666,-1.7044289252310427,29.445652173913043,-46.93256111506213,-1.493145958793658,27.781591263650544,-41.81507798057442,-1.532265771498196,-1.7962979388171634
XNGUSD,18:05,02:00,0.005,1.0,-1.9241323370021708,21.85842472582253,-31.180641641231798,-0.5237819668250734,30.267391304347825,-6.766076528093038,-1.217306526339069,25.881435257410295,-17.520846982994666,-1.3324056892617349,-0.6518048908834018
XNGUSD,18:05,06:00,0.005,1.0,-1.6396720092530304,21.85842472582253,-34.78005607993942,-1.1183390073926696,30.267391304347825,-19.482864881647128,-1.3707649799988733,25.881435257410295,-26.221374422160693,-1.4305239028821306,-1.21873347931608
XNGUSD,18:05,12:00,0.005,1.0,-0.7699830379656681,21.85842472582253,-42.28997903389759,-0.7457234640273608,30.267391304347825,-27.231197882284846,-0.7583277504536347,25.881435257410295,-33.864686288311724,-0.8459959005222369,-0.9425576794609153
