model,term,coef,t,r2
fut ~ spot + carry/12,const,-0.0031966956872911192,-0.5580083903266757,0.6453691123682854
fut ~ spot + carry/12,spot,0.633391166304329,14.513852072185056,0.6453691123682854
fut ~ spot + carry/12,carry_m,0.6441605042668306,3.5646653409523554,0.6453691123682854
fut ~ month FE + demeaned carry (start of month),c0_dm,0.0025509769929303308,0.18273630394430648,0.02562363552269431
