date,trend,trend:XTIUSD,trend:XBRUSD,trend:XNGUSD,crack,crack:XTIUSD,crack:XBRUSD,trend+crack,trend+crack:XTIUSD,trend+crack:XBRUSD,trend+crack:XNGUSD,long_only
1990-08-23,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.004209792539551891
1990-08-24,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.0048885644360711095
1990-08-28,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.01515481004264959
1990-08-29,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.009909902822489141
1990-08-30,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.005122753209940042
1990-08-31,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0035664460281970927
1990-09-03,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.01710665279912194
1990-09-04,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0018597807501737776
1990-09-05,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0033804351944143355
1990-09-06,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0036405047744375316
1990-09-07,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.005083853443478803
1990-09-10,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.004007264672039049
1990-09-11,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.002879391652682197
1990-09-12,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0012602529580521922
1990-09-13,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.004297748557385103
1990-09-14,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.003980682590521897
1990-09-17,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.009544172991434851
1990-09-18,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.0007708584337776686
1990-09-19,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.000755978731876145
1990-09-20,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0018713871567172637
1990-09-21,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.00701615280817591
1990-09-24,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.012716640397350005
1990-09-25,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.0025913729360185402
1990-09-26,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0030922611418316747
1990-09-27,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.002525349613451029
1990-09-28,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.001951925219913861
1990-10-01,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.006351951721142456
1990-10-02,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.011504633230520662
1990-10-03,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.009249853492525299
1990-10-04,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.0006069073543646073
1990-10-05,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.003230190134552752
1990-10-08,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.003293778389223892
1990-10-09,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.00586950415377974
1990-10-10,0.0,,-0.0,,0.0,,-0.0,0.0,,-0.0,,-0.004441576317721829
1990-10-11,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0035089486270270917
