date,revised,revised_no_crack
1991-11-01,0.002240777197337328,0.004741590339036472
1991-11-04,-0.00048452462345282784,-0.0008712767589197085
1991-11-05,0.00026789858728011514,0.0004510599399528733
1991-11-06,-0.0024148627023356573,-0.003673410050952447
1991-11-07,-0.0005052904071100813,-0.000854888721911778
1991-11-08,-0.0007256225422196842,-0.0013373720601309853
1991-11-11,-0.002639407556615859,-0.004759365841722602
1991-11-12,-0.0004223229949168199,-0.0011050156700775492
1991-11-13,-8.32361170456616e-05,-0.0004101000148677626
1991-11-14,5.505853273220229e-05,0.00020808044515854124
1991-11-15,0.00012727705396767144,0.0011234046519681023
1991-11-18,-0.0005485620757197629,-0.000995943586996286
1991-11-19,5.294558964717287e-05,-0.000578649753357688
1991-11-20,0.00014481549391125138,-0.00014487293343947114
1991-11-21,0.0003404405717289284,-4.963689067019215e-05
1991-11-22,0.0011650969202853245,0.0004572977348032801
1991-11-25,-0.0004535904218261947,-0.0003040228070643264
1991-11-26,0.0019073854313511913,0.0013632814596312992
1991-11-27,-0.002157284880551115,-0.0024065234554568504
1991-11-28,-0.004450607772600065,-0.004580758459070389
1991-11-29,0.0003401237882008997,0.0002597138957522534
1991-12-02,0.001545460280989044,0.0013283527118143647
1991-12-03,0.003333779954474278,0.002444820350715437
1991-12-04,-0.001161540745118698,-0.0011152515293539956
1991-12-05,0.002541076452211045,0.0025845926147821806
1991-12-06,0.003121198189212118,0.0032939264120272634
1991-12-09,0.008952542870381377,0.00880731822257635
1991-12-10,-0.0011860738835923112,-0.0010537226324209001
1991-12-11,-0.0010103806670354375,-0.0009438550196971748
1991-12-12,-0.00564777201006906,-0.0051982845004449945
1991-12-13,-0.0027760037071011975,-0.0028203024154481496
1991-12-16,0.005269481813027757,0.005594011162338788
1991-12-17,0.004289095821876229,0.004713548025513156
1991-12-18,0.00010848850321068216,0.0001175497699163146
1991-12-19,0.0017806946379223616,0.0019297009091073687
1991-12-20,0.005848736467245665,0.006088012276191067
1991-12-23,-0.0029186529587448325,-0.002899120509882843
1991-12-24,-0.0021027989868627125,-0.0020915987234013853
1991-12-26,0.0,0.0
1991-12-27,0.0024058585462460058,0.002448987297475193
1991-12-30,-0.0006814623103126904,-0.000665554587305777
1991-12-31,0.0019163204834471914,0.0018344870174153572
1992-01-02,-0.012119377876265174,-0.01186934253418414
1992-01-03,0.0025613100335213756,0.0026990371957647977
1992-01-06,0.0010996874991984914,0.001238271566771607
1992-01-07,0.004491002377078532,0.0050343565546223145
1992-01-08,0.009184332063665925,0.009514740950959045
1992-01-09,0.0005496381788244978,0.0005361986522084737
1992-01-10,-0.005808515635678339,-0.005314208521044841
1992-01-13,-0.007592795192974077,-0.007470615172779795
1992-01-14,0.001710291940000429,0.0018155157574157815
1992-01-15,-0.005380205823333034,-0.005504298013537921
1992-01-16,0.00019794765990086203,0.0001872733473226436
1992-01-17,-0.0013452017788053363,-0.0019912791467334517
1992-01-20,0.0007282997750367786,0.001226176491312975
1992-01-21,0.00040450663906348665,0.00047654205542525504
1992-01-22,-0.0016699887387857358,-0.002236981046231755
1992-01-23,0.0007152663984129076,0.000507654957661887
1992-01-24,-0.0008375358422323037,-0.0006762236497295054
1992-01-27,-0.0005174399300458379,-0.0005035617565514477
1992-01-28,0.00015389122725060833,0.0001726463013191508
1992-01-29,0.0002188614041828691,0.00019136932900384139
1992-01-30,-0.00010065403200259207,-8.843569579156196e-05
1992-01-31,-1.2768403449974769e-05,-1.2177362339959666e-05
1992-02-03,-2.4152013706962626e-05,-6.227966231865662e-05
1992-02-04,-8.65193949310033e-05,-0.00017942912037008883
1992-02-05,0.00023042614094598727,-7.045501827287149e-05
1992-02-06,-0.00019332380770030604,-2.299741626866277e-05
1992-02-07,0.0009938459482163537,0.00021968304154696596
1992-02-10,-5.677591444086108e-05,-2.5939492547294116e-05
1992-02-11,-0.001449658333302382,-0.0008389833254814815
1992-02-12,-0.00030967430480217543,-0.00027906112916059416
1992-02-13,0.0010994091790488866,0.0005787824412047203
1992-02-14,-0.00032275032261271005,-0.00016764726323453632
1992-02-17,-0.005892030068020299,-0.0037994655936854018
1992-02-18,-2.6474085450860534e-05,-0.0001461913005064335
1992-02-19,-7.014845072491332e-05,-0.0004634177645320129
1992-02-20,-2.9053289394710836e-07,-0.00010898360896898083
1992-02-21,0.00010165607855172176,0.0004809539630726053
1992-02-24,0.0005129638220970012,0.0014379126447511177
1992-02-25,-0.00037962269202190596,-0.0006037650561151477
1992-02-26,0.00033395550322358486,0.0004778554152196182
1992-02-27,-0.0013707802419030328,-0.0019130226992272927
1992-02-28,0.00022350452345324445,0.0004405726257689223
1992-03-02,0.0011352591652728167,0.002153456116475285
1992-03-03,-0.001300472263507063,-0.0022120723401696483
1992-03-04,-1.6140428364727222e-05,-2.63893920251922e-05
1992-03-05,0.0001908030107208719,0.000425613317139915
1992-03-06,-4.865653223580863e-06,-1.0447540268596296e-05
1992-03-09,-0.0007074409305160026,-0.0010808890973298898
1992-03-10,-8.241402928101347e-05,-9.731205503031838e-05
1992-03-11,0.00070561537817696,0.0009445182919092959
1992-03-12,-0.0023548302355300937,-0.0038995976387368957
1992-03-13,-0.0010556621735091168,-0.0017758450813049323
1992-03-16,0.00033916591931567995,0.0007929258692103122
1992-03-17,-5.011534095139904e-05,-0.00020209209660641947
1992-03-18,-0.0001788797936376335,0.00014579111944761306
1992-03-19,0.00018320623920556233,-0.0003733014403316084
1992-03-20,-0.0010592918860404458,-0.0009137197000470017
1992-03-23,-2.505702560946694e-05,-0.00013121335804808782
1992-03-24,0.00010089699961442958,0.00013417944538735236
1992-03-25,3.0223551863821048e-05,4.688054368902678e-05
1992-03-26,9.450649206401648e-05,0.00020797394299116177
1992-03-27,-0.00018417071455045604,-0.0003818176927453739
1992-03-30,6.550769547053616e-05,0.0001363460923611827
1992-03-31,0.0003397692697626128,0.0007499384918885918
1992-04-01,0.0007339461194237873,0.0010151066382035644
1992-04-02,-0.0006441723566099356,-0.0005074050526037844
1992-04-03,0.002892876623053013,0.002566333709878478
1992-04-06,0.0022027115310197195,0.002188513399993162
1992-04-07,-0.0014686750855737096,-0.001535173286159728
1992-04-08,0.0030023222569277547,0.00330870323497393
1992-04-09,-0.0023455282992688215,-0.0028624651773501014
1992-04-10,0.0009232249467166937,0.0010946074366207524
1992-04-13,-0.0010957810240775118,-0.0013075039172016501
1992-04-14,-0.0014798065583271226,-0.002584741783919291
1992-04-15,0.00020749360371606713,0.0006853559370693015
1992-04-16,0.0007158358888221125,0.0021148641191317398
1992-04-20,0.0,0.0
1992-04-21,0.0001314374116838167,0.00021938008066785144
1992-04-22,-0.0021559792210574824,-0.0025929866106554392
1992-04-23,-8.842341201915168e-05,-0.00010581940726724781
1992-04-24,0.0006720265131762685,0.0007905474855225432
1992-04-27,0.00022237341762481274,0.0002616040927862282
1992-04-28,0.001000678632698916,0.0011465580086858721
1992-04-29,0.002720264825578363,0.003318843185873096
1992-04-30,0.001837790272245846,0.0023501185807408213
1992-05-01,-0.00013713543868029717,-0.00016412575014748413
1992-05-04,0.0,0.0
1992-05-05,-0.00020500771390155655,-0.00023190598549294354
1992-05-06,-0.00027099692103940107,-0.00028205356763774653
1992-05-07,-0.0005255762976284541,-0.0005185057750352117
1992-05-08,0.0017669556024253053,0.0017431849347514057
1992-05-11,0.002602259186893868,0.0028914074217321773
1992-05-12,-0.0003361177589356835,-0.0003650250443981494
1992-05-13,-0.0012155899398542528,-0.0014065496956212925
1992-05-14,-0.0024097003103415696,-0.0029852514869820926
1992-05-15,0.0019012475450113106,0.0026122702753333636
1992-05-18,-0.0018445961630842184,-0.0025226775106788404
1992-05-19,-0.0026233459939643375,-0.004081495344587124
1992-05-20,-0.00041387956058523554,-0.0006738418152551986
1992-05-21,0.003961917574836435,0.007371294791681922
1992-05-22,0.00029099821045344617,0.0005498376808347206
1992-05-26,0.007949861898687738,0.013906777448484823
1992-05-27,0.00022617273851969664,0.0003471607914670408
1992-05-28,-0.0006469769507575317,-0.0010114457390913744
1992-05-29,0.000954047334246931,0.00141003354520383
1992-06-01,-4.7019976952845565e-05,-5.950586779770827e-05
1992-06-02,0.00046812520491358437,0.0006624304121033448
1992-06-03,0.0021766354401645243,0.0031972102962329724
1992-06-04,0.0009253270494255994,0.0012474934368250261
1992-06-05,0.0010664414558438724,0.0014070638879041357
1992-06-08,-0.0014339941944772974,-0.001800471763713396
1992-06-09,-0.001559259796450641,-0.001923894424117138
1992-06-10,0.0018901845576275841,0.0023471701282861876
1992-06-11,-0.0012000380811591517,-0.00151298677227284
1992-06-12,-0.0002509005596902137,-0.000324547479123585
1992-06-15,0.0023631871001784884,0.0031514999973166146
1992-06-16,-0.00032656264377106025,-0.0004826879706583296
1992-06-17,-0.0001137495363254561,-0.00018013147353323358
1992-06-18,-1.3805676357848586e-05,-2.4441674914392557e-05
1992-06-19,-0.0001982792238800194,-0.00034636826247838506
1992-06-22,0.0007777775435041677,0.0013960792640120704
1992-06-23,0.001161917437859025,0.002116921203141817
1992-06-24,0.002322481383059125,0.00428785207510766
1992-06-25,-0.0023202976618577017,-0.004285384393703355
1992-06-26,-0.0009222708274630913,-0.0018490520279613222
1992-06-29,-0.001237372011566188,-0.002740616663805545
1992-06-30,-0.0032771662060175066,-0.009098464311066694
1992-07-01,4.9331124967981315e-05,0.0015383899267650677
1992-07-02,0.00010051952805545905,0.0016342070204233468
1992-07-03,0.00012166293633185081,0.001961230939545565
1992-07-06,-0.00014985388752372297,-0.0024185264588767277
1992-07-07,-0.00025316078387830737,-0.00425425132072308
1992-07-08,-2.4935536521498582e-05,-2.475461214840086e-05
1992-07-09,-8.01580960727981e-05,4.7343303631890745e-05
1992-07-10,0.0006302005273523379,-0.0006875509140420341
1992-07-13,-0.0003615912857996279,0.00027471071493724596
