window_len,first_month,months,symbol,sharpe,is_sharpe,oos_sharpe,rank_in_len
4,Jul,Jul-Aug-Sep-Oct,PORT,0.040387663242027125,0.3729020641501652,-0.32121069095003385,8.0
4,Aug,Aug-Sep-Oct-Nov,XTIUSD,-0.12562152730213832,0.12204707969792505,-0.375318008022949,10.0
4,Aug,Aug-Sep-Oct-Nov,XBRUSD,-0.15895629084285667,0.04878391090170709,-0.377810566258448,10.0
4,Aug,Aug-Sep-Oct-Nov,PORT,-0.12693331601306598,0.12586402413497252,-0.39716353167794255,10.0
4,Sep,Sep-Oct-Nov-Dec,XTIUSD,-0.16329612782479946,-0.05971838690544526,-0.27105054730134703,11.0
4,Sep,Sep-Oct-Nov-Dec,XBRUSD,-0.25920656419530375,-0.16301298624946997,-0.36392869494105395,11.0
4,Sep,Sep-Oct-Nov-Dec,PORT,-0.19582289201011244,-0.0657938732194323,-0.33805918504659993,11.0
4,Oct,Oct-Nov-Dec-Jan,XTIUSD,-0.20651968969927934,-0.1691034269420102,-0.24579536679931896,12.0
4,Oct,Oct-Nov-Dec-Jan,XBRUSD,-0.3218063575265576,-0.31900281147135706,-0.32541708401802355,12.0
4,Oct,Oct-Nov-Dec-Jan,PORT,-0.2703404882211985,-0.2416576128755813,-0.3021283087600747,12.0
4,Nov,Nov-Dec-Jan-Feb,XTIUSD,0.033042212802441843,0.022773632923366507,0.043448636203806366,8.0
4,Nov,Nov-Dec-Jan-Feb,XBRUSD,-0.054259332881670265,-0.13570328324411204,0.034491457158203925,9.0
4,Nov,Nov-Dec-Jan-Feb,PORT,-0.025714779259448626,-0.07935770950147764,0.03136576560112933,9.0
4,Dec,Dec-Jan-Feb-Mar,XTIUSD,0.30891447247796816,0.41522116009362336,0.20367199265893313,4.0
4,Dec,Dec-Jan-Feb-Mar,XBRUSD,0.2327531244164308,0.2681345481446121,0.19589545080447587,6.0
4,Dec,Dec-Jan-Feb-Mar,PORT,0.2622766356392771,0.32112460731592946,0.20184981996933454,5.0
