variant,feature,importance_share
lr_y1_pooled,x_rb_ret_5,0.011507381811211512
lr_y1_pooled,ma_dist_50,0.011381068989586539
lr_y1_pooled,sym_XTIUSD,0.011379621790151657
lr_y1_pooled,ret_1,0.009681435175895389
lr_y1_pooled,x_XBRUSD_ret_60,0.009393898574905668
lr_y1_pooled,x_XNGUSD_ret_5,0.009236271331703197
lr_y1_pooled,month_next_11,0.009130587416282627
lr_y1_pooled,ma_dist_10,0.007758418819517567
lr_y1_pooled,x_XBRUSD_ret_20,0.0075413749322542694
lr_y1_pooled,x_XTIUSD_ret_60,0.007450675508964399
lr_y1_pooled,x_rb_ret_1,0.00732964379442629
lr_y1_pooled,month_next_7,0.0073008641883936945
lr_y1_pooled,x_XNGUSD_ret_20,0.006402323470163141
lr_y1_pooled,x_XTIUSD_ret_5,0.0060754805223317615
lr_y1_pooled,x_XTIUSD_ret_20,0.005984971524157297
lr_y1_pooled,dow_next_1,0.005941855515081971
lr_y1_pooled,vr_20_120,0.005569535027086386
lr_y1_pooled,month_next_2,0.005472766216427211
lr_y1_pooled,x_XNGUSD_ret_60,0.005096677396735341
lr_y1_pooled,x_XNGUSD_ret_1,0.004898358582392847
lr_y1_pooled,x_wti_brent_spread_d20,0.004786369298226382
lr_y1_pooled,month_next_12,0.004287232287704533
lr_y1_pooled,month_next_5,0.004263490771493427
lr_y1_pooled,tom_next,0.0042050037012197556
lr_y1_pooled,month_next_10,0.004055818206457961
lr_y1_pooled,x_wti_brent_spread_d5,0.003939145379581713
lr_y1_pooled,ewmac,0.003593689789635741
lr_y1_pooled,month_next_6,0.002899937695109551
lr_y1_pooled,sym_XBRUSD,0.002087819174609411
lr_y5_per_instr,carry_z,0.05451995170157234
lr_y5_per_instr,ma_dist_200,0.04640019188542253
lr_y5_per_instr,x_ho_ret_20,0.03800973128462747
lr_y5_per_instr,ewmac,0.03651363578603774
lr_y5_per_instr,ret_250,0.03309118541379561
lr_y5_per_instr,ma_dist_20,0.0315614849076044
lr_y5_per_instr,ma_dist_100,0.029619914570085875
lr_y5_per_instr,x_rb_ret_20,0.02912973998943535
lr_y5_per_instr,ret_60,0.02784484415798879
lr_y5_per_instr,carry,0.02708221578584746
lr_y5_per_instr,ma_dist_10,0.025594976701897067
lr_y5_per_instr,logvol_20,0.02509817292184916
lr_y5_per_instr,x_XBRUSD_ret_60,0.02328030535197698
lr_y5_per_instr,x_XBRUSD_ret_5,0.021193094716298114
lr_y5_per_instr,carry_deseason,0.020939797068973448
lr_y5_per_instr,ma_dist_50,0.020339742117347615
lr_y5_per_instr,x_ho_ret_5,0.019036345125898593
lr_y5_per_instr,vr_20_250,0.018070517037153844
lr_y5_per_instr,month_next_4,0.017821641602425258
lr_y5_per_instr,x_rb_crack_rel_20,0.01758934758043904
lr_y5_per_instr,ret_120,0.01703775378885136
lr_y5_per_instr,x_XBRUSD_ret_20,0.01696444977350934
lr_y5_per_instr,x_rb_ret_5,0.016461815990413534
lr_y5_per_instr,month_next_11,0.016355840523183358
lr_y5_per_instr,x_XNGUSD_ret_5,0.01613094870939644
lr_y5_per_instr,month_next_3,0.015947340412082983
lr_y5_per_instr,month_next_10,0.01532881235296605
lr_y5_per_instr,carry_d5,0.014747059291606145
lr_y5_per_instr,carry_d20,0.014185397359013118
lr_y5_per_instr,ret_1,0.014102056822502455
lr_y5_per_instr,x_XBRUSD_ret_1,0.014023011787214885
lr_y5_per_instr,x_XTIUSD_ret_60,0.013854931768723442
lr_y5_per_instr,ret_20,0.013346160922587384
lr_y5_per_instr,ret_5,0.012718600887477862
lr_y5_per_instr,month_next_7,0.01242809849002455
lr_y5_per_instr,x_XTIUSD_ret_5,0.012388307545295326
lr_y5_per_instr,x_XTIUSD_ret_20,0.012124072209877166
lr_y5_per_instr,month_next_9,0.011814202778153773
lr_y5_per_instr,x_ho_crack_rel_20,0.011626660260181101
lr_y5_per_instr,x_rb_ret_1,0.011210895383706686
lr_y5_per_instr,vr_5_60,0.010595872009128265
lr_y5_per_instr,ret_10,0.010383729799011553
lr_y5_per_instr,vr_20_120,0.010279255050444398
lr_y5_per_instr,x_wti_brent_spread_d20,0.010181883849093265
lr_y5_per_instr,month_next_6,0.009875216805151656
lr_y5_per_instr,x_XTIUSD_ret_1,0.009725086873350847
lr_y5_per_instr,month_next_12,0.009706248937745398
lr_y5_per_instr,x_wti_brent_spread_d5,0.00906985940496271
lr_y5_per_instr,x_ho_ret_1,0.007921347567626346
lr_y5_per_instr,month_next_2,0.006221808697364919
lr_y5_per_instr,month_next_8,0.006171230128918669
lr_y5_per_instr,pre_hol_next,0.005745712685209571
lr_y5_per_instr,dow_next_1,0.005559838134979341
lr_y5_per_instr,ret_2,0.00553781936689943
lr_y5_per_instr,x_XNGUSD_ret_60,0.005367794712769987
lr_y5_per_instr,dow_next_2,0.005161273812440147
lr_y5_per_instr,month_next_5,0.0049764663552622325
lr_y5_per_instr,eia_next,0.00481489752877861
lr_y5_per_instr,dow_next_3,0.004518650061914117
lr_y5_per_instr,x_XNGUSD_ret_20,0.004288166457468183
lr_y5_per_instr,dow_next_4,0.004183094708661626
