name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,lag
reversal_1d,1991-10-29,2024-03-28,32.4,-0.035112784938246024,-0.04596703658756551,0.15439814330454915,-0.22741714496518475,-0.3260074231227942,-0.8233231812371787,-0.055831097235100886,-0.22086424032896065,-1.2941005208693133,0.49466846427258243,167.0633421466365,0.066012917477838,0.20025047897285742,0.6330262170444483,0.9893382352941177,XTIUSD,fut,-0.18960809979651677,-0.26456530239230347,-0.54,0.11,-0.38,-0.12,1
reversal_1d,1990-08-23,2024-03-28,34.1,-0.11143646259369942,-0.11580270807621129,0.15221202496658612,-0.7321133965477574,-1.0366863387485463,-0.9859784998842297,-0.11744952662741476,-0.23340431107380524,-4.274643913626081,0.489869585468095,138.85063994472284,0.061666199337821984,-0.3271716899757875,0.530490117619071,0.9906879292282621,XBRUSD,fut,-0.7853906083248873,-0.6773678165403554,-1.13,-0.35,-0.66,-0.94,1
reversal_1d,1991-08-09,2024-03-28,32.5,-0.12323724929808552,-0.12670396103951942,0.15613065857192338,-0.7893212673622002,-1.1807392251585067,-0.9884457075908609,-0.12818504857321403,-0.14753776318424294,-4.5020207373749335,0.480848987557941,100.73048567823108,0.11057439801732499,-0.08117903689422365,0.3915016507225261,0.9924371797999512,XNGUSD,fut,-1.2474340893866458,-0.3038911357641412,-1.64,-0.46,-0.32,-0.88,1
reversal_1d,1990-08-23,2024-03-28,34.4,-0.08812825803106743,-0.08977518037323595,0.10873091915446735,-0.8105169966039651,-1.1630117393222126,-0.9625721884365904,-0.0932659196387637,-0.1703515786623277,-4.751939971033154,0.4825675363657354,,,,,,PORT,fut,-1.0297417338070625,-0.5771045906752439,-1.62,-0.26,-0.61,-0.96,1
reversal_1d,1991-10-29,2024-03-28,32.4,-0.029932316306280817,-0.04111847802450641,0.15515352919804376,-0.1929206281094263,-0.2847975193705469,-0.8621163123361981,-0.04769481499901315,-0.15076857416585715,-1.0978006313510964,0.4820443681823753,167.0857949059817,0.06600741019495233,0.2326646376942015,0.633063594202807,0.9893382352941177,XTIUSD,fut,-0.23706258164940958,-0.1498246460014323,-0.01,-0.34,-0.46,0.4,2
reversal_1d,1990-08-23,2024-03-28,34.1,-0.02536270240259614,-0.036481650607308236,0.15347223699673615,-0.16525922146515348,-0.24104750896203855,-0.8708544648126455,-0.041891787986821485,-0.22767331390654402,-0.9649110759859197,0.4889380530973451,138.8110184281045,0.061656177603145366,0.23659712558022458,0.5304415749504827,0.9906879292282621,XBRUSD,fut,-0.20730786929112696,-0.12245048203127856,-0.15,-0.23,-0.49,0.6,2
reversal_1d,1991-08-09,2024-03-28,32.5,-0.1281387712547017,-0.1310469151228898,0.15668114786088636,-0.8178314558205382,-1.2373522683724276,-0.9899943849883738,-0.13237137211079109,-0.07854337312545406,-4.66463318046144,0.4771895584288851,100.74633917238928,0.11057300330067028,-0.11219158952708264,0.39146291810553335,0.9923151988289827,XNGUSD,fut,-0.597454035735175,-1.051760241241866,-0.76,-0.65,-1.22,-0.48,2
reversal_1d,1990-08-23,2024-03-28,34.4,-0.060461889897541095,-0.0642408924528638,0.10882804264654525,-0.5555727037553263,-0.8146263525344931,-0.9218737242092894,-0.06968513231892423,-0.12111113964134083,-3.257239698675778,0.48302932348187483,,,,,,PORT,fut,-0.5132327845336171,-0.5999223405600714,-0.49,-0.56,-1.01,0.25,2
reversal_2d,1991-10-29,2024-03-28,32.4,-0.04674607450548147,-0.05703466750607833,0.15465524265135056,-0.3022598762517492,-0.44266423492719775,-0.9061449402671802,-0.06294210227478779,-0.1258647123334621,-1.719987573299122,0.4920946194386567,110.23627517797749,0.049072525355809714,0.015053127047061557,0.6372339221846433,0.9948529411764706,XTIUSD,fut,-0.07574103220824378,-0.5258803245179996,0.06,-0.24,-0.51,-0.65,1
reversal_2d,1990-08-23,2024-03-28,34.1,-0.0815968344012661,-0.08907385539484902,0.15267959903935677,-0.5344318095846754,-0.7675378724515789,-0.9627189303036796,-0.09252322000851443,-0.24285135242556158,-3.1204260062194913,0.49353975090210683,91.10899084736347,0.04506989965496529,-0.23933856294841424,0.5344483451028477,0.9973227796531253,XBRUSD,fut,-0.5903021286368169,-0.4767309869225326,-0.86,-0.38,-0.3,-0.75,1
reversal_2d,1991-08-09,2024-03-28,32.5,-0.09942515997703846,-0.10565299996774791,0.15619074333630048,-0.6365624354764879,-0.96927467508927,-0.9764283936200217,-0.1082035310096307,-0.10127652709947452,-3.6307361826524662,0.48670407416443034,66.3838809398573,0.07627701162667921,-0.14823998174488223,0.393980004115724,0.997682361551598,XNGUSD,fut,-0.8008930204059543,-0.4627397333944558,-1.23,-0.36,-0.54,-0.32,1
reversal_2d,1990-08-23,2024-03-28,34.4,-0.07558636279969821,-0.07819005011688895,0.10780577084394341,-0.7011346629032957,-1.024162695011145,-0.9434559399057842,-0.08287620736660707,-0.15018846309449804,-4.11064770225292,0.4795659201108289,,,,,,PORT,fut,-0.7141190108450765,-0.6873928168937722,-1.04,-0.45,-0.62,-0.82,1
reversal_2d,1991-10-29,2024-03-28,32.4,-0.009071085620821578,-0.020955322301642543,0.1554910651014441,-0.058338307830765074,-0.08583629590642894,-0.8160237830982248,-0.02567979357425193,-0.18353139358035733,-0.33196984581784733,0.4882951342076235,110.19261155534365,0.04905510519338783,0.25719301142621914,0.6372712993430022,0.9948529411764706,XTIUSD,fut,0.1015210811845594,-0.21465943025019882,0.6,-0.36,-0.19,-0.25,2
reversal_2d,1990-08-23,2024-03-28,34.1,-0.028956550189178896,-0.04000353231457454,0.1539186259024959,-0.1881289546303658,-0.2756627443528674,-0.8728149010291766,-0.04583277882561872,-0.20911433369280744,-1.0984422559122937,0.49353975090210683,91.06936933074513,0.0450446759016291,0.10453151332678753,0.5343998024342593,0.9973227796531253,XBRUSD,fut,-0.001390275085002251,-0.3792785864481409,0.23,-0.25,-0.53,-0.13,2
