sym,item,period,n,mean_bp,sd_bp,t,ann_sharpe_gross,hour
XTIUSD,00:00,is,1988,0.3161713303988616,18.881441088983035,0.746612984921922,0.26581997888241027,0
XTIUSD,00:00,oos,1840,0.5581735454453504,24.71003110383394,0.9689578126213029,0.358588392736051,0
XTIUSD,00:00,full,3828,0.4324942341829628,21.87515930904103,1.223249542645516,0.3138552284676219,0
XTIUSD,01:00,is,2007,0.49678134091037923,22.120135975232117,1.006123213673514,0.35651495601050953,1
XTIUSD,01:00,oos,1840,-0.8499249019141049,27.05122757099694,-1.347728732735217,-0.49876256099149296,1
XTIUSD,01:00,full,3847,-0.14734121869374103,24.608217834420618,-0.37136860670572513,-0.09504830260098308,1
XTIUSD,02:00,is,2007,-0.6416571276214283,32.08079824585077,-0.8960485534569206,-0.31751052582575384,2
XTIUSD,02:00,oos,1840,-0.6888594344835585,36.12971144758571,-0.8178525822526358,-0.3026679171630985,2
XTIUSD,02:00,full,3847,-0.6642337443685868,34.07297776322982,-1.209127052943714,-0.30946469878186744,2
XTIUSD,03:00,is,2007,-0.7569581568285619,39.86027560470264,-0.8507564732564582,-0.30146149349964746,3
XTIUSD,03:00,oos,1840,-1.769626085835861,42.619834820820195,-1.7810604540182684,-0.6591283926432018,3
XTIUSD,03:00,full,3847,-1.2413119362341847,41.200941906130716,-1.8686797526410566,-0.4782710099513083,3
XTIUSD,04:00,is,2007,-0.8553980523666822,41.06000705885284,-0.9333035626386178,-0.3307116604174997,4
XTIUSD,04:00,oos,1840,0.9841425387639041,50.552761481452805,0.8350683649098375,0.3090390715645872,4
XTIUSD,04:00,full,3847,0.02444460104643937,45.84937405877232,0.03306820610530111,0.008463496385032165,4
XTIUSD,05:00,is,2007,0.06764786616336399,42.4898849398022,0.0713250743870358,0.025273699495211025,5
XTIUSD,05:00,oos,1840,2.5823665358604395,48.833303341177775,2.2683532782374036,0.8394639535442864,5
XTIUSD,05:00,full,3847,1.270424666850294,45.645344097992485,1.7262890879220771,0.4418274583333625,5
XTIUSD,06:00,is,2007,1.1937194422584716,37.73175401737899,1.4173234055174682,0.5022217802984656,6
XTIUSD,06:00,oos,1840,-1.5713504609564521,39.90350960198834,-1.6891603331346454,-0.625118329242447,6
XTIUSD,06:00,full,3847,-0.12879904537226922,38.80519704075979,-0.20586562936098687,-0.052689371910615124,6
XTIUSD,07:00,is,2007,-0.5235120605245527,40.627416166594145,-0.5772729061435732,-0.20455389751758474,7
XTIUSD,07:00,oos,1840,-2.3068598000153346,49.49399492213377,-1.9992983291489175,-0.7398930738892529,7
XTIUSD,07:00,full,3847,-1.3764779665976066,45.08917279499237,-1.8934685208917788,-0.48461546207584477,7
XTIUSD,08:00,is,2007,-0.7035781807326655,56.04835264186206,-0.562371361728735,-0.19927360641670908,8
