strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit,gross_bps
XTIUSD|sunday_gap|fade|09:00|thr0.005,2005,0.0,0.0,,0,,,
XTIUSD|sunday_gap|fade|09:00|thr0.005,2006,0.01931937994112501,0.022119379941125006,1.084787601723251,4,48.298449852812524,0.75,55.29844985281252
XTIUSD|sunday_gap|fade|09:00|thr0.005,2007,0.004792890188615096,0.005492890188615096,0.9883036912035246,1,47.92890188615096,1.0,54.92890188615096
XTIUSD|sunday_gap|fade|09:00|thr0.005,2008,-0.07832889612379763,-0.07062889612379764,-0.8500747353332162,11,-71.20808738527056,0.2727272727272727,-64.20808738527059
XTIUSD|sunday_gap|fade|09:00|thr0.005,2009,0.06318617887717898,0.07368617887717899,0.6415471421094009,15,42.12411925145263,0.5333333333333333,49.12411925145266
XTIUSD|sunday_gap|fade|09:00|thr0.005,2010,-0.012757391075424472,-0.012057391075424473,-1.0019900517195865,1,-127.57391075424472,0.0,-120.57391075424474
XTIUSD|sunday_gap|fade|09:00|thr0.005,2011,0.010825236570211672,0.016425236570211665,0.2713469103813208,8,13.53154571276459,0.625,20.531545712764583
XTIUSD|sunday_gap|fade|09:00|thr0.005,2012,0.03787892937646992,0.04137892937646992,1.1173182983192835,5,75.75785875293985,0.8,82.75785875293984
XTIUSD|sunday_gap|fade|09:00|thr0.005,2013,-0.008935749783672297,-0.006835749783672296,-1.6112043537414558,3,-29.78583261224099,0.0,-22.785832612240988
XTIUSD|sunday_gap|fade|09:00|thr0.005,2014,0.02102380906536693,0.02312380906536693,0.6559651301648993,3,70.0793635512231,0.6666666666666666,77.0793635512231
XTIUSD|sunday_gap|fade|09:00|thr0.005,2015,0.039777877367178506,0.0460778773671785,1.2204751660052193,9,44.19764151908723,0.6666666666666666,51.19764151908722
XTIUSD|sunday_gap|fade|09:00|thr0.005,2016,0.08772030353350448,0.09472030353350447,1.6347474324278919,10,87.72030353350446,0.6,94.72030353350448
XTIUSD|sunday_gap|fade|09:00|thr0.005,2017,0.021055454598326542,0.02245545459832654,1.399658310958278,2,105.27727299163271,1.0,112.2772729916327
XTIUSD|sunday_gap|fade|09:00|thr0.005,2018,-0.022260380215533063,-0.016660380215533066,-0.5964072473380356,8,-27.82547526941633,0.625,-20.825475269416334
XTIUSD|sunday_gap|fade|09:00|thr0.005,2019,0.08811758546126583,0.09511758546126581,1.8831187630321258,10,88.1175854612658,0.7,95.1175854612658
XTIUSD|sunday_gap|fade|09:00|thr0.005,2020,0.3047363736283478,0.3138363736283478,2.9973608025974188,13,234.4125950987291,0.6153846153846154,241.4125950987291
XTIUSD|mom|on930|q0.8|14:30,2005,-0.008423722021062792,0.007776277978937207,-0.2394385298024211,27,-3.11989704483807,0.5555555555555556,2.8801029551619286
XTIUSD|mom|on930|q0.8|14:30,2006,-0.02232568832276113,0.004674311677238863,-0.5762616175965476,45,-4.961264071724695,0.4666666666666667,1.0387359282753028
XTIUSD|mom|on930|q0.8|14:30,2007,0.06828749754601443,0.10728749754601441,1.223032392351387,65,10.505768853232988,0.6,16.505768853232986
XTIUSD|mom|on930|q0.8|14:30,2008,0.2654365311320107,0.3260365311320107,2.4401739745372004,101,26.280844666535717,0.6633663366336634,32.280844666535714
XTIUSD|mom|on930|q0.8|14:30,2009,0.1482861779190358,0.17168617791903584,1.394980545561201,39,38.0220969023169,0.6410256410256411,44.02209690231688
XTIUSD|mom|on930|q0.8|14:30,2010,0.017241610342483043,0.04064161034248304,0.476550854253576,39,4.420925728841806,0.5641025641025641,10.420925728841805
XTIUSD|mom|on930|q0.8|14:30,2011,0.0009829829355263928,0.03998298293552638,0.016407460410764362,65,0.15122814392713468,0.5076923076923077,6.151228143927135
XTIUSD|mom|on930|q0.8|14:30,2012,-0.010262215008491244,0.010137784991508747,-0.3840538827968841,34,-3.0182985319091906,0.29411764705882354,2.981701468090808
XTIUSD|mom|on930|q0.8|14:30,2013,-0.05927772967353362,-0.03707772967353362,-2.507310113489647,37,-16.021008019873957,0.35135135135135137,-10.021008019873952
XTIUSD|mom|on930|q0.8|14:30,2014,0.0713614870793543,0.10976148707935429,1.825610054981788,64,11.15023235614911,0.5625,17.150232356149107
XTIUSD|mom|on930|q0.8|14:30,2015,0.12183405148302673,0.16923405148302673,1.5207740881616347,79,15.422031833294515,0.6329113924050633,21.422031833294525
XTIUSD|mom|on930|q0.8|14:30,2016,0.06453862755665901,0.093338627556659,1.4407269967277114,48,13.445547407637294,0.5833333333333334,19.445547407637292
XTIUSD|mom|on930|q0.8|14:30,2017,-0.03602199089726341,-0.02102199089726342,-1.9166230758460778,25,-14.408796358905368,0.24,-8.408796358905368
XTIUSD|mom|on930|q0.8|14:30,2018,-0.0779758119112677,-0.03837581191126771,-1.635660585266768,66,-11.814516956252683,0.3484848484848485,-5.814516956252683
XTIUSD|mom|on930|q0.8|14:30,2019,-0.019349997016370975,0.013050002983629017,-0.5668504590781751,54,-3.5833327808094397,0.46296296296296297,2.4166672191905585
XTIUSD|mom|on930|q0.8|14:30,2020,0.2602469734517813,0.29084697345178134,2.2400212032690834,51,51.02881832387869,0.47058823529411764,57.028818323878696
XNGUSD|eia_cont|w15|k2|14:30,2005,-0.04620188316177974,-0.030101883161779752,-0.7205754182912603,7,-66.00269023111392,0.42857142857142855,-43.00269023111393
XNGUSD|eia_cont|w15|k2|14:30,2006,0.0898299372770294,0.11282993727702939,1.400142428090505,10,89.8299372770294,0.6,112.82993727702939
XNGUSD|eia_cont|w15|k2|14:30,2007,0.0814303931750113,0.0998303931750113,1.6168268623692157,8,101.78799146876412,0.75,124.78799146876412
XNGUSD|eia_cont|w15|k2|14:30,2008,-0.0583012558140821,-0.030701255814082118,-0.7068173982461436,12,-48.584379845068405,0.4166666666666667,-25.58437984506843
XNGUSD|eia_cont|w15|k2|14:30,2009,0.10704550196469954,0.13004550196469955,1.3265895956398668,10,107.04550196469955,0.7,130.04550196469955
XNGUSD|eia_cont|w15|k2|14:30,2010,0.023585282183494562,0.04658528218349456,0.39156135962574123,10,23.58528218349456,0.7,46.58528218349456
XNGUSD|eia_cont|w15|k2|14:30,2011,0.012761890498025993,0.021961890498025993,0.4446146815760678,4,31.904726245064982,0.5,54.904726245064985
XNGUSD|eia_cont|w15|k2|14:30,2012,-0.014299162841669398,0.017900837158330574,-0.14656471923810893,14,-10.213687744049583,0.5,12.78631225595041
XNGUSD|eia_cont|w15|k2|14:30,2013,0.02501907736570454,0.04801907736570454,0.5419573033993068,10,25.019077365704543,0.5,48.01907736570454
