name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start,window
wf_seasonal_N5_sign,1995-10-31,2024-03-28,28.4,-0.03553471020096298,-0.04647385870750287,0.15508457282496196,-0.22913117374395228,-0.33021145207143726,-0.8752117237791243,-0.05310013273911696,-0.25039014006824184,-1.2209242744611646,0.49930109029913333,5.7757728267839505,0.01649688366114176,-0.1227550596635603,0.5888451761218328,0.9998602375960867,XTIUSD,fut,0.33347517586266984,-0.6553600913590389,0.54,0.15,-0.58,-1.09,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_sign,1995-10-31,2024-03-28,28.9,-0.04276418623494282,-0.053158944398421504,0.1538222218948108,-0.27801045718990147,-0.4060047208017997,-0.8535283414319015,-0.06228140510160526,-0.2435092886676843,-1.4941586770298725,0.49278747080642943,4.617124887942389,0.014039483474526207,-0.1867440181199877,0.5052254507886906,1.0,XBRUSD,fut,0.0024336805311218237,-0.48573826182952085,0.3,-0.12,-0.51,-0.66,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_sign,1995-10-31,2024-03-28,28.3,-0.02635332338631286,-0.03728806919218486,0.1526203530269221,-0.17267240485064375,-0.26728231967536137,-0.7535619330059995,-0.04948242149578964,0.04869009651708825,-0.9189259491723664,0.4967072999859885,4.399157142495622,0.013455840106438983,-0.08450978801129859,0.3610842719773771,1.0,XNGUSD,fut,-0.1948919362992797,-0.1550198374406719,-0.52,-0.01,-0.26,-0.01,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_sign,1995-10-31,2024-03-28,29.1,-0.033714266635919955,-0.03910223989932915,0.11105073734388272,-0.30359336139767756,-0.44719844443932616,-0.7667211961448259,-0.050999294262295485,-0.09885543249684228,-1.6374709728679349,0.48519983631155367,,,,,,PORT,fut,0.07732249529189818,-0.6065002227162918,0.13,0.02,-0.66,-0.77,B_wf_seasonal,1,1.0,1995-10-31,own
wf_seasonal_N5_sign,2006-01-03,2024-03-28,18.3,-0.07991890209835104,-0.08752417512369515,0.15250399378077786,-0.5240446503534407,-0.7446756042680066,-0.8752117237791236,-0.10000343087929607,-0.3239514259264079,-2.2426106186800276,0.49165763813651137,5.288584027576914,0.015660420071388778,-0.4213570021071319,0.56412595256605,1.0,XTIUSD,fut,0.618975844445323,-0.6553600913590389,,0.23,-0.58,-1.09,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2006-01-03,2024-03-28,18.7,-0.0645291433795982,-0.07331374624427556,0.15208592679753893,-0.4242939812932278,-0.6060398491265986,-0.8203001359887581,-0.08937429488038058,-0.3924252343830433,-1.8337439753503828,0.491395793499044,4.352893491090968,0.013994689990065144,-0.33230096874113546,0.5106190142588314,1.0,XBRUSD,fut,0.1201445341146487,-0.48573826182952085,,0.07,-0.51,-0.66,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2006-01-03,2024-03-28,18.2,-0.03339849790767419,-0.04329628440221478,0.1473422057215488,-0.22667298717376036,-0.3474113440407439,-0.6966397201960397,-0.06215018056970808,-0.04508409843915954,-0.9680315400402731,0.4984769364664926,4.56303570819515,0.013670969409853042,-0.1339040437548993,0.3638564833926144,1.0,XNGUSD,fut,-0.8163435782843873,-0.1550198374406719,,-0.39,-0.26,-0.01,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2006-01-03,2024-03-28,18.7,-0.05836351158169731,-0.06205974699590355,0.10668591329325311,-0.5470592112875342,-0.7870526779985865,-0.7667211961448265,-0.08094173906753589,-0.21630036367185546,-2.3665787622565015,0.4847328244274809,,,,,,PORT,fut,-0.004773840207116649,-0.6065002227162918,,-0.05,-0.66,-0.77,B_wf_seasonal,1,1.0,2006-01-01,common2006
wf_seasonal_N5_sign,2002-01-31,2026-09-22,23.2,-0.035083491210365886,-0.04516073031794954,0.14905391971489057,-0.23537449587017487,-0.3394656104655371,-0.8013282359652082,-0.05635734308495066,-0.17254781508981284,-1.1347409936522188,0.49052415912583236,4.066961000486797,0.012153982382836562,-0.1538447136450846,0.41591400333758805,1.0,XTIUSD,spot,0.14799879874576377,-0.3317542615490754,,0.08,-0.48,-0.23,B_wf_seasonal,1,1.0,2002-01-31,own
wf_seasonal_N5_sign,2002-01-31,2026-09-22,24.0,-0.01952749348625392,-0.03007878397478614,0.14845320310610727,-0.13153972482693146,-0.19761517469622383,-0.701278261951007,-0.042891367958711256,0.14693915312667014,-0.6449429401342377,0.49273687685704853,4.5682418173745525,0.013015549764317952,-0.04386851036888695,0.447093244227735,1.0,XBRUSD,spot,-0.2718997047075038,-0.09536129197550698,,-0.27,-0.33,0.26,B_wf_seasonal,1,1.0,2002-01-31,own
