key,sym,family,signal,exit,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x
XTIUSD|mom|on930|all|14:28,XTIUSD,B_momentum,on930|all,14:28,2008,-0.15646855094238968,1.1701611204377422,-0.017824292471936638,0.11391613435788374,-0.3254396146969143,-0.44168092576935003,2007,251.87450199203187,-0.7076656164465791,5.2923343835534205,0.4877927254608869,1840,-0.3166819981062623,1.110065634215496,-0.033542196624152865,0.10591759817335059,-0.46191014825781673,-0.8557206602263174,1839,251.86304347826086,-1.3317633329976015,4.668236667002398,0.44045676998368677,3848,-0.23004937933685132,1.1418989798434414,-0.025340130216239605,0.1101508306142185,-0.6177864249966856,-0.8989557759644139,3846,251.86902286902284,-1.006083635359041,4.993916364640959,0.46515860634425377,1.1701611204377422,1.110065634215496,1.1418989798434414,-1.483096588084693,-1.7434254550949824,-1.6019950571907775
XTIUSD|mom|on930|all|14:30,XTIUSD,B_momentum,on930|all,14:30,2008,-0.1202314317466136,1.1892185576721377,-0.01387599106262237,0.11541067806516575,-0.3643164083611351,-0.33939043827389387,2007,251.87450199203187,-0.5509089230104496,5.449091076989551,0.48829098156452416,1840,-0.134495270341747,1.1656395021818893,-0.01563269203417095,0.1162322808411695,-0.4790298490513829,-0.36342571482556557,1839,251.86304347826086,-0.6206822493003125,5.379317750699687,0.433931484502447,3848,-0.12709294704086993,1.1780476913354234,-0.01471599360619029,0.11578922315380721,-0.5749645778498116,-0.49663658800590244,3846,251.86902286902284,-0.5842716757527946,5.415728324247206,0.4622984919396776,1.1892185576721377,1.1656395021818893,1.1780476913354234,-1.4296801977194704,-1.4346285703563513,-1.4322322448469385
XTIUSD|mom|on930|q0.5|14:28,XTIUSD,B_momentum,on930|q0.5,14:28,2008,0.4090647738593051,1.1979265539136557,0.03583847135842886,0.08761074932048597,-0.11586706107277234,1.1547119656289975,922,115.70916334661355,3.0972889546416145,9.097288954641614,0.5249457700650759,1840,0.015290192917652224,0.8656913112972244,0.0014030983369921366,0.0917645934586141,-0.29977523572201314,0.04131631749427941,951,130.24565217391304,0.1077270767640386,6.1077270767640375,0.4458464773922187,3848,0.2161725541604535,1.0351836908992629,0.01937249257478968,0.08961587492004419,-0.380076751812815,0.8447297998703636,1873,122.66008316008315,1.5793640502841262,7.579364050284125,0.4847837693539776,1.1979265539136557,0.8656913112972244,1.0351836908992629,-0.38338475922402987,-0.8352339835553134,-0.604662428945016
XTIUSD|mom|on930|q0.5|14:30,XTIUSD,B_momentum,on930|q0.5,14:30,2008,0.5171777181418966,1.3004744081188364,0.04558518606110983,0.088142208107664,-0.11548656137726498,1.4598942213013646,922,115.70916334661355,3.9396349210958106,9.939634921095813,0.5281995661605207,1840,0.171824577544246,0.9404423435613893,0.017435926118734603,0.10147515779135109,-0.31405604420204014,0.464294913567942,951,130.24565217391304,1.3386954441636911,7.33869544416369,0.43217665615141954,3848,0.33907323393421124,1.1132346103026944,0.03212504097431918,0.09474366525950043,-0.3519108977965456,1.3249844142103482,1873,122.66008316008315,2.619029772904435,8.619029772904435,0.4794447410571276,1.3004744081188364,0.9404423435613893,1.1132346103026944,-0.270598521955429,-0.5979246296781988,-0.4376478385922449
XTIUSD|mom|on930|q0.67|14:28,XTIUSD,B_momentum,on930|q0.67,14:28,2008,0.4587066191478696,1.0730322546038897,0.035732428700749296,0.07789821905585044,-0.1214021425448305,1.2948414424592962,640,80.3187250996016,4.448829168595276,10.448829168595276,0.53125,1840,0.2027493047791553,0.8383447217892254,0.016721616939325962,0.08247434908612875,-0.229092422614111,0.547858008928657,640,87.65217391304348,1.9077241547842119,7.907724154784211,0.4484375,3848,0.3325647541918485,0.9572965617968386,0.02664201975038055,0.08011077366007167,-0.23776294946626297,1.299551459450765,1280,83.82536382536382,3.1782766616897438,9.178276661689743,0.48984375,1.0730322546038897,0.8383447217892254,0.9572965617968386,-0.16006256834173024,-0.4346798412553514,-0.2952836897606058
XTIUSD|mom|on930|q0.67|14:30,XTIUSD,B_momentum,on930|q0.67,14:30,2008,0.5910825212335951,1.196933936082905,0.04658918149627275,0.07882009672531116,-0.1174192474453748,1.6685134080436355,640,80.3187250996016,5.800537973990308,11.80053797399031,0.5375,1840,0.35392771571053433,0.9326206483988047,0.032021017528879536,0.09047332578799355,-0.27401609319321474,0.9563639877584242,640,87.65217391304348,3.65319148394955,9.653191483949549,0.4609375,3848,0.46845269157010494,1.0592446177720016,0.03962311556591841,0.08458296062536066,-0.2740160931932163,1.8305559183291547,1280,83.82536382536382,4.726864728969929,10.726864728969929,0.49921875,1.196933936082905,0.9326206483988047,1.0592446177720016,-0.020355608687711024,-0.22742528949087273,-0.12627557256509586
XTIUSD|mom|on930|q0.8|14:28,XTIUSD,B_momentum,on930|q0.8,14:28,2008,0.6797126938591104,1.1393995804741492,0.045475744286042445,0.06690436223553681,-0.0965017442190933,1.9186995090879801,415,52.081673306772906,8.731621201603863,14.731621201603867,0.5566265060240964,1840,0.43650205141090914,0.8913690362570197,0.033172474992351965,0.0759961491249086,-0.1699110385502952,1.1794918115242836,424,58.06956521739131,5.712540617131589,11.71254061713159,0.45047169811320753,3848,0.554612249432649,1.0112031287596537,0.0395926841248183,0.07138804482829288,-0.1699110385502951,2.167238557588364,839,54.944906444906444,7.205887986089866,13.205887986089866,0.5029797377830751,1.1393995804741492,0.8913690362570197,1.0112031287596537,0.21332151728822007,-0.021992843486967645,0.0930111682685544
XTIUSD|mom|on930|q0.8|14:30,XTIUSD,B_momentum,on930|q0.8,14:30,2008,0.8755685532022145,1.3395757085326685,0.057631593615405534,0.06582190898088981,-0.07104894595752664,2.4715633066434677,415,52.081673306772906,11.065618663198917,17.06561866319892,0.5590361445783133,1840,0.5290096478411942,0.9388680304435367,0.04455957268382674,0.08423206054117804,-0.20272655193278855,1.42946074555479,424,58.06956521739131,7.673481369631735,13.673481369631737,0.4834905660377358,3848,0.6834320810352172,1.1156655577909635,0.05138093911589799,0.07518075393544532,-0.20272655193278877,2.6706232309646225,839,54.944906444906444,9.35135619302909,15.35135619302909,0.5208581644815257,1.3395757085326685,0.9388680304435367,1.1156655577909635,0.4026814228646759,0.11557418589824686,0.24564244021882847
XTIUSD|mom|on1000|all|14:28,XTIUSD,B_momentum,on1000|all,14:28,2008,-0.15304683278121647,1.0390759587925162,-0.01601200554598624,0.1046216067004518,-0.29893957846391017,-0.43202206693767836,1657,207.95019920318725,-0.7699923158208173,5.230007684179183,0.4858177429088715,1840,-0.32447199444001185,1.0995358145473781,-0.034358396096438384,0.10589017445322402,-0.4723351311939262,-0.8767703594379536,1835,251.31521739130434,-1.3671434803305789,4.632856519669421,0.4419618528610354,3848,-0.2355557821236016,1.0682795300752124,-0.024784707888198285,0.10521799832191416,-0.6271925654836412,-0.9204729502519725,3492,228.68607068607068,-1.0837873865182432,4.916212613481757,0.4627720504009164,1.0390759587925162,1.0995358145473781,1.0682795300752124,-1.3446212628376435,-1.7484584491783435,-1.5389052223978563
XTIUSD|mom|on1000|all|14:30,XTIUSD,B_momentum,on1000|all,14:30,2008,-0.09571786452466736,1.084619448306956,-0.010113499942847087,0.10565948157191438,-0.25984561073650736,-0.2701933056917376,1657,207.95019920318725,-0.486342402248205,5.513657597751795,0.4864212432106216,1840,-0.2205115621529815,1.0765177232496912,-0.025635952354264593,0.11625672642271459,-0.47438307057474394,-0.5958542028958941,1835,251.31521739130434,-1.0200716303759967,4.979928369624003,0.4316076294277929,3848,-0.15820924602329456,1.079469378786812,-0.017535878434793085,0.11083978260165099,-0.6066137674622275,-0.6182286426226975,3492,228.68607068607068,-0.7668100808319669,5.233189919168032,0.45761741122565863,1.084619448306956,1.0765177232496912,1.079469378786812,-1.275718914179205,-1.5175288078493039,-1.3955937736357313
