symbol,holiday,mean,median,count
XBRUSD,Christmas,-2.138546237278049,20.964360587003572,35
XBRUSD,Good Friday,40.68881526851529,48.86903099692752,35
XBRUSD,Independence Day,41.86803931875884,48.99682871658428,34
XBRUSD,Juneteenth,-190.4025303569923,-190.4025303569923,2
XBRUSD,Labor Day,0.9189803992956594,-5.834305717620225,35
XBRUSD,MLK Day,39.63783367436232,56.15304082992267,27
XBRUSD,Memorial Day,5.677451039975869,5.971121485180975,34
XBRUSD,New Year,78.25530399413545,30.706050558206854,30
XBRUSD,Thanksgiving Day,27.6941271809272,32.04443494979614,35
XBRUSD,Washington's Birthday,25.354743707850478,27.100271002709064,35
XBRUSD,special closure,-28.855363112252338,-61.72839506171868,3
XNGUSD,Christmas,-92.83526900574864,-118.87290871734125,31
XNGUSD,Good Friday,90.50521273986247,75.35971521018703,34
XNGUSD,Independence Day,36.03783924705661,85.71652822099374,30
XNGUSD,Juneteenth,-135.223487896296,-135.223487896296,2
XNGUSD,Labor Day,-4.310293805937996,-4.382598671033855,34
XNGUSD,MLK Day,7.701861694904317,-54.5851528384167,27
XNGUSD,Memorial Day,29.863512200274528,54.8523206751117,33
XNGUSD,New Year,-66.30808392723029,-32.407407407414325,29
XNGUSD,Thanksgiving Day,84.02958780992577,9.045640668214894,34
XNGUSD,Washington's Birthday,-38.06777035388963,-41.84099949551712,34
XNGUSD,special closure,-92.58561986824175,-130.11152416356308,3
XTIUSD,Christmas,4.999683247578241,31.55237694572932,31
XTIUSD,Good Friday,65.3642400977321,59.70956932347837,34
XTIUSD,Independence Day,33.282326475762865,36.466996592832146,30
XTIUSD,Juneteenth,-171.71557685022597,-171.71557685022597,2
XTIUSD,Labor Day,1.888291180388175,7.002801120448154,33
XTIUSD,MLK Day,39.04823373214702,59.331737274903595,27
XTIUSD,Memorial Day,-2.7030609423929093,22.258195062727637,33
XTIUSD,New Year,96.79959893967133,28.011204481790397,29
XTIUSD,Thanksgiving Day,38.25106558454413,-12.484361600987313,34
XTIUSD,Washington's Birthday,30.81715394678053,27.60352381892983,34
XTIUSD,special closure,-7.013885883562959,-106.42071656615792,3
