key,sym,family,item,dir,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x,exit,thr
XTIUSD|session|asia|long,XTIUSD,D_session,asia,long,2008,-1.0946948301839718,0.43670855500608946,-0.10695276886369139,0.0977009901889435,-0.6082242198705053,-3.0901150622184814,1987,249.36454183266932,-4.2890127071658695,1.71098729283413,0.47055863110216406,1840,-0.5014378091470924,0.5968717714251888,-0.06884338373099685,0.13729196816668898,-0.6099134036574307,-1.3549576410144004,1835,251.31521739130434,-2.7393241223354137,3.2606758776645863,0.44632152588555857,3848,-0.7501226580083268,0.5194863178331999,-0.08872998595200793,0.11828730275605537,-0.8457102468377145,-2.931227626182708,3822,250.2972972972973,-3.5449837816912786,2.4550162183087214,0.4589220303506018,0.43670855500608946,0.5968717714251888,0.5194863178331999,-2.6257751054744505,-1.599727758405513,-2.019633694576362,,
XTIUSD|session|asia|short,XTIUSD,D_session,asia,short,2008,-1.9679830304909662,-0.43670855500608946,-0.19228468133551183,0.0977064732552807,-0.7974611319824373,-5.555241366846046,1987,249.36454183266932,-7.71098729283413,-1.71098729283413,0.42123804730749875,1840,-1.6951579844924833,-0.5968717714251888,-0.23273487713856836,0.1372939155333344,-0.8404442273754001,-4.58056257808213,1835,251.31521739130434,-9.260675877664587,-3.2606758776645863,0.42997275204359675,3848,-1.7890274662114343,-0.5194863178331999,-0.21162677080474881,0.11829151581048894,-0.9664215940808117,-6.99091898767894,3822,250.2972972972973,-8.455016218308721,-2.4550162183087214,0.42543171114599687,-0.43670855500608946,-0.5968717714251888,-0.5194863178331999,-3.498676766862374,-2.793377835809907,-3.0583350646626815,,
XTIUSD|session|london|long,XTIUSD,D_session,london,long,2008,-1.2688806062995606,-0.21601855620672467,-0.181495666404086,0.14303604728689348,-0.7965496155329154,-3.581808341073685,2000,250.99601593625496,-7.231017820226282,-1.2310178202262811,0.4705,1840,-1.1686989118096065,-0.3054904159484193,-0.20470984277016302,0.17516046323102288,-0.8477581783590882,-3.1579938562971916,1840,252.0,-8.123406459133452,-2.1234064591334514,0.45869565217391306,3848,-1.209862195897398,-0.2620202965384663,-0.19259600021738685,0.15918837770985275,-0.9677908738490386,-4.727735463830186,3840,251.47609147609145,-7.658620709702635,-1.6586207097026335,0.46484375,-0.21601855620672467,-0.3054904159484193,-0.2620202965384663,-2.321675645979121,-2.031907407670793,-2.1576771307694016,,
XTIUSD|session|london|short,XTIUSD,D_session,london,short,2008,-0.8368549025335871,0.21601855620672467,-0.11969955271942008,0.143035014023373,-0.6515454797003244,-2.362282042362275,2000,250.99601593625496,-4.76898217977372,1.2310178202262811,0.462,1840,-0.5577180799127679,0.3054904159484193,-0.09769015722983707,0.17516046323102288,-0.6805088407222364,-1.507035090144173,1840,252.0,-3.87659354086655,2.1234064591334514,0.4668478260869565,3848,-0.6858274426639647,0.2620202965384663,-0.109175309553923,0.15918772385347038,-0.887540487136991,-2.6799835003897923,3840,251.47609147609145,-4.341379290297369,1.6586207097026335,0.46432291666666664,0.21601855620672467,0.3054904159484193,0.2620202965384663,-1.889684165143115,-1.4209265757739544,-1.633659896415698,,
XTIUSD|session|ny_pre|long,XTIUSD,D_session,ny_pre,long,2008,-1.8494257944818804,-0.1482013695022021,-0.16437171722890154,0.08887716269521945,-0.7436804742044724,-5.220576864351686,2008,252.0,-6.522687191623078,-0.5226871916230774,0.4252988047808765,1840,-2.5078715782520624,-0.8353205887834906,-0.22671367570814324,0.09040083139590355,-0.8272683903132676,-6.7766325068612545,1840,252.0,-8.996574432862827,-2.996574432862826,0.42282608695652174,3848,-2.1667533968995314,-0.47960706611192705,-0.19418180132500462,0.08961878246175355,-0.9538958447390296,-8.466945169981294,3848,252.0,-7.705627036706533,-1.705627036706533,0.42411642411642414,-0.1482013695022021,-0.8353205887834906,-0.47960706611192705,-3.5506502194615575,-4.180422567720632,-3.8538997276871343,,
XTIUSD|session|ny_pre|short,XTIUSD,D_session,ny_pre,short,2008,-1.5530230554774758,0.1482013695022021,-0.13802828277109844,0.08887716269521945,-0.6809448470318527,-4.3838883708777585,2008,252.0,-5.477312808376921,0.5226871916230774,0.4487051792828685,1840,-0.8372304006850809,0.8353205887834906,-0.07568632429185676,0.09040083139590355,-0.498243962425053,-2.262317894670421,1840,252.0,-3.0034255671371732,2.996574432862826,0.4369565217391304,3848,-1.2075392646756775,0.47960706611192705,-0.10821819867499534,0.08961878246175353,-0.8299366058527546,-4.718658228129949,3848,252.0,-4.294372963293466,1.705627036706533,0.4430873180873181,0.1482013695022021,0.8353205887834906,0.47960706611192705,-3.2542474804571535,-2.509781390153652,-2.8946855954632804,,
XTIUSD|session|ny_main|long,XTIUSD,D_session,ny_main,long,2008,-0.344436709931833,0.17629512710481016,-0.10001084404222531,0.2903605834059277,-0.8148199168147303,-0.9722792471418388,2008,252.0,-3.9686842873898933,2.0313157126101133,0.499003984063745,1840,-0.8390045979638563,-0.3268205812976131,-0.24767952744374663,0.29520640059044884,-0.9081945428340135,-2.267112032877974,1840,252.0,-9.828552676339152,-3.8285526763391475,0.48695652173913045,3848,-0.5829501468559694,-0.06635648641645776,-0.1706216489951357,0.292686518590571,-0.9709944091486781,-2.277973551270219,3848,252.0,-6.77070035694983,-0.7707003569498229,0.49324324324324326,0.17629512710481016,-0.3268205812976131,-0.06635648641645776,-0.8651685469684757,-1.3511886146300984,-1.0995438072954797,,
XTIUSD|session|ny_main|short,XTIUSD,D_session,ny_main,short,2008,-0.6970269641414535,-0.17629512710481016,-0.20238915595777507,0.2903605834059277,-0.8734592769315173,-1.9675743972445257,2008,252.0,-8.031315712610121,-2.0313157126101133,0.46912350597609564,1840,-0.18536343536863023,0.3268205812976131,-0.054720472556253626,0.29520640059044884,-0.838294541323896,-0.5008788697936598,1840,252.0,-2.1714473236608582,3.8285526763391475,0.46630434782608693,3848,-0.4502371740230538,0.06635648641645776,-0.13177835100486468,0.292686518590571,-0.9768882927417535,-1.7593757884009378,3848,252.0,-5.229299643050186,0.7707003569498229,0.4677754677754678,-0.17629512710481016,0.3268205812976131,0.06635648641645776,-1.2177588011780958,-0.697547452034873,-0.9668308344625646,,
XTIUSD|session|post|long,XTIUSD,D_session,post,long,2008,-1.5482102062977368,0.28331467169776087,-0.10542199537383824,0.06809281772268883,-0.5807712618249866,-4.37030261406917,1656,207.82470119521912,-5.07264029576593,0.9273597042340688,0.4178743961352657,1840,-0.7631887179465344,0.7605613778635424,-0.07573035399362427,0.09922886988867884,-0.6960637435843642,-2.0622465359693294,1840,252.0,-3.0051727775247725,2.9948272224752275,0.41847826086956524,3848,-1.0806009898123738,0.5467010610871408,-0.09122432901739495,0.08441999394543805,-0.8724078642437876,-4.222626047090086,3496,228.94802494802494,-3.9844994966916367,2.015500503308363,0.4181922196796339,0.28331467169776087,0.7605613778635424,0.5467010610871408,-3.366663225033405,-2.2869388137566107,-2.7044786790312196,,
XTIUSD|session|post|short,XTIUSD,D_session,post,short,2008,-2.112438138829427,-0.28331467169776087,-0.14396764606042467,0.06815236073147306,-0.6906028064032147,-5.963010631652077,1656,207.82470119521912,-6.927359704234068,-0.9273597042340688,0.40942028985507245,1840,-2.284311473673619,-0.7605613778635424,-0.2266696460063757,0.09922886988867884,-0.8168602816155557,-6.172540700462022,1840,252.0,-8.994827222475227,-2.9948272224752275,0.4141304347826087,3848,-2.1722694468923622,-0.5467010610871408,-0.18351330092023493,0.08447998989387259,-0.9432651852217536,-8.48850004231287,3496,228.94802494802494,-8.015500503308362,-2.015500503308363,0.41189931350114417,-0.28331467169776087,-0.7605613778635424,-0.5467010610871408,-3.923787739436098,-3.8080615694836957,-3.7909735284415493,,
XTIUSD|session|overnight_1430_0900|long,XTIUSD,D_session,overnight_1430_0900,long,2008,-0.31095148840281917,0.5152984440908697,-0.06630162359085155,0.21322175986809153,-0.6470170674193347,-0.8777568427644118,2007,251.87450199203187,-2.6323277293447136,4.3628193927143775,0.49128051818634777,1840,-0.7520801810671379,-0.115821623965238,-0.20857077852467307,0.2773251892221503,-0.9123138184237808,-2.0322296591988476,1840,252.0,-8.276618195423534,-1.2741613758881005,0.47282608695652173,3848,-0.5461136442068018,0.1707333247300037,-0.1343305334344668,0.245975420792817,-0.9650319361439119,-2.1340288602727715,3847,251.93451143451142,-5.331962368696163,1.6666809434737846,0.48245386015076686,0.5152984440908697,-0.115821623965238,0.1707333247300037,-1.1374079262035184,-1.387870237956909,-1.2627089240267295,,
XTIUSD|session|overnight_1430_0900|short,XTIUSD,D_session,overnight_1430_0900,short,2008,-1.3412853925754586,-0.5152984440908697,-0.28607821595507404,0.2132866111407977,-0.9162460095796657,-3.786193265966645,2007,251.87450199203187,-11.357966514773466,-4.3628193927143775,0.4613851519681116,1840,-0.5208817849393685,0.115821623965238,-0.1443530451799128,0.27713206595756795,-0.8595334422233163,-1.4074980819042802,1840,252.0,-5.728295443647332,1.2741613758881005,0.47554347826086957,3848,-0.8877961969158991,-0.1707333247300037,-0.21830942327672254,0.24590038123062943,-0.9779331714693323,-3.469209616637043,3847,251.93451143451142,-8.665324255643732,-1.6666809434737846,0.46815700545879907,-0.5152984440908697,0.115821623965238,-0.1707333247300037,-2.166952983865137,-1.1580062967210214,-1.6050391212206747,,
XTIUSD|sunday_gap|fade|02:00|thr0,XTIUSD,D_session,sunday_gap,fade,2008,-0.7756395627051358,-0.1863104483366246,-0.03484724454170881,0.044927110757701526,-0.27021820242114547,-2.189482794181912,302,37.9003984063745,-9.194426973582372,-2.1944269735823756,0.4139072847682119,1840,0.1314227393174981,0.5837658013856505,0.009463484587723179,0.0720079693732512,-0.1704055388110658,0.3551232906512875,341,46.70217391304348,2.0263477681667665,9.026347768166763,0.4633431085043988,3848,-0.2297797325142619,0.266036409876016,-0.01365916200580578,0.05944459007044057,-0.36350441193087857,-0.8979020866680726,643,42.109147609147605,-3.2437517217371843,3.7562482782628135,0.4401244167962675,-0.1863104483366246,0.5837658013856505,0.266036409876016,-1.3471842451282434,-0.32233190118555255,-0.7222661740546054,02:00,0.0
XTIUSD|sunday_gap|fade|02:00|thr0.005,XTIUSD,D_session,sunday_gap,fade,2008,-0.1936333155387505,-0.002128274590728197,-0.003996976213209962,0.020641986127692347,-0.06219494135486581,-0.5465899795955368,45,5.647410358565737,-7.077538127094885,-0.07753812709489062,0.4222222222222222,1840,0.43097334501398893,0.5205240021760883,0.02595166438985936,0.0602164024529568,-0.07054798560477782,1.164552445483709,58,7.943478260869566,32.670403993802154,39.670403993802154,0.5517241379310345,3848,0.23339174538760782,0.33864601392720345,0.010323579584515493,0.04423283937214874,-0.08309275848091557,0.9120166208811713,103,6.745322245322245,15.304798212827716,22.304798212827713,0.49514563106796117,-0.002128274590728197,0.5205240021760883,0.33864601392720345,-0.38150086019678,0.34010992297032516,0.1269973786555274,02:00,0.005
XTIUSD|sunday_gap|fade|09:00|thr0,XTIUSD,D_session,sunday_gap,fade,2008,0.030151579150207393,0.35341568228147807,0.002470775667723423,0.08194514971884743,-0.2065833556567267,0.08511216670866195,302,37.9003984063745,0.65191284831134,7.651912848311335,0.4867549668874172,1840,0.4284932825669352,0.7121368825808677,0.04903605947026732,0.11443833886149048,-0.17513899004643063,1.1578509572801288,341,46.70217391304348,10.499738098181338,17.499738098181336,0.5219941348973607,3848,0.2503176557470008,0.5473063986050365,0.024736919689729867,0.0988221131102785,-0.2065833556567267,0.9781573986780662,643,42.109147609147605,5.87447647227039,12.874476472270386,0.505443234836703,0.35341568228147807,0.7121368825808677,0.5473063986050365,-0.293324542085309,0.14302782491128221,-0.04798840991844892,09:00,0.0
XTIUSD|sunday_gap|fade|09:00|thr0.005,XTIUSD,D_session,sunday_gap,fade,2008,0.1091832051480555,0.1853916206610004,0.005636909658418033,0.051627992151120905,-0.10777444860632746,0.3082033983047093,45,5.647410358565737,9.981406167639683,16.98140616763968,0.5333333333333333,1840,1.0112402613063236,1.077908055421175,0.07275613530489443,0.0719474274203717,-0.04199164607316286,2.732517759857374,58,7.943478260869566,91.59228856116977,98.59228856116977,0.6206896551724138,3848,0.6065571045944081,0.6776940822178457,0.03773134188022588,0.06220575374425138,-0.10777444860632746,2.3702216202417223,103,6.745322245322245,55.93704868050128,62.93704868050129,0.5825242718446602,0.1853916206610004,1.077908055421175,0.6776940822178457,0.032643293004553015,0.9426390217182544,0.5339886961029195,09:00,0.005
XTIUSD|sunday_gap|follow|02:00|thr0,XTIUSD,D_session,sunday_gap,follow,2008,-0.4073995524057061,0.1863104483366246,-0.018213313227215474,0.044706267151412744,-0.2229402423668999,-1.1500113625441808,302,37.9003984063745,-4.805573026417622,2.1944269735823756,0.48013245033112584,1840,-1.0299088908209924,-0.5837658013856505,-0.07484652806598403,0.07267296042693648,-0.43239736937597983,-2.782963102722908,341,46.70217391304348,-16.02634776816676,-9.026347768166763,0.41935483870967744,3848,-0.7580001788376818,-0.266036409876016,-0.045293644647000864,0.05975413451280999,-0.5300443794560241,-2.962010334096297,643,42.109147609147605,-10.75624827826281,-3.7562482782628135,0.447900466562986,0.1863104483366246,-0.5837658013856505,-0.266036409876016,-0.9915854504117048,-1.465386496602723,-1.2392035128648067,02:00,0.0
XTIUSD|sunday_gap|follow|02:00|thr0.005,XTIUSD,D_session,sunday_gap,follow,2008,-0.18941726440083803,0.002128274590728197,-0.0039093982887820665,0.020639081137340986,-0.07807397606135735,-0.5346888700213214,45,5.647410358565737,-6.922461872905105,0.07753812709489062,0.4666666666666667,1840,-0.6085225960226076,-0.5205240021760883,-0.03707253395507675,0.06092219779082689,-0.26054102492866194,-1.644316256512849,58,7.943478260869566,-46.67040399380214,-39.670403993802154,0.41379310344827586,3848,-0.44227478075580345,-0.33864601392720345,-0.019767030727966633,0.04469400379145913,-0.2898942714612155,-1.7282614274809984,103,6.745322245322245,-29.304798212827706,-22.304798212827713,0.4368932038834951,0.002128274590728197,-0.5205240021760883,-0.33864601392720345,-0.37740252994841533,-0.6947518491866106,-0.5438305892336174,02:00,0.005
XTIUSD|sunday_gap|follow|09:00|thr0,XTIUSD,D_session,sunday_gap,follow,2008,-0.6742083937143785,-0.35341568228147807,-0.05553133343664767,0.08236523596318938,-0.39075573805187236,-1.9031619178660055,302,37.9003984063745,-14.651912848311333,-7.651912848311335,0.4735099337748344,1840,-0.9927867441145117,-0.7121368825808677,-0.11441910294852817,0.11525043381857508,-0.5896257927320685,-2.682653681667567,341,46.70217391304348,-24.499738098181332,-17.499738098181336,0.44281524926686217,3848,-0.8414417548507147,-0.5473063986050365,-0.08368972634253646,0.09945991610243346,-0.7499818689705013,-3.288072012370401,643,42.109147609147605,-19.874476472270384,-12.874476472270386,0.4572317262830482,-0.35341568228147807,-0.7121368825808677,-0.5473063986050365,-0.9903557696669891,-1.269332883980227,-1.1312610343633542,09:00,0.0
