bot,series,config,n_starts,first_start,last_start,p_stop_out,p_loss_ge_50pct,p_final_loss,mean_2y_ret,median_2y_ret,p05_2y_ret,worst_2y_ret,best_2y_ret,median_win_rate,median_trades,median_max_dd,p_stop_given_profitable_year1,share_profitable_year1,median_seq_win_rate
grid,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,375,1991-01-02,2022-03-01,0.4666666666666667,0.6613333333333333,0.608,-0.16692153027220336,-0.3821835593297376,-0.8638489765950614,-0.8765988061259069,1.809731143948094,1.0,22.0,-0.8220711821519928,0.26066350710900477,0.5626666666666666,
grid,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,193,2006-03-22,2022-03-01,0.7461139896373057,0.8601036269430051,0.7875647668393783,-0.477207632411221,-0.8132264790827034,-0.8645078148611457,-0.8734232242502302,2.5741292550201553,1.0,23.0,-0.8569295597724705,0.5875,0.41450777202072536,
grid,Brent (BRENT_W),step3.0%_lot0.5x_n8,375,1991-01-02,2022-03-01,0.568,0.7706666666666667,0.6106666666666667,-0.2293610777424019,-0.7387246630160542,-0.8644208964274442,-0.8728796265925644,2.2180216383967872,1.0,29.0,-0.8368950363053926,0.30303030303030304,0.528,
grid,NatGas (GAS_US),step5.0%_lot0.5x_n8,375,1991-01-02,2022-03-01,0.7626666666666667,0.9226666666666666,0.816,-0.4974485236516518,-0.8289731538054701,-0.8826255721549339,-0.8903865999011834,2.3808593975170873,1.0,15.0,-0.8685717095733415,0.4482758620689655,0.30933333333333335,
grid,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,183,2007-01-30,2022-03-01,0.8961748633879781,0.9562841530054644,0.9398907103825137,-0.7543264555376339,-0.8587726096536772,-0.8833512020659343,-0.8900574502277708,0.7761571970115584,1.0,11.0,-0.8778244194883212,0.7567567567567568,0.20218579234972678,
grid_hedged,"WTI (Dec, CRUDE_W)",step3.0%_lot0.5x_n8,375,1991-01-02,2022-03-01,0.744,0.9066666666666666,0.9253333333333333,-0.6181536707227409,-0.7376835522586482,-0.8697780658329848,-0.8948517735150897,0.5258880514729949,1.0,27.0,-0.7528397052138146,0.42857142857142855,0.13066666666666665,
grid_hedged,WTI front (CRUDE_ICE),step3.0%_lot0.5x_n8,193,2006-03-22,2022-03-01,0.7772020725388601,0.9067357512953368,0.8808290155440415,-0.6130835773155772,-0.7553266460221826,-0.875373629863223,-0.8990926495292239,0.46921350305964626,1.0,30.0,-0.7712751691124826,0.47058823529411764,0.17616580310880828,
grid_hedged,Brent (BRENT_W),step3.0%_lot0.5x_n8,375,1991-01-02,2022-03-01,0.8693333333333333,0.9493333333333334,0.9653333333333334,-0.7094091555644454,-0.752302932724904,-0.8732145619051136,-0.8860731858938089,0.6478605619530944,1.0,26.0,-0.7680932802111324,0.6086956521739131,0.12266666666666666,
grid_hedged,NatGas (GAS_US),step5.0%_lot0.5x_n8,375,1991-01-02,2022-03-01,0.888,0.9413333333333334,0.936,-0.7035943718488211,-0.7684343815102204,-0.901501439556856,-0.9277863215918055,0.9090915526959504,1.0,23.0,-0.7858508532209877,0.5,0.144,
grid_hedged,NatGas front (GAS-LAST),step5.0%_lot0.5x_n8,183,2007-01-30,2022-03-01,0.8087431693989071,0.9398907103825137,0.9289617486338798,-0.6929780225800002,-0.7875669485663126,-0.9071633236891382,-0.9220128662997533,0.7199906506426843,1.0,27.0,-0.8154118162408573,0.4864864864864865,0.20218579234972678,
martingale,"WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k6,375,1991-01-02,2022-03-01,0.0,0.4666666666666667,0.5226666666666666,-0.1087499516477155,-0.032596406387482846,-0.9943861615333752,-0.9996919022908534,1.5176134865909416,0.5267857142857143,77.0,-0.5579486743990055,0.0,0.5626666666666666,1.0
martingale,WTI front (CRUDE_ICE),step3.0%_base0.5x_k6,193,2006-03-22,2022-03-01,0.0,0.46113989637305697,0.6010362694300518,-0.03310257821237261,-0.09613050406294654,-0.9889796707372648,-0.9989108778261231,2.1779348708017046,0.538961038961039,121.0,-0.5548102031693397,0.0,0.5647668393782384,1.0
martingale,Brent (BRENT_W),step3.0%_base0.5x_k6,375,1991-01-02,2022-03-01,0.0,0.5173333333333333,0.5893333333333334,-0.12229112956613397,-0.21921025907417868,-0.9588528857454217,-0.9974063067356215,1.6428645255434193,0.5301204819277109,103.0,-0.6471944200376569,0.0,0.5493333333333333,1.0
martingale,NatGas (GAS_US),step5.0%_base0.5x_k6,375,1991-01-02,2022-03-01,0.0,0.4026666666666667,0.384,0.16529532768198218,0.3545812562625956,-0.9899685891519221,-0.9997614151908113,2.541783377670127,0.5573770491803278,74.0,-0.4967771265401669,0.0,0.744,1.0
martingale,NatGas front (GAS-LAST),step5.0%_base0.5x_k6,183,2007-01-30,2022-03-01,0.0,0.4808743169398907,0.4098360655737705,0.09827305861119529,0.22028828001178113,-0.9813848631996472,-0.9997529983686283,3.152593814530057,0.5384615384615384,65.0,-0.5757312837783173,0.0,0.6065573770491803,1.0
dca,"WTI (Dec, CRUDE_W)",step3.0%_tp2%_v1.5_m6_ladder5.0x,375,1991-01-02,2022-03-01,0.5253333333333333,0.592,0.5813333333333334,-0.2934479950746034,-0.7895456865259545,-0.8032039654905855,-0.8834488315762237,0.7584715995832916,1.0,19.0,-0.790437733539753,0.28820960698689957,0.6106666666666667,
dca,WTI front (CRUDE_ICE),step3.0%_tp2%_v1.5_m6_ladder5.0x,193,2006-03-22,2022-03-01,0.7927461139896373,0.844559585492228,0.8393782383419689,-0.575358389055805,-0.7930248894578187,-0.8113257090452402,-0.8832132376101471,0.8242184696363803,1.0,18.0,-0.8107155470667579,0.5952380952380952,0.43523316062176165,
dca,Brent (BRENT_W),step3.0%_tp2%_v1.5_m6_ladder5.0x,375,1991-01-02,2022-03-01,0.5733333333333334,0.7733333333333333,0.6293333333333333,-0.3141150727118237,-0.7904456257148209,-0.8075184388807659,-0.883358467052326,0.8922339787882021,1.0,23.0,-0.7923905373437219,0.27860696517412936,0.536,
dca,NatGas (GAS_US),step5.0%_tp2%_v1.5_m6_ladder5.0x,375,1991-01-02,2022-03-01,0.7626666666666667,0.88,0.8026666666666666,-0.5551499555245536,-0.7952736606225843,-0.8124390901666334,-0.8194652541459432,0.5947706811307942,1.0,19.0,-0.8068224879317893,0.4838709677419355,0.41333333333333333,
dca,NatGas front (GAS-LAST),step5.0%_tp2%_v1.5_m6_ladder5.0x,183,2007-01-30,2022-03-01,0.8087431693989071,0.9453551912568307,0.8743169398907104,-0.638054841063088,-0.7955151681484494,-0.8111159078983532,-0.817782465378424,0.637515991852005,1.0,15.0,-0.8094609372563142,0.5084745762711864,0.3224043715846995,
"same entries, no doubling (reference)","WTI (Dec, CRUDE_W)",step3.0%_base0.5x_k0,375,1991-01-02,2022-03-01,0.0,0.0,0.48,0.020281885731034732,0.00784318692754482,-0.27278254580432804,-0.38837141916529616,0.5908744050398389,0.5267857142857143,77.0,-0.14165462755129932,0.0,0.5146666666666667,0.5267857142857143
"same entries, no doubling (reference)",Brent (BRENT_W),step3.0%_base0.5x_k0,375,1991-01-02,2022-03-01,0.0,0.0,0.45866666666666667,0.029110252383528934,0.01661104296354221,-0.2083495654716524,-0.39265438419099474,0.6892620372390281,0.5301204819277109,103.0,-0.1646969148345635,0.0,0.5626666666666666,0.5301204819277109
"same entries, no doubling (reference)",NatGas (GAS_US),step5.0%_base0.5x_k0,375,1991-01-02,2022-03-01,0.0,0.005333333333333333,0.2826666666666667,0.1114794586164587,0.09331494758722791,-0.26137699774323975,-0.47497175129647773,1.0033944127909744,0.5573770491803278,74.0,-0.1654684923680675,0.0,0.6426666666666667,0.5573770491803278
"trend (15% vol, reference)","WTI (Dec, CRUDE_W)",multi_ewmac,363,,,0.0,0.0,0.42424242424242425,0.17884786532568753,0.049902919083504305,-0.20236769357659434,-0.3423402104737665,1.2225462077667508,,,,,,
"trend (15% vol, reference)",Brent (BRENT_W),multi_ewmac,363,,,0.0,0.0,0.3140495867768595,0.25113251022126404,0.14021231931358025,-0.1593165373230233,-0.26240299694568314,1.8960762339586736,,,,,,
"trend (15% vol, reference)",NatGas (GAS_US),multi_ewmac,363,,,0.0,0.0,0.3168044077134986,0.131497177450822,0.09047327478891365,-0.2333580881609395,-0.3347705326084466,1.0691555186772814,,,,,,
