sym,period,model,predictor,slope,t_nw,r2,n
XTIUSD,is,on930,on930,0.05963865636358121,3.6476692584742287,0.015023070899764512,2007
XTIUSD,is,on1000,on1000,0.06013991727908723,3.5492584582745326,0.01789738352259085,1658
XTIUSD,is,first30,first30,0.052640679463639525,1.110244853979085,0.0015096723583211125,2008
XTIUSD,is,mid,mid,0.01871877813833986,1.2021665181356096,0.0017889954945042863,2008
XTIUSD,is,r1330,r1330,0.008606605369105166,0.19504630109491208,3.588908352558651e-05,2008
XTIUSD,is,ALL,on930,0.11957234581456655,2.3855448455401542,0.02506526332467196,1658
XTIUSD,is,ALL,on1000,-0.04884397987400185,-0.9966416669528243,0.02506526332467196,1658
XTIUSD,is,ALL,first30,-0.04521299701749289,-0.7524380940589438,0.02506526332467196,1658
XTIUSD,is,ALL,mid,0.027386214395249547,1.293155587029294,0.02506526332467196,1658
XTIUSD,is,ALL,r1330,-0.012517697153698198,-0.2341608598720337,0.02506526332467196,1658
XTIUSD,oos,on930,on930,0.04111395383714576,2.5230366675980314,0.012667665861186506,1839
XTIUSD,oos,on1000,on1000,0.043955057273666207,2.7967716687029847,0.015193482633819033,1839
XTIUSD,oos,first30,first30,0.003533946255706188,0.06686981593422087,9.282273669253271e-06,1839
XTIUSD,oos,mid,mid,0.03322931062651781,1.9381647121988863,0.007742355193295469,1840
XTIUSD,oos,r1330,r1330,0.04354871441427748,0.5387595561581966,0.0008019677953442494,1840
XTIUSD,oos,ALL,on930,0.01522960098201794,0.30105936157129226,0.021786819968251714,1839
XTIUSD,oos,ALL,on1000,0.02832327904312555,0.5998659006740856,0.021786819968251714,1839
XTIUSD,oos,ALL,first30,-0.062442556864285056,-1.0467504768123763,0.021786819968251714,1839
XTIUSD,oos,ALL,mid,0.03191721277000198,1.8764531384139647,0.021786819968251714,1839
XTIUSD,oos,ALL,r1330,0.0005119577331254918,0.006698799254904489,0.021786819968251714,1839
XTIUSD,full,on930,on930,0.04962225574150585,4.326334926840484,0.013076110027140708,3846
XTIUSD,full,on1000,on1000,0.051963522688110546,4.439279517459488,0.01653737826437074,3497
XTIUSD,full,first30,first30,0.027364109792975315,0.7765289433969575,0.0004629356383762939,3847
XTIUSD,full,mid,mid,0.025566980420376827,2.2529903120770323,0.0038158219563907414,3848
XTIUSD,full,r1330,r1330,0.025744343354128577,0.6423998132708997,0.0003094528957661158,3848
XTIUSD,full,ALL,on930,0.05580174198183732,1.6073233518192047,0.02082993755300222,3497
XTIUSD,full,ALL,on1000,0.0006821821797724974,0.02025474457611796,0.02082993755300222,3497
XTIUSD,full,ALL,first30,-0.04939106106996093,-1.160042264392546,0.02082993755300222,3497
XTIUSD,full,ALL,mid,0.028135368743124826,2.0634562515104555,0.02082993755300222,3497
XTIUSD,full,ALL,r1330,-0.0041520522439418076,-0.09241454903254494,0.02082993755300222,3497
XNGUSD,is,on930,on930,0.053628193134989496,4.043730770535451,0.01377620906541388,1999
XNGUSD,is,on1000,on1000,0.05763722331945918,4.229750316024223,0.018118051858194484,1650
XNGUSD,is,first30,first30,0.05695121063970367,2.0408679063867705,0.0027734402482610943,1999
XNGUSD,is,mid,mid,0.00701303522364584,0.6502311927679721,0.00039557697955949767,1999
XNGUSD,is,r1330,r1330,0.07787894143489024,2.006975313082983,0.0035590335519971594,1999
XNGUSD,is,ALL,on930,0.09586733937602444,2.771924373481376,0.02523448038417264,1648
XNGUSD,is,ALL,on1000,-0.0312598367585081,-0.9285845577187388,0.02523448038417264,1648
XNGUSD,is,ALL,first30,0.004339421348436474,0.1332662512772707,0.02523448038417264,1648
XNGUSD,is,ALL,mid,-0.0019038971698437089,-0.1424482823083118,0.02523448038417264,1648
XNGUSD,is,ALL,r1330,0.047024938752888636,1.1134362899071497,0.02523448038417264,1648
XNGUSD,oos,on930,on930,0.02260663206902776,2.420200148554728,0.005833265971410206,1838
XNGUSD,oos,on1000,on1000,0.02659593212227207,2.952923238022893,0.008822404696443575,1838
XNGUSD,oos,first30,first30,-0.017013895664706714,-0.6926503571335056,0.0003754257593878707,1838
XNGUSD,oos,mid,mid,0.023570129059025745,2.0662471554080066,0.0049040119858349,1839
XNGUSD,oos,r1330,r1330,0.045635796206535906,0.9801571750892129,0.0011588589037706543,1839
XNGUSD,oos,ALL,on930,-0.029566472779757345,-0.8142736889849369,0.016859262532320174,1838
XNGUSD,oos,ALL,on1000,0.05494571108695111,1.597533221029477,0.016859262532320174,1838
XNGUSD,oos,ALL,first30,-0.059962428303600435,-2.114282128858918,0.016859262532320174,1838
XNGUSD,oos,ALL,mid,0.02020890140106886,1.6192702535847143,0.016859262532320174,1838
XNGUSD,oos,ALL,r1330,0.028624072698012978,0.6487296742845684,0.016859262532320174,1838
XNGUSD,full,on930,on930,0.03839014494343473,4.780501399300411,0.010096465498100615,3837
XNGUSD,full,on1000,on1000,0.040889247964838824,5.113716062127428,0.01302037326449157,3488
XNGUSD,full,first30,first30,0.02775638009550317,1.4539987162601273,0.0007729654922313811,3837
XNGUSD,full,mid,mid,0.012791434501688598,1.6242500201127672,0.0013908121022598863,3838
XNGUSD,full,r1330,r1330,0.06609448573316848,2.258722295011464,0.0025421395833484794,3838
XNGUSD,full,ALL,on930,0.04844209229352515,1.9003179935373236,0.015593563797123733,3486
XNGUSD,full,ALL,on1000,-0.0038392277949312477,-0.1568596006932432,0.015593563797123733,3486
XNGUSD,full,ALL,first30,-0.016289865306745595,-0.7374887273570928,0.015593563797123733,3486
XNGUSD,full,ALL,mid,0.007291428178654335,0.7518515086777942,0.015593563797123733,3486
XNGUSD,full,ALL,r1330,0.0386086435087299,1.2292605961230896,0.015593563797123733,3486
