dataset,symbol,period,month,n_years,first_year,last_year,mean_pct,median_pct,sd_pct,t_stat,p_value,pct_pos,p_bh,p_holm
fut,XTIUSD,full,1,34,1990,2024,0.6358008933418219,-0.46622503668988236,7.079065666610685,0.5237025051571282,0.6039850812074472,0.47058823529411764,0.7259997456375924,1.0
fut,XTIUSD,full,2,34,1990,2024,1.7926045580702183,1.1786693606580911,5.746644980055902,1.8189032001914587,0.07801121563032927,0.5882352941176471,0.46855578705924017,1.0
fut,XTIUSD,full,3,33,1990,2024,2.266121462482888,2.8985507246377162,8.199103784725976,1.5877194688214815,0.12218301783298614,0.696969696969697,0.46855578705924017,1.0
fut,XTIUSD,full,4,33,1990,2024,2.8236690323626696,3.264127900521796,5.458472805547765,2.971663362142371,0.005583617631840364,0.7272727272727273,0.16544179795891809,0.2010102347462531
fut,XTIUSD,full,5,33,1990,2024,1.2340612203267367,-0.545785324439052,9.122179785923269,0.7771324569561316,0.4427879860950635,0.48484848484848486,0.7259997456375924,1.0
fut,XTIUSD,full,6,33,1990,2024,1.9549403025957812,3.3961437335670253,6.198966338029356,1.8116370417448608,0.07943735253536961,0.5454545454545454,0.46855578705924017,1.0
fut,XTIUSD,full,7,33,1990,2024,0.6267123885440958,0.9514271407110586,7.1172682199923925,0.5058385417090392,0.6164370223616293,0.6666666666666666,0.7259997456375924,1.0
fut,XTIUSD,full,8,33,1990,2024,0.6386981252375955,-0.571564658251944,6.872511671558892,0.5338719769422392,0.5971195615946917,0.48484848484848486,0.7259997456375924,1.0
fut,XTIUSD,full,9,33,1990,2024,0.8628813343941002,0.5909090909090864,8.474331413705022,0.5849282545097048,0.5626980164501291,0.5151515151515151,0.7259997456375924,1.0
fut,XTIUSD,full,10,33,1990,2024,-1.1648732568514697,-0.7810650263180063,8.71517019493941,-0.767820621924937,0.4482228371785756,0.42424242424242425,0.7259997456375924,1.0
fut,XTIUSD,full,11,34,1990,2024,-1.7306702298689105,-0.4510075752830245,6.7774605887679655,-1.488972857021208,0.1459900496238586,0.47058823529411764,0.46855578705924017,1.0
fut,XTIUSD,full,12,34,1990,2024,-0.08441109536022944,0.1216081713095507,6.40513646922064,-0.0768441139079409,0.9392115748132878,0.5294117647058824,0.9416648068838182,1.0
fut,XTIUSD,1990-2007,1,17,1990,2007,0.9348729691427937,-0.27932960893850556,7.5980112264464506,0.5073143331104691,0.6188550616615368,0.47058823529411764,,
fut,XTIUSD,1990-2007,2,17,1990,2007,1.3397535662148485,0.8780487804877835,4.96793321263359,1.1119202351098885,0.28260138251402234,0.5882352941176471,,
fut,XTIUSD,1990-2007,3,17,1990,2007,4.2348160204054235,3.0150753768844574,7.099592445149518,2.4593797308912535,0.025685781751207358,0.8235294117647058,,
fut,XTIUSD,1990-2007,4,17,1990,2007,2.3947340437578912,1.8181818181818077,4.432611920465723,2.22752218891269,0.04061526391645796,0.7647058823529411,,
fut,XTIUSD,1990-2007,5,17,1990,2007,1.524264097928666,0.2893309222423035,4.752466067195985,1.3224085744613772,0.20462494756203367,0.5294117647058824,,
fut,XTIUSD,1990-2007,6,17,1990,2007,1.4871552964599573,2.8370710618752293,6.752548693089208,0.9080568904710813,0.37732269010989516,0.5294117647058824,,
fut,XTIUSD,1990-2007,7,17,1990,2007,2.0774048630708837,1.2086179716237044,5.2367978329825915,1.6356101478018463,0.12143814053984435,0.7647058823529411,,
fut,XTIUSD,1990-2007,8,17,1990,2007,2.4815530214216035,1.5167930660888063,7.366465151210479,1.3889572560063783,0.1838770403533947,0.5882352941176471,,
fut,XTIUSD,1990-2007,9,17,1990,2007,2.866703891054427,1.5492957746479297,9.010983101145886,1.3117018207129345,0.20813124652593645,0.6470588235294118,,
fut,XTIUSD,1990-2007,10,17,1990,2007,-0.7869374825980223,-0.7810650263180063,7.424086188633766,-0.4370405029075242,0.6679231343789586,0.35294117647058826,,
fut,XTIUSD,1990-2007,11,18,1990,2007,-1.8147573900487786,-1.6570947829853022,3.7074638369387856,-2.0767197952303253,0.05330391512474625,0.3888888888888889,,
fut,XTIUSD,1990-2007,12,18,1990,2007,-0.3220373371850746,-0.06582328701657536,5.455912321024207,-0.25042350923565876,0.805261257338376,0.5,,
fut,XTIUSD,2008-2024,1,17,2008,2024,0.33672881754084993,-0.723327305605781,6.740813843321472,0.20596451914864866,0.8394165048003052,0.47058823529411764,,
fut,XTIUSD,2008-2024,2,17,2008,2024,2.245455549925588,2.164720096657269,6.557111398099681,1.4119403877530168,0.17712033113445705,0.5882352941176471,,
fut,XTIUSD,2008-2024,3,16,2008,2024,0.17438349469019385,1.057250621241257,8.977187798918923,0.07770072258539315,0.9390931229145681,0.5625,,
fut,XTIUSD,2008-2024,4,16,2008,2024,3.2794124577552473,3.665934114630809,6.494191532302334,2.019904982132625,0.06162709469922026,0.6875,,
fut,XTIUSD,2008-2024,5,16,2008,2024,0.9257206628746871,-0.7234409197377001,12.378813692526592,0.29913065528518895,0.7689449267262409,0.4375,,
