family,name,lag,symbol,sharpe,total_ret,cagr,max_dd,ann_vol
benchmark,long_only_voltarget,1,XTIUSD,1.296786313001264,0.24699860298524823,0.22914855206927265,-0.1101841069552375,0.17029502153466408
benchmark,long_only_voltarget,1,XBRUSD,1.4229699304214594,0.2921039728790691,0.27146717005513676,-0.1482436550743924,0.18018808639157635
benchmark,long_only_voltarget,1,XNGUSD,0.5687523371530847,0.10059732551928002,0.08526552140213206,-0.1435574684312242,0.16856420879020326
benchmark,long_only_voltarget,1,PORT,1.4653710389230097,0.20867331359425578,0.19865091420377667,-0.07598773166991823,0.1293833465431912
benchmark,long_only_voltarget,2,XTIUSD,1.3567270550422543,0.2630372062433519,0.2445705804943199,-0.10846935958893955,0.17219936100810182
benchmark,long_only_voltarget,2,XBRUSD,1.4472542177261607,0.2995447882299147,0.27857494490894874,-0.14720557403498113,0.18113631818556683
benchmark,long_only_voltarget,2,XNGUSD,0.6235578745343541,0.11385075488241858,0.09754585580455233,-0.14657277999600016,0.17295304105274098
benchmark,long_only_voltarget,2,PORT,1.523001766170503,0.22048149723655963,0.21013252207961508,-0.07508031298791418,0.1308759078950709
trend,tsmom_21,1,XTIUSD,1.5530412273479333,0.29008465924051974,0.2729243614175645,-0.0850657395058716,0.16408876005506115
trend,tsmom_21,1,XBRUSD,1.2042615382727584,0.2333356393989996,0.21487452749352776,-0.10501039357563657,0.1742226975867476
trend,tsmom_21,1,XNGUSD,-0.253602563979355,-0.037115878973574934,-0.04774995287152939,-0.13996793070295654,0.14912849014680207
trend,tsmom_21,1,PORT,1.3266346902503243,0.15876677645828208,0.1516751564266483,-0.05695644056870042,0.11110775893576987
trend,tsmom_21,2,XTIUSD,0.8716038344902297,0.15604959339293933,0.1402442279911058,-0.08051450732376708,0.16641780785219407
trend,tsmom_21,2,XBRUSD,1.2378747262165553,0.24150571484532257,0.2227981991713892,-0.08692929633271662,0.17483013528984567
trend,tsmom_21,2,XNGUSD,-1.925594080974397,-0.2527524757814814,-0.26126744444955396,-0.2894578226542164,0.15122108358897496
trend,tsmom_21,2,PORT,0.3331026721831541,0.039031569396220434,0.032218158265467256,-0.09317011763631289,0.11495556248566534
trend,tsmom_63,1,XTIUSD,0.7390537529688715,0.13202332904173364,0.11626857323573847,-0.10359934600840337,0.16783231794476375
trend,tsmom_63,1,XBRUSD,0.700889226988515,0.13402127280869758,0.11598638532702688,-0.15930757270699158,0.17948821252361408
trend,tsmom_63,1,XNGUSD,-1.2087131124963868,-0.17471847301613008,-0.18495624286044565,-0.23299143736146766,0.1588115131473213
trend,tsmom_63,1,PORT,0.2778394725932154,0.03298431225130005,0.02599522170025259,-0.13750279545265354,0.1168087916609505
trend,tsmom_63,2,XTIUSD,0.5547453915285567,0.09876228062940084,0.08311956035435175,-0.1385760854232928,0.16981114412770387
trend,tsmom_63,2,XBRUSD,0.3109820984092253,0.05779844531909539,0.040747282325771295,-0.16017428013246238,0.1807051761016325
trend,tsmom_63,2,XNGUSD,-1.3042993454274296,-0.19079717244225325,-0.20128417192752845,-0.2055320473068254,0.16224555957858205
trend,tsmom_63,2,PORT,-0.05332895824559728,-0.006299484187895388,-0.013219882322619836,-0.12143789018158013,0.1184971661772922
trend,tsmom_126,1,XTIUSD,0.7631753719627978,0.13782202868150217,0.12173324801738694,-0.1101841069552375,0.16922587067163386
trend,tsmom_126,1,XBRUSD,0.6028512217513771,0.1138203538407041,0.09626775625342021,-0.15915029635735878,0.17884831462716422
trend,tsmom_126,1,XNGUSD,-0.24308510414475937,-0.03647109195581666,-0.04758185147317884,-0.1234619259363895,0.1528273397673241
trend,tsmom_126,1,PORT,0.7330446559781868,0.0901039510919126,0.08261772685324242,-0.09346273586512854,0.11771155902706043
trend,tsmom_126,2,XTIUSD,0.2981114691206197,0.052164467801914416,0.037044434655693737,-0.1163353546235395,0.17058911250430867
trend,tsmom_126,2,XBRUSD,0.9465912751092939,0.18577232538705069,0.1668463317917086,-0.14720557403498158,0.1800692006390226
trend,tsmom_126,2,XNGUSD,-1.547574279243267,-0.21306480725307508,-0.2224436959357422,-0.25399668276327025,0.15475541721827904
trend,tsmom_126,2,PORT,0.13917412100994106,0.016546510047712015,0.009534720977842914,-0.11261117730411374,0.11792165378699261
trend,tsmom_252,1,XTIUSD,0.6082474797867954,0.10749359502199796,0.09205001167231086,-0.12170049764629631,0.1678923940631505
trend,tsmom_252,1,XBRUSD,0.12964467234000646,0.023293195598114602,0.0073526307431022175,-0.18318779295760412,0.17761702982237948
trend,tsmom_252,1,XNGUSD,-0.38366555798092894,-0.055152115482417496,-0.06546221206783676,-0.15315962936054917,0.1478499873314145
trend,tsmom_252,1,PORT,0.2679651574860565,0.03209066640970848,0.024975785373654524,-0.10002752294702777,0.11788285539511263
trend,tsmom_252,2,XTIUSD,0.20224011418435145,0.03472939413841214,0.020136318776003304,-0.14106035446166987,0.1688203668473997
trend,tsmom_252,2,XBRUSD,0.024682090158315084,0.004431690152137513,-0.011502355999390979,-0.16405734855082332,0.17915573185938782
trend,tsmom_252,2,XNGUSD,-1.8529402330145865,-0.24871771666461218,-0.2576942740274527,-0.30006370464341103,0.15424761876233728
trend,tsmom_252,2,PORT,-0.5297466357600946,-0.06327467389342412,-0.07035746629602413,-0.17311483052676457,0.12337351570190998
trend,sma_10_50,1,XTIUSD,1.4892052886465923,0.28190358022719453,0.2642800512591639,-0.09890243533387455,0.1668464112886841
trend,sma_10_50,1,XBRUSD,0.9153845010218482,0.17489605376954698,0.15689179412505494,-0.13716482902642502,0.17613498484142764
trend,sma_10_50,1,XNGUSD,-1.0598143831134355,-0.15182518918401622,-0.16198108245059384,-0.251537850464587,0.15532411421305187
trend,sma_10_50,1,PORT,0.8475953176838316,0.10064443228341013,0.09364963190141573,-0.09366515507538564,0.11316025722228686
trend,sma_10_50,2,XTIUSD,1.6574345502407422,0.3211177319983065,0.30269453867986273,-0.08262509686800568,0.16811045166997227
trend,sma_10_50,2,XBRUSD,1.330428474947791,0.26570082506581727,0.24608619990673586,-0.12167884379629934,0.17718815960701362
trend,sma_10_50,2,XNGUSD,-0.8877319589250112,-0.1312951526455861,-0.14213910586835488,-0.23362541602445186,0.15850793239503055
trend,sma_10_50,2,PORT,1.1889536501341176,0.14766792024583086,0.14002580521408703,-0.09793990296742949,0.11587468855809523
trend,sma_20_100,1,XTIUSD,-0.1769710908861992,-0.029392101020709438,-0.043022867841649215,-0.21666510228065716,0.16856390423526962
trend,sma_20_100,1,XBRUSD,0.25685770408799274,0.047166894632370227,0.03051767203646194,-0.19519325743148952,0.17944774855548748
trend,sma_20_100,1,XNGUSD,-1.3761684511814483,-0.1962014632281026,-0.2061947770179401,-0.21048827664925984,0.1586375554325724
trend,sma_20_100,1,PORT,-0.4447719271204365,-0.05033087940473013,-0.05668220085514053,-0.15488931168596276,0.11609626190501249
trend,sma_20_100,2,XTIUSD,-0.29617466514029883,-0.049058138695451614,-0.06260681276192526,-0.21710948570375765,0.16982321023713876
trend,sma_20_100,2,XBRUSD,0.28861015305766147,0.053307882920843985,0.03646617981567646,-0.19021953699999672,0.1799691676335845
trend,sma_20_100,2,XNGUSD,-1.8461332862229574,-0.2600753409979164,-0.2698220133120791,-0.272566476297219,0.16305809171817426
trend,sma_20_100,2,PORT,-0.7433828057504571,-0.08142740643979862,-0.08737833744666812,-0.1608314416845823,0.1142345912717462
trend,sma_50_200,1,XTIUSD,-0.8895878832160766,-0.1369402688885265,-0.14870531314246338,-0.268267926361475,0.16550175049053334
trend,sma_50_200,1,XBRUSD,0.9736636376701892,0.19192477719263157,0.17283592377916435,-0.14824365507439274,0.18038121962414416
trend,sma_50_200,1,XNGUSD,-0.9300483355245147,-0.14338230408190977,-0.1550238640574152,-0.18585203453812527,0.16635268961918037
trend,sma_50_200,1,PORT,-0.21993991511634825,-0.024512434953181672,-0.030675683601989023,-0.1437433320366478,0.1128337446702869
trend,sma_50_200,2,XTIUSD,-0.5387956115636287,-0.08723701967877673,-0.10025391501431846,-0.2287760936565868,0.16938242628135236
trend,sma_50_200,2,XBRUSD,0.5849463919867736,0.11206692752173075,0.09398113605706504,-0.1472055740349817,0.18162821702226
trend,sma_50_200,2,XNGUSD,-0.7839077460749615,-0.12541801928007423,-0.13793939804572986,-0.17257679892747058,0.17090482672711416
trend,sma_50_200,2,PORT,-0.19889195924187636,-0.02267666859080364,-0.02912824805431724,-0.14119776083884505,0.11532238296240971
trend,ewmac_4_16,1,XTIUSD,0.30564020807390424,0.07482487421570494,0.04542499709820369,-0.13474874705200746,0.2361210027820727
trend,ewmac_4_16,1,XBRUSD,0.7908702076153332,0.21324031484563122,0.17782007619036633,-0.1457326945309898,0.24450140641328086
trend,ewmac_4_16,1,XNGUSD,-1.0582960498278549,-0.20056022537857054,-0.21849751741758605,-0.2429774816705439,0.2114197542442778
trend,ewmac_4_16,1,PORT,0.07249338285591911,0.011885697610951818,-0.0014058529992113655,-0.1401602663784276,0.16299273122534197
trend,ewmac_4_16,2,XTIUSD,0.34280620819974983,0.08409650336187524,0.05458874796255064,-0.12955450800088741,0.23558459673446833
trend,ewmac_4_16,2,XBRUSD,0.7352294970558736,0.19424125132812664,0.16014033186820642,-0.12872988822295672,0.2415212980100233
trend,ewmac_4_16,2,XNGUSD,-1.5951442429272875,-0.27499357037678096,-0.2898418225244369,-0.30387300196506484,0.2014674630087239
trend,ewmac_4_16,2,PORT,-0.10270129860865772,-0.01637486200827265,-0.028956350269232378,-0.16943365765966767,0.16075620477054434
trend,ewmac_8_32,1,XTIUSD,0.6416528600498361,0.16563745213926206,0.13296857301437925,-0.14700013245968357,0.23893718074053577
trend,ewmac_8_32,1,XBRUSD,0.6655064611530384,0.1666344194524454,0.13579789529809227,-0.14323440080833016,0.23165842611770202
trend,ewmac_8_32,1,XNGUSD,-1.7655393859234476,-0.22449381594027606,-0.23249466296044996,-0.2842514763585282,0.1439283190073738
trend,ewmac_8_32,1,PORT,0.18891717819927836,0.028896408067822232,0.017293716115560187,-0.11454942295080761,0.15079830112304496
trend,ewmac_8_32,2,XTIUSD,0.6904309982087838,0.17756105443896475,0.1451360996432034,-0.1470595753119981,0.23680630375884684
trend,ewmac_8_32,2,XBRUSD,0.6417161853132668,0.15932233426360098,0.1289626916046338,-0.1593234674315105,0.23044301440004494
trend,ewmac_8_32,2,XNGUSD,-1.9188272667907378,-0.2398773131919989,-0.2475953649335796,-0.29892547675933134,0.14286133392954067
trend,ewmac_8_32,2,PORT,0.1748595493786393,0.026483794176985542,0.01510292555962156,-0.11928150788153735,0.1494944125361989
trend,ewmac_16_64,1,XTIUSD,0.13632527646488343,0.02900527242343176,0.006561980768482689,-0.20150372881587153,0.20974982459979738
trend,ewmac_16_64,1,XBRUSD,0.0298539868237943,0.006264617896328373,-0.015603514353638048,-0.22341474299958064,0.20918995400792736
trend,ewmac_16_64,1,XNGUSD,-1.3080668701267777,-0.16032769231823485,-0.16774921156314004,-0.23316488608820307,0.13354286788072314
trend,ewmac_16_64,1,PORT,-0.21611443050371734,-0.028654678102667863,-0.0373991638954575,-0.16117129588563228,0.1345192984080093
trend,ewmac_16_64,2,XTIUSD,0.1710412001910236,0.03636537616541724,0.013961990206277086,-0.20585724665357763,0.20885197827647342
trend,ewmac_16_64,2,XBRUSD,0.021046463800086394,0.0044049915510369075,-0.017360871007137568,-0.23650111955838127,0.2088406083953448
trend,ewmac_16_64,2,XNGUSD,-1.2568591997678207,-0.15867486724054092,-0.16654249669934662,-0.23251022665182974,0.13742022552140076
trend,ewmac_16_64,2,PORT,-0.1928788846586549,-0.02564240166445564,-0.0344331509320821,-0.16495206249363903,0.13467290545245567
trend,ewmac_32_128,1,XTIUSD,-0.5395032739955716,-0.08409760215245199,-0.09620400656768135,-0.17674466435473046,0.16279820234831113
trend,ewmac_32_128,1,XBRUSD,-0.7555420196993755,-0.10558090616060833,-0.11530134643014578,-0.2282348887777359,0.14765046337150614
trend,ewmac_32_128,1,XNGUSD,-0.3911288449504511,-0.06448420653907494,-0.07783953553342038,-0.13836271353035556,0.1704002065373832
trend,ewmac_32_128,1,PORT,-0.6091275861117913,-0.06538362165648914,-0.07110604307252666,-0.14142280117474437,0.11099489608614589
trend,ewmac_32_128,2,XTIUSD,-0.5413505245190419,-0.08282208081190212,-0.09447814915039865,-0.17005137322535246,0.1596728373571331
trend,ewmac_32_128,2,XBRUSD,-0.7561699455631204,-0.1045072625995137,-0.11401118026831303,-0.22709005750501166,0.14594205600093213
trend,ewmac_32_128,2,XNGUSD,-0.4127525235546761,-0.06766225897582878,-0.08086366707362092,-0.13386792317802532,0.16971527691851687
trend,ewmac_32_128,2,PORT,-0.6177558332060967,-0.06557256000178935,-0.07116759191201616,-0.13745968251350826,0.10977180890954466
trend,ewmac_64_256,1,XTIUSD,-0.9270694106091296,-0.12753784827800818,-0.1369037287129241,-0.25779772753285235,0.1471293044201742
trend,ewmac_64_256,1,XBRUSD,-1.0200732112895496,-0.11493204986686689,-0.1212421068009284,-0.2206386705463771,0.11965933894379319
