setting,sharpe,oos,max_dd
base,0.7731016808201285,0.8268534658628167,-0.19249570704435837
lag=2,0.7158625271074381,0.7263249890542296,-0.21693242778620037
lag=3,0.6739021791611773,0.7088046374385248,-0.2662805562511311
lag=5,0.5958370519104693,0.624501928717657,-0.291140509537161
cost_mult=2.0,0.7311167899119202,0.7855420631209702,-0.19718041063937064
cost_mult=3.0,0.6891260073161718,0.7442312866610842,-0.20900203620806368
fin=0.05,0.6847153307258517,0.7412283553181147,-0.2044367764256434
fin=0.0,0.861402294948699,0.9124168152755278,-0.18810355294645642
buffer=None,0.779895469270308,0.8399138206303476,-0.19137214737045405
buffer=0.25,0.7242682246206683,0.7639649223473364,-0.2001387395946499
