name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
carry_sign,1991-10-29,2024-03-28,32.4,0.08279315350096846,0.07412249592411913,0.1502146579633435,0.5511656094252284,0.8137274472595352,-0.4212392428395664,0.1759629407375739,0.019806243572155522,3.136367323367963,0.5133136094674556,14.805804960377627,0.019749089783619167,0.6825263811183231,0.6095809622343473,0.9849264705882353,XTIUSD,fut,0.5118222052448038,0.5899555717854985,0.45,0.58,0.57,0.64
carry_sign,1990-08-23,2024-03-28,34.1,0.06916487228633894,0.05964073356520849,0.14967794459495265,0.46209127519426985,0.6521388999822243,-0.5197739808080868,0.11474359195988555,-0.38424345577919056,2.6980460491000566,0.5129938235636872,13.046306634028939,0.01721631474247283,0.5770283026627853,0.5133066816846682,0.9931323478058434,XBRUSD,fut,0.616000963271446,0.3083644603579717,0.72,0.58,0.42,-0.18
carry_sign,1991-08-09,2024-03-28,32.5,-0.0038289871989316887,-0.015427005382932624,0.15301292898202867,-0.025023945521501664,-0.03759375714870164,-0.6796812674770005,-0.02269741145022016,-0.13434619776832918,-0.1427280960580591,0.5039716485396554,8.154396612701744,0.017686589723515264,0.09057525207233309,0.3799471743578636,0.9959746279580386,XNGUSD,fut,0.00783021145758382,-0.06032148838042301,-0.03,0.07,0.2,-0.68
carry_sign,1990-08-23,2024-03-28,34.4,0.05057508754423155,0.04654706552051158,0.10072663052674394,0.5021024457956365,0.7206751700471756,-0.3343622734615559,0.13921147574043946,-0.13446689033343082,2.9437515705739363,0.5163934426229508,,,,,,PORT,fut,0.5612622441176371,0.43939020956566655,0.6,0.57,0.58,-0.02
carry_scaled,1991-10-29,2024-03-28,32.4,0.1214829904221224,0.10911652611167533,0.18913913279548578,0.6422943186140159,0.8112471672797744,-0.431381018830042,0.2529469803924444,-0.04640510302239067,3.6549285340691693,0.511466468327755,19.598369453638952,0.02137044908596506,0.7550082717222037,0.6195472546452772,0.9800245098039215,XTIUSD,fut,0.7431329467078365,0.5279368838724088,0.58,0.7,0.79,0.46
carry_scaled,1990-08-23,2024-03-28,34.1,0.08354095741388833,0.07196954230076069,0.16739453607340005,0.49906621430735854,0.6028072026429473,-0.5788672405333579,0.12432823497569018,-0.17068319399626228,2.9139343243068185,0.5099848184047647,12.157002977685572,0.014183549205565164,0.5836505147744954,0.40207632166805896,0.9910371318822023,XBRUSD,fut,0.8102108019570552,0.19090023970807884,0.86,0.69,0.38,-0.22
carry_scaled,1991-08-09,2024-03-28,32.5,0.004056497397978754,-0.006740391619508901,0.1467806757104768,0.02763645403826965,0.03151543417110013,-0.5390969774593497,-0.01250311521180279,-0.6345944808899869,0.15762895836266114,0.5007954962672867,6.135021582289907,0.01256215975666476,0.11320426856931214,0.2567515873032788,0.9945108563064162,XNGUSD,fut,0.0095622192798864,0.04780319256396859,0.05,0.07,0.34,-0.5
carry_scaled,1990-08-23,2024-03-28,34.4,0.07205764992618217,0.06722280274274439,0.11817726624304278,0.6097420613706597,0.7727558102621762,-0.34106173765817793,0.1970986344123921,-0.2093247409363948,3.5748265435365614,0.5259755252828446,,,,,,PORT,fut,0.7785852215375888,0.4171390731478728,0.77,0.68,0.75,-0.01
carry_ema60_sign,1991-10-29,2024-03-28,32.4,0.05027070392454778,0.03909817150188455,0.15420039909026326,0.32600890932273885,0.46682474842129856,-0.5946522054497663,0.0657496451599176,-0.3344457800907397,1.8551296975748237,0.5139705882352941,1.85785565259338,0.0163570331735563,0.43203727486578325,0.6298664090931944,1.0,XTIUSD,fut,0.6256027905673239,0.0313180787680935,0.29,0.87,-0.11,0.11
carry_ema60_sign,1990-08-23,2024-03-28,34.1,0.058112756402908916,0.04755086397636288,0.15248085818857565,0.38111509269602806,0.5422194019436761,-0.583201538437486,0.08153418817062998,-0.38047526011376215,2.2252445031960892,0.5142591083692236,2.056967955685816,0.013702141423010562,0.4709182800773361,0.5266255118803217,1.0,XBRUSD,fut,0.548576812795931,0.2117330360286115,0.67,0.53,0.16,-0.04
carry_ema60_sign,1991-08-09,2024-03-28,32.5,0.04354417819370935,0.03177210793374319,0.15654169656902625,0.2781634487684805,0.4184160635782697,-0.7195531042794239,0.04415533439406181,-0.1586896933713453,1.5865499467921726,0.5098804586484509,1.5312936360971958,0.01128810415489574,0.3502912282940711,0.38867632597314616,1.0,XNGUSD,fut,0.14299796713030574,0.42270709996866046,0.59,-0.1,0.37,0.33
carry_ema60_sign,1990-08-23,2024-03-28,34.4,0.051083175628281796,0.046534228745140904,0.10570663262878618,0.48325421364686205,0.6809444111997447,-0.38963079347190965,0.11943159915694851,-0.3624511363125423,2.833247203476948,0.5223966751327638,,,,,,PORT,fut,0.6114107072642926,0.3486063330864752,0.76,0.59,0.21,0.28
carry_ema60_scaled,1991-10-29,2024-03-28,32.4,0.06432937331885537,0.046467132252668186,0.19424141769627967,0.3311825772371691,0.42048666110416955,-0.7125724255371053,0.06521039909401957,-0.22128002771584065,1.8845700739540716,0.5133578431372549,2.250193266292912,0.01707215814919905,0.4189969280989433,0.653364316885671,1.0,XTIUSD,fut,0.7332521796441468,-0.15822986874279907,0.4,0.81,-0.2,-0.01
carry_ema60_scaled,1990-08-23,2024-03-28,34.1,0.0424831718195416,0.027462891593250438,0.1745969233295801,0.2433214229058762,0.283521601370001,-0.715982488446511,0.03835693195910072,-1.0438704632052578,1.4206985480446572,0.5116982889069956,1.7428604399121586,0.011028399310752357,0.30644108553603266,0.4222294914822103,1.0,XBRUSD,fut,0.535397992026496,-0.04816877865934501,0.69,0.32,0.28,-0.64
carry_ema60_scaled,1991-08-09,2024-03-28,32.5,0.042550912148440735,0.031956969657680245,0.1487949583005536,0.2859701204559054,0.34991104565229175,-0.5400551042837219,0.059173535078545274,-0.2929498321211789,1.6310765537390715,0.5101244205903879,1.6547667600880627,0.0088661659926267,0.3455316473315486,0.2880154176175994,1.0,XNGUSD,fut,0.2400378563981019,0.3375850643984697,0.56,-0.01,0.36,0.31
carry_ema60_scaled,1990-08-23,2024-03-28,34.4,0.053251574517131035,0.04647028536627529,0.12500329849038647,0.4260013548460596,0.5448146833251224,-0.4812389845792031,0.09656384219767451,-0.2853737499917687,2.4975822521787268,0.5247056107134611,,,,,,PORT,fut,0.7238443497493496,0.08577618405705324,0.76,0.57,0.2,-0.13
carry_seasadj_sign,1991-10-29,2024-03-28,32.4,0.0389290937054361,0.027961696170656358,0.1505120161022103,0.2586444239707744,0.3549093571769148,-0.5232831246744947,0.05343511925413183,-0.31060803554442173,1.4717970530839424,0.5222772277227723,2.676518501807589,0.015261222788526423,0.36000492117480265,0.5764781396371103,0.9406862745098039,XTIUSD,fut,0.5172118045105389,0.01569378690159432,0.49,0.43,0.07,-0.09
carry_seasadj_sign,1990-08-23,2024-03-28,34.1,0.04551160227229325,0.035050266447740785,0.14856984833574471,0.3063313504193941,0.4269803167048034,-0.5740086301902789,0.06106226388290002,-0.3226234001426799,1.7885992099008152,0.5146314359797506,2.8528875636870383,0.01327217478165056,0.3955991380017085,0.4982540648269232,0.9427307647538121,XBRUSD,fut,0.3291903927526144,0.28478561535263985,0.62,0.23,0.64,-0.75
carry_seasadj_sign,1991-08-09,2024-03-28,32.5,0.010884722362644718,-0.0004538320664205786,0.15059958998600365,0.07227590967316921,0.10876530398014961,-0.695026585827923,-0.000652970800937016,0.027544211907632087,0.41223726968442737,0.5021370288822692,3.2884089943582597,0.01223299196790244,0.1534904153753317,0.3563637683957367,0.9418150768480117,XNGUSD,fut,0.34563108423037436,-0.19956458286855203,0.1,0.25,-0.37,0.52
carry_seasadj_sign,1990-08-23,2024-03-28,34.4,0.03385711457969509,0.028664044728938354,0.10571967950973767,0.3202536626738125,0.43648149054906776,-0.42430908785985577,0.06755463304713791,-0.26949431739050994,1.877599343265904,0.519603038470963,,,,,,PORT,fut,0.5380807630764806,0.09723193269503909,0.57,0.41,0.2,-0.06
carry_seasadj_scaled,1991-10-29,2024-03-28,32.4,0.030577051698424465,0.016572447136200763,0.1678961366035344,0.1821188522677465,0.21157582095904784,-0.6217039182338183,0.026656494595178,-0.39671767793518803,1.0363339211557354,0.5224182038508146,2.9407006038952814,0.013786091986154771,0.2641975740586876,0.5147381577763551,0.910171568627451,XTIUSD,fut,0.4558544086351396,-0.0975489175673639,0.57,0.22,-0.05,-0.11
carry_seasadj_scaled,1990-08-23,2024-03-28,34.1,0.034944095575819636,0.021073332445414872,0.1670631182859975,0.20916702581834007,0.23730830560547458,-0.657737326272051,0.0320391311298313,-1.096414715795072,1.2212787773885676,0.5146496815286624,2.999523401966873,0.011337393860394855,0.27698918783460436,0.4173599266874698,0.9137469444767781,XBRUSD,fut,0.3095934052721816,0.11766788332774475,0.72,-0.01,0.61,-0.83
