name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,family,lag,cost_mult,window_start,tilt,w,corr_tilt_vs_trend_port
trend_only,1991-10-29,2024-03-28,32.2,0.06967797155352871,0.053278488498845755,0.18815193247482548,0.37032822696546874,0.44082038098964077,-0.4688193460658887,0.11364396317245386,-0.3849842165008216,2.10124785677518,0.5115389519316588,7.170348126771888,0.016747917063942748,0.4592420358925708,0.5782998108986266,0.966720078885739,XTIUSD,fut,0.5541511583623945,0.15872059313138537,0.27,0.8,-0.07,0.35,G_overlay,1,1.0,,none,0.0,
trend_only,1990-08-30,2024-03-28,33.3,0.09043158047258236,0.07508273499565554,0.18974216819423062,0.47660244073953856,0.5868681417987489,-0.4257411314929983,0.17635771937833153,-0.09868422854916983,2.7506825613529897,0.5060315115706548,6.023076463740844,0.014607206265420513,0.5534112221762142,0.4949312745439967,0.9678341672623302,XBRUSD,fut,0.5306829544319449,0.4194473001351646,0.72,0.37,0.36,0.41,G_overlay,1,1.0,,none,0.0,
trend_only,1991-08-09,2024-03-28,32.4,0.07437970928499896,0.057391951301740685,0.19267084279512167,0.386045486727285,0.485309329515279,-0.44976294141665496,0.12760489141450512,-0.006346220694524503,2.1962249329683683,0.5125538929748922,4.375532802784948,0.013577437901399531,0.45650750039564997,0.3636172761000125,0.9668955370279548,XNGUSD,fut,0.3227079162049515,0.4485384234622649,0.27,0.45,0.14,0.83,G_overlay,1,1.0,,none,0.0,
trend_only,1990-08-30,2024-03-28,33.6,0.07747569295469936,0.06980182754276565,0.14129488299157697,0.5483262473087431,0.6949216527933672,-0.33742565788466783,0.20686579669239002,-0.19490990015508056,3.1762980792335047,0.5188852218555189,,,,,,PORT,fut,0.6287468431548074,0.45981260232388016,0.58,0.69,0.24,0.75,G_overlay,1,1.0,,none,0.0,
trend+0.5xseasonal_wf_exp_tstat,1991-10-29,2024-03-28,32.2,0.08343553061467002,0.06481045835572274,0.20270124938002013,0.41161823555535565,0.48690435584670816,-0.4978773884880532,0.13017353238824161,-0.4142802065692974,2.335527978403118,0.5161290322580645,8.059051097789302,0.018299444270852963,0.5017816224724987,0.6288002444153163,0.966720078885739,XTIUSD,fut,0.5992961559040118,0.19564271863370344,0.41,0.76,-0.03,0.35,G_overlay,1,1.0,,seasonal_wf_exp_tstat,0.5,0.11478874540927965
trend+0.5xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.3,0.10559234026382869,0.08926565391430707,0.2003219731359397,0.52711311999794,0.6535101801143964,-0.46824003950273263,0.19064079613761037,0.0018937465213681177,3.0422019341505546,0.509970457902511,6.758406744625921,0.015708528829239322,0.6053235939812396,0.5282898155497072,0.9678341672623302,XBRUSD,fut,0.5942155310956623,0.4558438424417883,0.84,0.39,0.41,0.43,G_overlay,1,1.0,,seasonal_wf_exp_tstat,0.5,0.11478874540927965
trend+0.5xseasonal_wf_exp_tstat,1991-08-09,2024-03-28,32.4,0.07055215758384743,0.05271899965461735,0.19577829463270968,0.3603676174430213,0.45265890248828466,-0.4578686024603198,0.1151400191481488,0.010089276746721287,2.050142725854155,0.5096373319807254,4.9202632144604,0.0142511781276901,0.43314132319320087,0.36866473808101313,0.9668955370279548,XNGUSD,fut,0.2846576836143739,0.43440842820213293,0.21,0.44,0.1,0.83,G_overlay,1,1.0,,seasonal_wf_exp_tstat,0.5,0.11478874540927965
trend+0.5xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.6,0.08559010335119202,0.0772770860597658,0.14920911850683544,0.5736251524552171,0.7271913392565353,-0.3296380315617836,0.23443012838547986,-0.153312778345673,3.322847445086148,0.521696614105855,,,,,,PORT,fut,0.6606536928785064,0.4771244285895154,0.68,0.67,0.25,0.76,G_overlay,1,1.0,,seasonal_wf_exp_tstat,0.5,0.11478874540927965
trend+0.5xseasonal_wf_exp_tstat,1991-10-29,2024-03-28,32.2,0.08188408846610518,0.06275070520811021,0.20455767343813042,0.4002982977359266,0.4713734196474743,-0.5274417203896005,0.11897182718454417,-0.43456596895008137,2.271298483187995,0.5174700331548074,8.057413775381136,0.018276465382134427,0.48955068492944737,0.6286524668994763,0.9665968199186491,XTIUSD,fut,0.5977322935560786,0.17393518429827304,0.41,0.75,-0.08,0.4,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,0.5,
trend+0.5xseasonal_wf_exp_tstat,1990-08-30,2024-03-28,33.3,0.10044480017201633,0.08323479881928142,0.2023325705854628,0.49643416223780773,0.6125640397788609,-0.48819827007873273,0.17049384219624125,0.006906037545342802,2.8651401591828547,0.5100332389511264,6.757487921904444,0.015699064705194107,0.5738486454408783,0.528188159503343,0.9677150345484871,XBRUSD,fut,0.5674013354330522,0.42137646537438117,0.83,0.34,0.37,0.42,G_overlay_robust,2,1.0,,seasonal_wf_exp_tstat,0.5,
