key,sym,family,kind,anchor,N,exit,stop,filter,is_days,is_sharpe,is_gross_sharpe,is_ann_ret,is_ann_vol,is_max_dd,is_t_stat,is_trades,is_trades_py,is_avg_bps,is_avg_gross_bps,is_hit,oos_days,oos_sharpe,oos_gross_sharpe,oos_ann_ret,oos_ann_vol,oos_max_dd,oos_t_stat,oos_trades,oos_trades_py,oos_avg_bps,oos_avg_gross_bps,oos_hit,full_days,full_sharpe,full_gross_sharpe,full_ann_ret,full_ann_vol,full_max_dd,full_t_stat,full_trades,full_trades_py,full_avg_bps,full_avg_gross_bps,full_hit,is_sharpe_0x,oos_sharpe_0x,full_sharpe_0x,is_sharpe_2x,oos_sharpe_2x,full_sharpe_2x
XTIUSD|orb|08:00|15|14:30|none|none,XTIUSD,A_orb,range,08:00,15.0,14:30,none,none,2008,-0.8726145482271237,-0.2784131811204759,-0.2590522587600129,0.2968690578060211,-0.9264580872924282,-2.46322471307775,2008,252.0,-10.27985153809575,-3.2798515380957456,0.47758964143426297,1840,-0.24594196120967776,0.33402562366722116,-0.07480445991924818,0.30415492968877184,-0.7166325679810748,-0.664570827145918,1840,252.0,-2.9684309491765153,4.031569050823483,0.4967391304347826,3848,-0.5690913597352901,0.018141635649274665,-0.17095040068646639,0.30039184001314495,-0.9779795721652192,-2.2238180618448227,3848,252.0,-6.783746058986761,0.21625394101324133,0.48674636174636177,-0.2784131811204759,0.33402562366722116,0.018141635649274665,-1.46681591533377,-0.8259095460865762,-1.156324355119854
XTIUSD|orb|08:00|15|14:30|none|narrow1.0,XTIUSD,A_orb,range,08:00,15.0,14:30,none,narrow1.0,2008,-1.111693614399548,-0.6543075183520898,-0.2524031537404956,0.22704380997710824,-0.923043795449178,-3.1380993932809806,1184,148.58964143426294,-16.986591481355745,-9.986591481355749,0.46199324324324326,1840,-0.11725477626915275,0.4039283523421427,-0.023743308933405947,0.20249332000689096,-0.4983666918738193,-0.3168394009250265,1101,150.7891304347826,-1.5746034787086407,5.425396521291356,0.5022706630336058,3848,-0.6631173903508604,-0.17769552087496018,-0.14306476641070223,0.21574576159887107,-0.9588186998310857,-2.59124023684277,2285,149.64137214137213,-9.560508859511343,-2.5605088595113443,0.4814004376367615,-0.6543075183520898,0.4039283523421427,-0.17769552087496018,-1.5671537217455653,-0.638183426790081,-1.1472685496600479
XTIUSD|orb|08:00|15|14:30|none|narrow0.75,XTIUSD,A_orb,range,08:00,15.0,14:30,none,narrow0.75,2008,-0.8605770168506165,-0.5019019984378441,-0.15117985460226038,0.17567266106585205,-0.760236320360477,-2.429245054096241,719,90.23306772908366,-16.75437380187092,-9.754373801870925,0.45897079276773295,1840,0.23965617212948986,0.6258638958366057,0.0377589802300123,0.15755479983887313,-0.3684857600731438,0.647585713960113,636,87.10434782608696,4.334913373716094,11.334913373716093,0.5078616352201258,3848,-0.36354402730491814,0.007658977394872172,-0.06083488160553954,0.1673384158076541,-0.8461509318871239,-1.4206080629523763,1355,88.73700623700623,-6.85563827148469,0.14436172851530668,0.4819188191881919,-0.5019019984378441,0.6258638958366057,0.007658977394872172,-1.216891657643302,-0.147359399531988,-0.7336520076179271
XTIUSD|orb|08:00|15|14:30|none|trend,XTIUSD,A_orb,range,08:00,15.0,14:30,none,trend,2008,-0.8677226494774173,-0.26629903420554557,-0.23117129063478223,0.2664114976991834,-0.8844419465929185,-2.4494158143851577,1824,228.90836653386455,-10.098857203656767,-3.0988572036567663,0.48081140350877194,1840,-0.13675712899332007,0.4281529386639655,-0.038386173894915575,0.2806886498530586,-0.7913925636319903,-0.3695375847462968,1654,226.52608695652174,-1.6945586449071197,5.3054413550928805,0.4727932285368803,3848,-0.5084341365938625,0.07481775481191835,-0.13898713917912872,0.27336311466071317,-0.9751291516702035,-1.9867899887670621,3478,227.76923076923075,-6.102103374970189,0.8978966250298113,0.4769982748706153,-0.26629903420554557,0.4281529386639655,0.07481775481191835,-1.4687692877260612,-0.7016087464413736,-1.0914669890049729
XTIUSD|orb|08:00|15|14:30|none|trend+narrow1.0,XTIUSD,A_orb,range,08:00,15.0,14:30,none,trend+narrow1.0,2008,-1.0458508634722032,-0.5753240324336533,-0.21602610557886998,0.20655536379409564,-0.854155341134962,-2.9522378446845607,1108,139.05179282868525,-15.535657698784128,-8.535657698784131,0.48104693140794225,1840,-0.21728111816638013,0.2882128514677348,-0.04161919276471519,0.19154537272238198,-0.6137844781473482,-0.5871250750087096,1010,138.32608695652175,-3.0087739543877117,3.9912260456122883,0.47128712871287126,3848,-0.6645825420711999,-0.17818507253405505,-0.13262986868228868,0.19956869205282166,-0.9418704425844453,-2.5969655580997113,2118,138.7047817047817,-9.56202569602663,-2.5620256960266317,0.4763928234183192,-0.5753240324336533,0.2882128514677348,-0.17818507253405505,-1.514140695465718,-0.7222322410090436,-1.1494536430350932
XTIUSD|orb|08:00|15|14:30|opp|none,XTIUSD,A_orb,range,08:00,15.0,14:30,opp,none,2008,-0.7589401284979927,0.4319107958739761,-0.1260070770788921,0.1660303261711446,-0.699892966788875,-2.142343471193288,2008,252.0,-5.000280836463972,2.8383645818627214,0.15338645418326693,1840,-1.160902682401461,0.024347205011882634,-0.19277377408391416,0.16605506818636978,-0.777317938477125,-3.136927314415087,1840,252.0,-7.649752939837863,0.16002966885779096,0.175,3848,-0.9512091663283752,0.2370191358898851,-0.1579329405116469,0.166033871520878,-0.926986337853675,-3.7170062213865362,3848,252.0,-6.267180179033607,1.5576638958104678,0.16372141372141372,0.4319107958739761,0.024347205011882634,0.2370191358898851,-1.9437006885917956,-2.3401522163294133,-2.1333951917859233
XTIUSD|orb|08:00|15|14:30|opp|narrow1.0,XTIUSD,A_orb,range,08:00,15.0,14:30,opp,narrow1.0,2008,-0.8194842473440467,0.22857584188438904,-0.0916118627581446,0.11179209735276696,-0.5754331960807177,-2.313247990349093,1184,148.58964143426294,-6.165427271636181,1.7137957013367922,0.11739864864864864,1840,-0.8496098798634496,0.38681080624442316,-0.0813586985474537,0.09576006644429533,-0.4987962255998962,-2.2957690417489394,1101,150.7891304347826,-5.395528067100427,2.445525520547165,0.15349682107175294,3848,-0.8303825675640434,0.297266810185963,-0.08670910232475808,0.10442066790867528,-0.7789089298743066,-3.2448564196246874,2285,149.64137214137213,-5.79446052144193,2.0663709884048975,0.13479212253829323,0.22857584188438904,0.38681080624442316,0.297266810185963,-1.8547955975618078,-2.0667436250574704,-1.942759912823549
XTIUSD|orb|08:00|15|14:30|opp|narrow0.75,XTIUSD,A_orb,range,08:00,15.0,14:30,opp,narrow0.75,2008,-0.2726321365128058,0.489494519163659,-0.02547650688761008,0.09344645577544898,-0.26304904069236124,-0.7695886088558982,719,90.23306772908366,-2.823411364456864,5.06115052705913,0.11126564673157163,1840,-0.5313520112356902,0.4361755833618689,-0.03769000619244651,0.07093227351261208,-0.31546362565106234,-1.4357901509596263,636,87.10434782608696,-4.326994820935756,3.5377850532780797,0.1320754716981132,3848,-0.37535304599228553,0.46336510508533124,-0.03131664169033851,0.08343249648487508,-0.45934181044462097,-1.4667537451884338,1355,88.73700623700623,-3.52915238166762,4.346124371099906,0.12103321033210332,0.489494519163659,0.4361755833618689,0.46336510508533124,-1.028095365337182,-1.4809286349727693,-1.2038915486270805
XTIUSD|orb|08:00|15|14:30|opp|trend,XTIUSD,A_orb,range,08:00,15.0,14:30,opp,trend,2008,-1.0453811931646244,0.2472503541542382,-0.14523788553693062,0.1389329428218046,-0.7288586580364531,-2.950912054837282,1824,228.90836653386455,-6.344804593039819,1.4956559332759698,0.1513157894736842,1840,-1.0229914573954362,0.13413484229101477,-0.15630689915955837,0.15279394371241373,-0.7802474188161501,-2.7642711949624856,1654,226.52608695652174,-6.900172128500109,0.9021253322012214,0.18198307134220074,3848,-1.03310757745296,0.19026905732510202,-0.15053076107373808,0.14570676312805592,-0.9359786576370718,-4.037037729121884,3478,227.76923076923075,-6.608915548661244,1.213396124714258,0.16589994249568718,0.2472503541542382,0.13413484229101477,0.19026905732510202,-2.3278751855909987,-2.1721138233749815,-2.2474893081548912
XTIUSD|orb|08:00|15|14:30|opp|trend+narrow1.0,XTIUSD,A_orb,range,08:00,15.0,14:30,opp,trend+narrow1.0,2008,-1.1495465226378876,0.06819332399869416,-0.10343327842853624,0.08997746188748047,-0.5864942635187516,-3.2449509455774406,1108,139.05179282868525,-7.438471401513551,0.4387849161759792,0.12003610108303249,1840,-0.8003328601515348,0.4211756596011752,-0.07113049206125596,0.08887613592148165,-0.5339247721736705,-2.1626153920497995,1010,138.32608695652175,-5.142232649407158,2.6934109149492778,0.1613861386138614,3848,-0.98368128461962,0.23598935740398608,-0.08798703962505501,0.08944669477886708,-0.8019848038214292,-3.8438963628851197,2118,138.7047817047817,-6.343475584881134,1.5139370685655122,0.1397544853635505,0.06819332399869416,0.4211756596011752,0.23598935740398608,-2.342662070117812,-2.0008366245362956,-2.1804200943910934
XTIUSD|orb|08:00|15|14:30|mid|none,XTIUSD,A_orb,range,08:00,15.0,14:30,mid,none,2008,-1.4793730397465086,0.10879777885762304,-0.18596211433362675,0.1257033279215981,-0.797635611547696,-4.175988400340177,2008,252.0,-7.379448981493124,0.5413677515746019,0.07868525896414343,1840,-1.6227968229194056,0.03709156384869124,-0.19477755851835976,0.12002584412752032,-0.7718270996564355,-4.385032231152591,1840,252.0,-7.729268195173007,0.1761665874356888,0.08967391304347826,3848,-1.5460872789700741,0.07533140398648233,-0.19017739949472567,0.1230056039406859,-0.9513775161200406,-6.041590260237714,3848,252.0,-7.546722202171654,0.36673933628988253,0.08393970893970894,0.10879777885762304,0.03709156384869124,0.07533140398648233,-3.0597018799386904,-3.2733314668238913,-3.158985737309848
