month,fut_mean_pct,spot_mean_pct,carry_ann_pct,n,carry_month_pct,fut_minus_spot_pct
1,-2.8662835321640876,-2.68056467212688,16.01259731389354,27,1.3343831094911283,-0.18571886003720772
2,-2.1648970384763517,-8.277812709397939,-4.699003674531337,28,-0.39158363954427805,6.112915670921587
3,2.387126413677661,1.9326016347117596,-21.56794210205169,26,-1.7973285085043074,0.45452477896590127
4,2.0179542168696956,2.8141118354684873,-25.8332511244645,27,-2.1527709270387083,-0.7961576185987917
5,-0.2459294472373236,4.135719257519708,-22.459819798208596,27,-1.8716516498507163,-4.381648704757032
6,-0.8752754991519516,2.522492206497082,-12.043129700383853,27,-1.0035941416986545,-3.3977677056490334
7,-1.182533650246138,-1.1202762235521142,-12.399435925355114,27,-1.0332863271129262,-0.0622574266940239
8,1.3516486598330746,-0.7374425017479498,-33.20920978838548,27,-2.7674341490321233,2.0890911615810244
9,0.46592677862432924,3.1113681492877316,-78.69178854799577,27,-6.557649045666314,-2.6454413706634026
10,-1.1104482354629686,9.165762680904205,-62.44287603494543,27,-5.203573002912119,-10.276210916367173
11,-4.39397048720537,1.881091095907299,-33.692797968017,27,-2.8077331640014163,-6.275061583112668
12,-4.518665147774605,-0.44732373579702606,10.615986320070405,27,0.8846655266725337,-4.0713414119775795
