code,calendar,effect,start,n_on,mean_on_bp,mean_off_bp,t_diff,p_diff
CRUDE_ICE,XTIUSD,pre_hol,2006-02-21,163,39.13247341953461,-1.4143069155328822,1.9429312693772383,0.053637411890357055
CRUDE_ICE,XTIUSD,eia,2006-02-21,945,6.922479686205685,-1.7653824740465598,0.9196157104874629,0.3579224423809324
CRUDE_ICE,XTIUSD,post_hol,2006-02-21,163,-40.95682073401085,1.5546616873845411,-1.8042177431113315,0.0729541469352359
CRUDE_ICE,XTIUSD,exp_week,2006-02-21,1086,-6.012761993013165,1.925660674783637,-0.8433786695809685,0.3991346084492718
CRUDE_ICE,XTIUSD,tom,2006-02-21,869,10.402647931980718,-2.405856243052069,1.2391049709972382,0.21554159657761954
HEATOIL,XTIUSD,pre_hol,1990-01-02,295,9.47052853161708,3.352993691842708,0.58650405241671,0.5579480846275667
HEATOIL,XTIUSD,eia,1990-01-02,1787,13.307694440852,1.006835250517864,2.275270086335307,0.022967325079236777
HEATOIL,XTIUSD,post_hol,1990-01-02,283,-16.74026237920461,4.253686759756599,-1.350820903451578,0.1777945053835038
HEATOIL,XTIUSD,exp_week,1990-01-02,2055,-0.5066381071211374,4.840574459543875,-1.0643574448860744,0.28724137947257017
HEATOIL,XTIUSD,tom,1990-01-02,1631,5.266269096684332,3.164174721034379,0.36802480083612044,0.7128880419160655
GASOILINE,XTIUSD,pre_hol,1990-01-02,296,40.40625317327577,4.448301910384479,3.23789526588455,0.0013299265839097337
GASOILINE,XTIUSD,eia,1990-01-02,1787,11.77144672614951,4.089841717874385,1.3501780502329679,0.1770733967245138
GASOILINE,XTIUSD,post_hol,1990-01-02,283,-17.13057366868229,6.4618101881452334,-1.4900553855154473,0.1372831692802999
GASOILINE,XTIUSD,exp_week,1990-01-02,2055,-0.8116788223993453,7.725041482659808,-1.6442039497785361,0.10022484245861216
GASOILINE,XTIUSD,tom,1990-01-02,1632,7.405768656480588,5.282874054457215,0.3563369281437708,0.7216205739806829
GASOIL,XBRUSD,pre_hol,1990-01-02,301,0.46813302088613185,4.185428739576771,-0.4262916642510211,0.6701649788808012
GASOIL,XBRUSD,eia,1990-01-02,1784,3.172158637445294,4.287091890997683,-0.21876925598463248,0.826845490425388
GASOIL,XBRUSD,post_hol,1990-01-02,270,-13.08098087892538,4.612865654243161,-1.1327810935503988,0.25827853503125103
GASOIL,XBRUSD,exp_week,1990-01-02,2057,4.020920485377437,4.065386824406386,-0.009189925909693628,0.9926681214161348
GASOIL,XBRUSD,tom,1990-01-02,1621,8.603428720022096,2.9919314810544657,1.0062271678183854,0.31441083183682306
GAS-LAST,XNGUSD,pre_hol,2006-12-27,156,4.5562600399330595,-9.710452513306002,0.679394616370367,0.49781371514136585
GAS-LAST,XNGUSD,eia,2006-12-27,897,-34.428490447828196,-2.597424179320083,-2.852850163135619,0.004400355100935303
GAS-LAST,XNGUSD,post_hol,2006-12-27,156,-69.39648130296187,-6.944538428076655,-2.1587014265137756,0.03234302928210524
GAS-LAST,XNGUSD,exp_week,2006-12-27,1031,-1.584364116101503,-11.577075686610781,1.0328421625223345,0.3018117593645994
GAS-LAST,XNGUSD,tom,2006-12-27,827,-13.028174833600723,-8.290634365537707,-0.4197901617099606,0.6747133159661519
